case_id,family,rule_clause_count,arm_cells,fairness_pass,normalized_request_sha256,call_order
SCE-H01,single_root_expiry,1,4,True,6fcd36ff2377dbead96cea0edccdeae0041147f62ef71da3c5c33c0acf65cc85,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-H02,expiry_with_running_action,2,4,True,5321a0b1e5303e96c303e7a07997bba9eb3ba837583339efdbbc28aed8c1b05e,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-H03,conjunctive_dependency_block,3,4,True,092bc204a036b94abd010593c6166963ae16dec9e560a388bebf84572131cb21,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-H04,disjunctive_dependency_survival,2,4,True,8669136c09226e7429c06d605eb062e9e7ca4fa8cde5092fc0853e448e2b337c,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-H05,priority_raise_without_preemption,1,4,True,a14633593c99ce882265fb5470848971f8d42e65efc5a1647c2484f605c61184,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-H06,priority_raise_with_preemption,3,4,True,2e084f13f13f7cc56cbf0cca93daa082ebaaaf77c617bc614819d91c4d375337,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-H07,replacement_insert_only,2,4,True,e1845d1d332f5d688c4fcec67b56be03ec99568dd94db7b94732c27c2b37a328,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-H08,replacement_retarget_action,3,4,True,0079081d46c481af5618cefb6a33a119445e0c93e17585908921118cde87de33,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-H09,replacement_retarget_progress,3,4,True,7a58ab4e8a34e93c22f118538f71f58d562f64ff71bdc7b2164605acf46cd89c,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-H10,temporary_override_insert,3,4,True,7120d8dbb1f9427c39bc62399b9a4392054417ee2b33861514b77f452254a00d,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
