case_id,family,method,proposal_bytes,common_receipt_bytes,proposal_plus_common_receipt_bytes
no_op,no_op,cope,114,353,467
no_op,no_op,compact_tx,106,359,465
no_op,no_op,verbose_tx,106,359,465
no_op,no_op,fsr_pc,1259,355,1614
cancel_sibling,cancellation,cope,173,362,535
cancel_sibling,cancellation,compact_tx,542,368,910
cancel_sibling,cancellation,verbose_tx,1307,368,1675
cancel_sibling,cancellation,fsr_pc,1101,364,1465
replace_pending_target,replacement,cope,211,370,581
replace_pending_target,replacement,compact_tx,1199,376,1575
replace_pending_target,replacement,verbose_tx,2278,376,2654
replace_pending_target,replacement,fsr_pc,1643,372,2015
activate_override,override,cope,203,365,568
activate_override,override,compact_tx,1105,371,1476
activate_override,override,verbose_tx,2180,371,2551
activate_override,override,fsr_pc,1546,367,1913
release_override,release,cope,201,364,565
release_override,release,compact_tx,862,370,1232
release_override,release,verbose_tx,1933,370,2303
release_override,release,fsr_pc,1602,366,1968
world_change_release,release_world_change,cope,205,368,573
world_change_release,release_world_change,compact_tx,1045,374,1419
world_change_release,release_world_change,verbose_tx,2426,374,2800
world_change_release,release_world_change,fsr_pc,1644,370,2014
wrong_source_revoke,authorization,cope,128,367,495
wrong_source_revoke,authorization,compact_tx,120,373,493
wrong_source_revoke,authorization,verbose_tx,120,373,493
wrong_source_revoke,authorization,fsr_pc,1259,369,1628
stale_version,version,cope,122,361,483
stale_version,version,compact_tx,114,367,481
stale_version,version,verbose_tx,114,367,481
stale_version,version,fsr_pc,1259,363,1622
idempotence,idempotence,cope,120,359,479
idempotence,idempotence,compact_tx,112,365,477
idempotence,idempotence,verbose_tx,112,365,477
idempotence,idempotence,fsr_pc,1259,361,1620
irrelevant_sibling_change,irrelevant_change,cope,160,373,533
irrelevant_sibling_change,irrelevant_change,compact_tx,320,379,699
irrelevant_sibling_change,irrelevant_change,verbose_tx,626,379,1005
irrelevant_sibling_change,irrelevant_change,fsr_pc,1284,375,1659
continuity_valid,continuity,cope,151,364,515
continuity_valid,continuity,compact_tx,302,370,672
continuity_valid,continuity,verbose_tx,608,370,978
continuity_valid,continuity,fsr_pc,1277,366,1643
continuity_invalid,continuity,cope,259,366,625
continuity_invalid,continuity,compact_tx,1264,372,1636
continuity_invalid,continuity,verbose_tx,2339,372,2711
continuity_invalid,continuity,fsr_pc,1704,368,2072
