task_suite,task_id,task_name,initial_state_id,state_sha256,dtype,dtype_str,shape,strides,serialization_order,serialized_bytes,finite,catalog_expected_sha256,catalog_match,catalog_reference_sha256,bddl_sha256,bddl_path,init_file_sha256,init_file_bytes,init_file_path,whole_array_shape,whole_array_dtype,source_host,source_repository_head,local_integrated_head,libero_source_head,observed_utc,evidence_status
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,0,747b653b2ca1feeae8f3bd994880ce743730993ea5ce4bd003623e877f26b3bd,float64,<f8,[123],[8],C,984,true,,not_previously_present,e2406a00c8b39b497f3a8af7ffa39d7ed117394a9f64085f2c6e69914f763f2f,2e661058917f683a25bce480015197f0a2c1911bcbc2b9dd9d947199069c9618,/home/lijingsu/vla/src/LIBERO/libero/libero/bddl_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.bddl,1899fe54c51e24a41d5f9e32254730d6777f4894ab68e0e873f1fa7ae2062030,58927,/home/lijingsu/vla/src/LIBERO/libero/libero/init_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.pruned_init,"[50, 123]",float64,fvl12,c0308c1fc13036ef34983dd07397744f659cb417,688b7eb3a91fdf5229ea2cda87e9a33f85566fe6,570d78333ee977c8ae6de3d97120b23272c4c660,2026-09-06T17:09:41.090632+00:00,SOURCE_DERIVED_UNQUALIFIED
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,1,cf85ed132ae09bfad8798a3126b14879071228e0e2e7bd17c3e9d20e519cdb5a,float64,<f8,[123],[8],C,984,true,,not_previously_present,e2406a00c8b39b497f3a8af7ffa39d7ed117394a9f64085f2c6e69914f763f2f,2e661058917f683a25bce480015197f0a2c1911bcbc2b9dd9d947199069c9618,/home/lijingsu/vla/src/LIBERO/libero/libero/bddl_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.bddl,1899fe54c51e24a41d5f9e32254730d6777f4894ab68e0e873f1fa7ae2062030,58927,/home/lijingsu/vla/src/LIBERO/libero/libero/init_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.pruned_init,"[50, 123]",float64,fvl12,c0308c1fc13036ef34983dd07397744f659cb417,688b7eb3a91fdf5229ea2cda87e9a33f85566fe6,570d78333ee977c8ae6de3d97120b23272c4c660,2026-09-06T17:09:41.090632+00:00,SOURCE_DERIVED_UNQUALIFIED
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,2,be0c23f82748baf99eea1ecc4ff28eb82163945bc0bfffb509eeef0decced138,float64,<f8,[123],[8],C,984,true,,not_previously_present,e2406a00c8b39b497f3a8af7ffa39d7ed117394a9f64085f2c6e69914f763f2f,2e661058917f683a25bce480015197f0a2c1911bcbc2b9dd9d947199069c9618,/home/lijingsu/vla/src/LIBERO/libero/libero/bddl_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.bddl,1899fe54c51e24a41d5f9e32254730d6777f4894ab68e0e873f1fa7ae2062030,58927,/home/lijingsu/vla/src/LIBERO/libero/libero/init_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.pruned_init,"[50, 123]",float64,fvl12,c0308c1fc13036ef34983dd07397744f659cb417,688b7eb3a91fdf5229ea2cda87e9a33f85566fe6,570d78333ee977c8ae6de3d97120b23272c4c660,2026-09-06T17:09:41.090632+00:00,SOURCE_DERIVED_UNQUALIFIED
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,3,6929d3090ef9a3431c21b84539c99c3b481b09042bc6f3cf07ea0cc44fb65a70,float64,<f8,[123],[8],C,984,true,,not_previously_present,e2406a00c8b39b497f3a8af7ffa39d7ed117394a9f64085f2c6e69914f763f2f,2e661058917f683a25bce480015197f0a2c1911bcbc2b9dd9d947199069c9618,/home/lijingsu/vla/src/LIBERO/libero/libero/bddl_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.bddl,1899fe54c51e24a41d5f9e32254730d6777f4894ab68e0e873f1fa7ae2062030,58927,/home/lijingsu/vla/src/LIBERO/libero/libero/init_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.pruned_init,"[50, 123]",float64,fvl12,c0308c1fc13036ef34983dd07397744f659cb417,688b7eb3a91fdf5229ea2cda87e9a33f85566fe6,570d78333ee977c8ae6de3d97120b23272c4c660,2026-09-06T17:09:41.090632+00:00,SOURCE_DERIVED_UNQUALIFIED
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,4,376f48b75f50d4e1eff9e3f49f307de0bcfc44d2a081f5cb9c124cf985330c41,float64,<f8,[123],[8],C,984,true,,not_previously_present,e2406a00c8b39b497f3a8af7ffa39d7ed117394a9f64085f2c6e69914f763f2f,2e661058917f683a25bce480015197f0a2c1911bcbc2b9dd9d947199069c9618,/home/lijingsu/vla/src/LIBERO/libero/libero/bddl_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.bddl,1899fe54c51e24a41d5f9e32254730d6777f4894ab68e0e873f1fa7ae2062030,58927,/home/lijingsu/vla/src/LIBERO/libero/libero/init_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.pruned_init,"[50, 123]",float64,fvl12,c0308c1fc13036ef34983dd07397744f659cb417,688b7eb3a91fdf5229ea2cda87e9a33f85566fe6,570d78333ee977c8ae6de3d97120b23272c4c660,2026-09-06T17:09:41.090632+00:00,SOURCE_DERIVED_UNQUALIFIED
libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,0,5abdf8f466f490901dee9f931b32eb181b2928eaa17bb6379742f988581d564a,float64,<f8,[123],[8],C,984,true,5abdf8f466f490901dee9f931b32eb181b2928eaa17bb6379742f988581d564a,verified,e2406a00c8b39b497f3a8af7ffa39d7ed117394a9f64085f2c6e69914f763f2f,3f552805c7ab34c44debcf38a48b8131d6fee3011dd86c039650b84e0f77d058,/home/lijingsu/vla/src/LIBERO/libero/libero/bddl_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket.bddl,f8ac06ea8f43bb328d40cba1e6a9767da2f8f5386fd7ff3f845c64a96bf6d2ce,58991,/home/lijingsu/vla/src/LIBERO/libero/libero/init_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket.pruned_init,"[50, 123]",float64,fvl12,c0308c1fc13036ef34983dd07397744f659cb417,688b7eb3a91fdf5229ea2cda87e9a33f85566fe6,570d78333ee977c8ae6de3d97120b23272c4c660,2026-09-06T17:09:41.090632+00:00,SOURCE_DERIVED_UNQUALIFIED
libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,1,cd3e7f86ef217ee7b7d26cc505b3f56ea8f49664ef10f6749270dfcd39dd17a6,float64,<f8,[123],[8],C,984,true,cd3e7f86ef217ee7b7d26cc505b3f56ea8f49664ef10f6749270dfcd39dd17a6,verified,e2406a00c8b39b497f3a8af7ffa39d7ed117394a9f64085f2c6e69914f763f2f,3f552805c7ab34c44debcf38a48b8131d6fee3011dd86c039650b84e0f77d058,/home/lijingsu/vla/src/LIBERO/libero/libero/bddl_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket.bddl,f8ac06ea8f43bb328d40cba1e6a9767da2f8f5386fd7ff3f845c64a96bf6d2ce,58991,/home/lijingsu/vla/src/LIBERO/libero/libero/init_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket.pruned_init,"[50, 123]",float64,fvl12,c0308c1fc13036ef34983dd07397744f659cb417,688b7eb3a91fdf5229ea2cda87e9a33f85566fe6,570d78333ee977c8ae6de3d97120b23272c4c660,2026-09-06T17:09:41.090632+00:00,SOURCE_DERIVED_UNQUALIFIED
libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,2,ab6bf2ca98e96f1692d8ec7a5b7ec25eee1ea61c57d45c2816ac3dcc938ea3ee,float64,<f8,[123],[8],C,984,true,ab6bf2ca98e96f1692d8ec7a5b7ec25eee1ea61c57d45c2816ac3dcc938ea3ee,verified,e2406a00c8b39b497f3a8af7ffa39d7ed117394a9f64085f2c6e69914f763f2f,3f552805c7ab34c44debcf38a48b8131d6fee3011dd86c039650b84e0f77d058,/home/lijingsu/vla/src/LIBERO/libero/libero/bddl_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket.bddl,f8ac06ea8f43bb328d40cba1e6a9767da2f8f5386fd7ff3f845c64a96bf6d2ce,58991,/home/lijingsu/vla/src/LIBERO/libero/libero/init_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket.pruned_init,"[50, 123]",float64,fvl12,c0308c1fc13036ef34983dd07397744f659cb417,688b7eb3a91fdf5229ea2cda87e9a33f85566fe6,570d78333ee977c8ae6de3d97120b23272c4c660,2026-09-06T17:09:41.090632+00:00,SOURCE_DERIVED_UNQUALIFIED
libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,3,3e0d23df2cf22ae6e897e15a1739d5bf25474b4e33196644890b8485f0e880f5,float64,<f8,[123],[8],C,984,true,3e0d23df2cf22ae6e897e15a1739d5bf25474b4e33196644890b8485f0e880f5,verified,e2406a00c8b39b497f3a8af7ffa39d7ed117394a9f64085f2c6e69914f763f2f,3f552805c7ab34c44debcf38a48b8131d6fee3011dd86c039650b84e0f77d058,/home/lijingsu/vla/src/LIBERO/libero/libero/bddl_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket.bddl,f8ac06ea8f43bb328d40cba1e6a9767da2f8f5386fd7ff3f845c64a96bf6d2ce,58991,/home/lijingsu/vla/src/LIBERO/libero/libero/init_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket.pruned_init,"[50, 123]",float64,fvl12,c0308c1fc13036ef34983dd07397744f659cb417,688b7eb3a91fdf5229ea2cda87e9a33f85566fe6,570d78333ee977c8ae6de3d97120b23272c4c660,2026-09-06T17:09:41.090632+00:00,SOURCE_DERIVED_UNQUALIFIED
libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,4,d2cecde6c34039556fadf729cf7eb15d628b42094f6f0c092d9969c9cf659856,float64,<f8,[123],[8],C,984,true,d2cecde6c34039556fadf729cf7eb15d628b42094f6f0c092d9969c9cf659856,verified,e2406a00c8b39b497f3a8af7ffa39d7ed117394a9f64085f2c6e69914f763f2f,3f552805c7ab34c44debcf38a48b8131d6fee3011dd86c039650b84e0f77d058,/home/lijingsu/vla/src/LIBERO/libero/libero/bddl_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket.bddl,f8ac06ea8f43bb328d40cba1e6a9767da2f8f5386fd7ff3f845c64a96bf6d2ce,58991,/home/lijingsu/vla/src/LIBERO/libero/libero/init_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket.pruned_init,"[50, 123]",float64,fvl12,c0308c1fc13036ef34983dd07397744f659cb417,688b7eb3a91fdf5229ea2cda87e9a33f85566fe6,570d78333ee977c8ae6de3d97120b23272c4c660,2026-09-06T17:09:41.090632+00:00,SOURCE_DERIVED_UNQUALIFIED
