sample_type,fault_id,case_id,arm,threat_axis,semantic_intent,proposal_changed,native_rejected,native_exception,candidate_materialized,candidate_incorrect,exact_validator_called,exact_validator_accepted,exact_exception,decomposed_validator_called,decomposed_validator_accepted,violated_group_count,violated_groups,violation_codes,exact_decomposed_parity,full_decomposed_pipeline_rejected,caller_state_unchanged,uncaught_crash,pass
clean,CLEAN,no_op,cope_exact,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,no_op,cope_generic,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,no_op,compact_tx,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,no_op,fsr_pc,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,replace_pending_target,cope_exact,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,replace_pending_target,cope_generic,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,replace_pending_target,compact_tx,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,replace_pending_target,fsr_pc,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,wrong_source_revoke,cope_exact,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,wrong_source_revoke,cope_generic,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,wrong_source_revoke,compact_tx,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,wrong_source_revoke,fsr_pc,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,continuity_invalid,cope_exact,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,continuity_invalid,cope_generic,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,continuity_invalid,compact_tx,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,continuity_invalid,fsr_pc,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,cancel_sibling,cope_exact,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,cancel_sibling,cope_generic,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,cancel_sibling,compact_tx,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,cancel_sibling,fsr_pc,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,activate_override,cope_exact,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,activate_override,cope_generic,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,activate_override,compact_tx,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,activate_override,fsr_pc,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,release_override,cope_exact,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,release_override,cope_generic,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,release_override,compact_tx,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,release_override,fsr_pc,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,world_change_release,cope_exact,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,world_change_release,cope_generic,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,world_change_release,compact_tx,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,world_change_release,fsr_pc,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,stale_version,cope_exact,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,stale_version,cope_generic,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,stale_version,compact_tx,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,stale_version,fsr_pc,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,idempotence,cope_exact,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,idempotence,cope_generic,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,idempotence,compact_tx,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,idempotence,fsr_pc,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
clean,CLEAN,irrelevant_sibling_change,cope_exact,control,canonical output,False,False,,True,False,True,True,,True,True,0,,,True,False,True,False,True
