case_id,state_id,source_path,source_sha256,slot_object,slot_region,source_field,expected
s0_cream_true,0,research/oracle_interruption_timing/raw_v1/state0_post_lift_stale_continue.csv,b10c00b95321db74bf45d6bbebcb735a527a942159e0d22a8b9d00aee057b5ff,cream_cheese_1,basket_1_contain_region,physical_truth_before_first_patch,true
s0_alphabet_false,0,research/oracle_interruption_timing/raw_v1/state0_post_lift_stale_continue.csv,b10c00b95321db74bf45d6bbebcb735a527a942159e0d22a8b9d00aee057b5ff,alphabet_soup_1,basket_1_contain_region,held_in_region_at_event,false
s1_cream_true,1,research/oracle_interruption_timing/raw_v1/state1_post_lift_stale_continue.csv,2dcb78ef2529c16a1e7916833c9c13c304fd5c9bd11c8e2b98301910a68a6a5e,cream_cheese_1,basket_1_contain_region,physical_truth_before_first_patch,true
s1_alphabet_false,1,research/oracle_interruption_timing/raw_v1/state1_post_lift_stale_continue.csv,2dcb78ef2529c16a1e7916833c9c13c304fd5c9bd11c8e2b98301910a68a6a5e,alphabet_soup_1,basket_1_contain_region,held_in_region_at_event,false
s2_cream_true,2,research/oracle_interruption_timing/raw_v1/state2_post_lift_stale_continue.csv,f7df89cff6a3a0f78e2bd3b0a4ab00224dcd65c48f62c00ae5401f94cb34fc5b,cream_cheese_1,basket_1_contain_region,physical_truth_before_first_patch,true
s2_alphabet_false,2,research/oracle_interruption_timing/raw_v1/state2_post_lift_stale_continue.csv,f7df89cff6a3a0f78e2bd3b0a4ab00224dcd65c48f62c00ae5401f94cb34fc5b,alphabet_soup_1,basket_1_contain_region,held_in_region_at_event,false
s3_cream_true,3,research/oracle_interruption_timing/raw_v1/state3_post_lift_stale_continue.csv,dde7b093c56676050a4c3ee92c5686fd24aafb233123e782a589471414fd32c9,cream_cheese_1,basket_1_contain_region,physical_truth_before_first_patch,true
s3_alphabet_false,3,research/oracle_interruption_timing/raw_v1/state3_post_lift_stale_continue.csv,dde7b093c56676050a4c3ee92c5686fd24aafb233123e782a589471414fd32c9,alphabet_soup_1,basket_1_contain_region,held_in_region_at_event,false
s4_cream_true,4,research/oracle_interruption_timing/raw_v1/state4_post_lift_stale_continue.csv,f252fb95bb6fe910a489a732c2a0a43a501fd5699831acd89ba0460834030d5b,cream_cheese_1,basket_1_contain_region,physical_truth_before_first_patch,true
s4_alphabet_false,4,research/oracle_interruption_timing/raw_v1/state4_post_lift_stale_continue.csv,f252fb95bb6fe910a489a732c2a0a43a501fd5699831acd89ba0460834030d5b,alphabet_soup_1,basket_1_contain_region,held_in_region_at_event,false
