sample_type,fault_id,case_id,arm,threat_axis,semantic_intent,proposal_changed,native_rejected,native_exception,candidate_materialized,candidate_incorrect,exact_validator_called,exact_validator_accepted,exact_exception,decomposed_validator_called,decomposed_validator_accepted,violated_group_count,violated_groups,violation_codes,exact_decomposed_parity,full_decomposed_pipeline_rejected,caller_state_unchanged,uncaught_crash,pass
fault,F01,no_op,cope_exact,commission_or_structure,replace the output object with a scalar,True,True,NativeOutputError:patch output must be an object,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F01,no_op,cope_generic,commission_or_structure,replace the output object with a scalar,True,True,NativeOutputError:patch output must be an object,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F01,no_op,compact_tx,commission_or_structure,replace the output object with a scalar,True,True,CompactTransactionError:compact proposal fields are noncanonical,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F01,no_op,fsr_pc,commission_or_structure,replace the output object with a scalar,True,True,NativeOutputError:full-state output must be a full-state-v2 object,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F02,no_op,cope_exact,commission_or_structure,use an unknown top-level schema version,True,True,NativeOutputError:patch output has noncanonical fields or schema,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F02,no_op,cope_generic,commission_or_structure,use an unknown top-level schema version,True,True,NativeOutputError:patch output has noncanonical fields or schema,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F02,no_op,compact_tx,commission_or_structure,use an unknown top-level schema version,True,True,CompactTransactionError:compact proposal schema mismatch,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F02,no_op,fsr_pc,commission_or_structure,use an unknown top-level schema version,True,True,NativeOutputError:full-state output must be a full-state-v2 object,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F03,no_op,cope_exact,commission_or_structure,remove one required top-level field,True,True,NativeOutputError:patch output has noncanonical fields or schema,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F03,no_op,cope_generic,commission_or_structure,remove one required top-level field,True,True,NativeOutputError:patch output has noncanonical fields or schema,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F03,no_op,compact_tx,commission_or_structure,remove one required top-level field,True,True,CompactTransactionError:compact proposal fields are noncanonical,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F03,no_op,fsr_pc,commission_or_structure,remove one required top-level field,True,True,NativeOutputError:full-state output fields are not canonical full-state-v2,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F04,no_op,cope_exact,commission_or_structure,add an unauthorized top-level field,True,True,NativeOutputError:patch output has noncanonical fields or schema,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F04,no_op,cope_generic,commission_or_structure,add an unauthorized top-level field,True,True,NativeOutputError:patch output has noncanonical fields or schema,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F04,no_op,compact_tx,commission_or_structure,add an unauthorized top-level field,True,True,CompactTransactionError:compact proposal fields are noncanonical,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F04,no_op,fsr_pc,commission_or_structure,add an unauthorized top-level field,True,True,NativeOutputError:full-state output fields are not canonical full-state-v2,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F05,stale_version,cope_exact,commission_or_structure,bind output to a different input state version,True,True,NativeOutputError:typed patch is not the authorized minimum transition,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F05,stale_version,cope_generic,commission_or_structure,bind output to a different input state version,True,True,GenericTypedInterpreterError:typed patch input version mismatch,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F05,stale_version,compact_tx,commission_or_structure,bind output to a different input state version,True,True,CompactTransactionError:compact proposal base version mismatch,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F05,stale_version,fsr_pc,commission_or_structure,bind output to a different input state version,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,1,authorization_noop,authorization_noop:unexpected_change:evidence_versions,True,True,True,False,True
fault,F06,activate_override,cope_exact,commission_or_structure,bind output to a different event ID,True,True,NativeOutputError:typed patch is not the authorized minimum transition,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F06,activate_override,cope_generic,commission_or_structure,bind output to a different event ID,True,True,GenericTypedInterpreterError:typed patch event ID mismatch,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F06,activate_override,compact_tx,commission_or_structure,bind output to a different event ID,True,True,CompactTransactionError:compact proposal event ID mismatch,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F06,activate_override,fsr_pc,commission_or_structure,bind output to a different event ID,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,1,version_evidence,version_evidence:evidence_not_bound_to_event,True,True,True,False,True
fault,F07,wrong_source_revoke,cope_exact,commission_or_structure,apply the rejected cancellation anyway,True,True,NativeOutputError:typed patch is not the authorized minimum transition,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F07,wrong_source_revoke,cope_generic,commission_or_structure,apply the rejected cancellation anyway,True,True,"GenericTypedInterpreterError:unauthorized, stale, or duplicate event cannot carry operations",False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F07,wrong_source_revoke,compact_tx,commission_or_structure,apply the rejected cancellation anyway,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,1,authorization_noop,authorization_noop:unexpected_change:commitments;authorization_noop:unexpected_change:current_goal;authorization_noop:unexpected_change:evidence_versions;authorization_noop:unexpected_change:plan;authorization_noop:unexpected_change:state_version,True,True,True,False,True
fault,F07,wrong_source_revoke,fsr_pc,commission_or_structure,apply the rejected cancellation anyway,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,1,authorization_noop,authorization_noop:unexpected_change:commitments;authorization_noop:unexpected_change:current_goal;authorization_noop:unexpected_change:evidence_versions;authorization_noop:unexpected_change:plan;authorization_noop:unexpected_change:state_version,True,True,True,False,True
fault,F08,idempotence,cope_exact,commission_or_structure,reapply the duplicate cancellation effect,True,True,NativeOutputError:typed patch is not the authorized minimum transition,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F08,idempotence,cope_generic,commission_or_structure,reapply the duplicate cancellation effect,True,True,"GenericTypedInterpreterError:unauthorized, stale, or duplicate event cannot carry operations",False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F08,idempotence,compact_tx,commission_or_structure,reapply the duplicate cancellation effect,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,1,authorization_noop,authorization_noop:unexpected_change:commitments;authorization_noop:unexpected_change:current_goal;authorization_noop:unexpected_change:evidence_versions;authorization_noop:unexpected_change:plan;authorization_noop:unexpected_change:state_version,True,True,True,False,True
fault,F08,idempotence,fsr_pc,commission_or_structure,reapply the duplicate cancellation effect,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,1,authorization_noop,authorization_noop:unexpected_change:commitments;authorization_noop:unexpected_change:current_goal;authorization_noop:unexpected_change:evidence_versions;authorization_noop:unexpected_change:plan;authorization_noop:unexpected_change:state_version,True,True,True,False,True
fault,F09,world_change_release,cope_exact,commission_or_structure,drop an achieved progress milestone,True,True,NativeOutputError:typed patch is not the authorized minimum transition,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F09,world_change_release,cope_generic,commission_or_structure,drop an achieved progress milestone,True,True,GenericTypedInterpreterError:typed operation fields are unsupported or noncanonical,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F09,world_change_release,compact_tx,commission_or_structure,drop an achieved progress milestone,True,True,CompactTransactionError:compact write path is not allowlisted,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F09,world_change_release,fsr_pc,commission_or_structure,drop an achieved progress milestone,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,1,progress_preservation,progress_preservation:progress_record_set_changed;progress_preservation:progress_ids_changed;progress_preservation:preserved_progress_changed:deliver:a,True,True,True,False,True
fault,F10,continuity_invalid,cope_exact,omission,retain the now-conflicting executing action,True,True,NativeOutputError:typed patch is not the authorized minimum transition,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F10,continuity_invalid,cope_generic,omission,retain the now-conflicting executing action,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,1,action_continuity,action_continuity:plan_does_not_match_event_continuity,True,True,True,False,True
fault,F10,continuity_invalid,compact_tx,omission,retain the now-conflicting executing action,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,1,action_continuity,action_continuity:plan_does_not_match_event_continuity,True,True,True,False,True
fault,F10,continuity_invalid,fsr_pc,omission,retain the now-conflicting executing action,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,1,action_continuity,action_continuity:plan_does_not_match_event_continuity,True,True,True,False,True
fault,F11,cancel_sibling,cope_exact,commission_or_structure,redirect the transition to an unknown commitment ID,True,True,NativeOutputError:typed patch is not the authorized minimum transition,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F11,cancel_sibling,cope_generic,commission_or_structure,redirect the transition to an unknown commitment ID,True,True,GenericTypedInterpreterError:operation target does not match the event target,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F11,cancel_sibling,compact_tx,commission_or_structure,redirect the transition to an unknown commitment ID,True,True,CompactTransactionRejected:unknown or duplicate stable record 'unknown:commitment',False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F11,cancel_sibling,fsr_pc,commission_or_structure,redirect the transition to an unknown commitment ID,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,1,identity_lifecycle,identity_lifecycle:commitment_id_set_incorrect;identity_lifecycle:cancel_target_not_cancelled,True,True,True,False,True
fault,F12,replace_pending_target,cope_exact,commission_or_structure,duplicate a transition edit or stable record,True,True,NativeOutputError:typed patch is not the authorized minimum transition,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F12,replace_pending_target,cope_generic,commission_or_structure,duplicate a transition edit or stable record,True,True,GenericTypedInterpreterError:typed patch contains a duplicate operation,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F12,replace_pending_target,compact_tx,commission_or_structure,duplicate a transition edit or stable record,True,True,CompactTransactionError:compact proposal contains duplicate paths,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F12,replace_pending_target,fsr_pc,commission_or_structure,duplicate a transition edit or stable record,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,1,identity_lifecycle,identity_lifecycle:stable_ids_not_unique,True,True,True,False,True
fault,F13,replace_pending_target,cope_exact,commission_or_structure,substitute the replacement with an unobserved package,True,True,NativeOutputError:typed patch is not the authorized minimum transition,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F13,replace_pending_target,cope_generic,commission_or_structure,substitute the replacement with an unobserved package,True,True,GenericTypedInterpreterError:replacement stable ID does not match the event,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F13,replace_pending_target,compact_tx,commission_or_structure,substitute the replacement with an unobserved package,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,4,identity_lifecycle;goal_consistency;action_continuity;restoration_entity,identity_lifecycle:commitment_id_set_incorrect;identity_lifecycle:replacement_record_incorrect;goal_consistency:goal_does_not_match_event_effect;action_continuity:plan_does_not_match_event_continuity;restoration_entity:replacement_entity_missing_or_wrong;restoration_entity:entity_id_set_incorrect,True,True,True,False,True
fault,F13,replace_pending_target,fsr_pc,commission_or_structure,substitute the replacement with an unobserved package,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,4,identity_lifecycle;goal_consistency;action_continuity;restoration_entity,identity_lifecycle:commitment_id_set_incorrect;identity_lifecycle:replacement_record_incorrect;goal_consistency:goal_does_not_match_event_effect;action_continuity:plan_does_not_match_event_continuity;restoration_entity:replacement_entity_missing_or_wrong;restoration_entity:entity_id_set_incorrect,True,True,True,False,True
fault,F14,irrelevant_sibling_change,cope_exact,omission,omit the required evidence and version transition,True,True,NativeOutputError:typed patch is not the authorized minimum transition,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F14,irrelevant_sibling_change,cope_generic,omission,omit the required evidence and version transition,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,1,version_evidence,version_evidence:state_version_not_advanced_once;version_evidence:evidence_not_bound_to_event,True,True,True,False,True
fault,F14,irrelevant_sibling_change,compact_tx,omission,omit the required evidence and version transition,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,1,version_evidence,version_evidence:state_version_not_advanced_once;version_evidence:evidence_not_bound_to_event,True,True,True,False,True
fault,F14,irrelevant_sibling_change,fsr_pc,omission,omit the required evidence and version transition,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,1,version_evidence,version_evidence:state_version_not_advanced_once;version_evidence:evidence_not_bound_to_event,True,True,True,False,True
fault,F15,continuity_valid,cope_exact,commission_or_structure,advance the output state version twice,True,True,NativeOutputError:typed patch is not the authorized minimum transition,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F15,continuity_valid,cope_generic,commission_or_structure,advance the output state version twice,True,True,GenericTypedInterpreterError:typed patch contains a duplicate operation,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F15,continuity_valid,compact_tx,commission_or_structure,advance the output state version twice,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,1,version_evidence,version_evidence:state_version_not_advanced_once,True,True,True,False,True
fault,F15,continuity_valid,fsr_pc,commission_or_structure,advance the output state version twice,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,1,version_evidence,version_evidence:state_version_not_advanced_once,True,True,True,False,True
fault,F16,release_override,cope_exact,commission_or_structure,corrupt an unrelated satisfied sibling commitment,True,True,NativeOutputError:typed patch is not the authorized minimum transition,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F16,release_override,cope_generic,commission_or_structure,corrupt an unrelated satisfied sibling commitment,True,True,GenericTypedInterpreterError:operation type is not licensed by this event type,False,,False,False,,False,False,0,,,True,True,True,False,True
fault,F16,release_override,compact_tx,commission_or_structure,corrupt an unrelated satisfied sibling commitment,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,1,unaffected_scope,unaffected_scope:commitment_changed:deliver:a,True,True,True,False,True
fault,F16,release_override,fsr_pc,commission_or_structure,corrupt an unrelated satisfied sibling commitment,True,False,,True,True,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,True,False,1,unaffected_scope,unaffected_scope:commitment_changed:deliver:a,True,True,True,False,True
fault,O01,cancel_sibling,cope_exact,omission,omit the entire cancellation operation,True,True,NativeOutputError:typed patch is not the authorized minimum transition,False,,False,False,,False,False,0,,,True,True,True,False,True
