suite,task_id,state_id,timing,mode,pair_key,prompt,oracle_execution,oracle_operation_selection,learned_policy_used,warmup_steps,completed_progress_success,physical_truth_before_first_patch,first_patch_accepted,held_checkpoint_success,held_object_lift_m,timing_advance_steps,event_step,action_prefix_sha256,sim_state_before_patch_sha256,sim_state_after_patch_sha256,patch_preserved_sim_state,patch_emitted_no_action,physical_truth_before_second_patch,held_at_event,held_in_region_at_event,eef_at_event,held_position_at_event,second_patch_accepted,revision_after_event_two,hash_chain_valid,safe_return_success,safe_return_error_m,replacement_skill_success,stale_place_success,done_object_in_region,butter_in_region,alphabet_soup_in_region,tomato_sauce_in_region,final_goal_success,stale_commitment_executed,environment_steps,within_horizon,force_contact_collision_safety_measured,expected_outcome_observed,source_csv
libero_10,1,0,post_lift,stale_continue,timing:task01:state00:post_lift,put both the cream cheese box and the butter in the basket,True,True,False,10,True,True,True,True,0.197953809,0,280,f1f3cb6e975c7f9babfae053b41c21cb7478c669e363887722e0b7a113df9ead,90f02608bdb1d0d01303f30b639076a04f71809e2f7b1e9710b437137cde7927,90f02608bdb1d0d01303f30b639076a04f71809e2f7b1e9710b437137cde7927,True,True,True,True,False,"[-0.108214809,-0.149701486,0.679352502]","[-0.101974559,-0.149104608,0.673123933]",True,3,True,,,,True,True,False,True,False,False,True,377,True,False,True,research/oracle_interruption_timing/raw_v1/state0_post_lift_stale_continue.csv
libero_10,1,0,post_lift,safe_return_switch,timing:task01:state00:post_lift,put both the cream cheese box and the butter in the basket,True,True,False,10,True,True,True,True,0.197953809,0,280,f1f3cb6e975c7f9babfae053b41c21cb7478c669e363887722e0b7a113df9ead,90f02608bdb1d0d01303f30b639076a04f71809e2f7b1e9710b437137cde7927,90f02608bdb1d0d01303f30b639076a04f71809e2f7b1e9710b437137cde7927,True,True,True,True,False,"[-0.108214809,-0.149701486,0.679352502]","[-0.101974559,-0.149104608,0.673123933]",True,3,True,True,0.001228674,True,,True,False,False,True,True,False,524,True,False,True,research/oracle_interruption_timing/raw_v1/state0_post_lift_safe_return_switch.csv
libero_10,1,0,mid_transfer,stale_continue,timing:task01:state00:mid_transfer,put both the cream cheese box and the butter in the basket,True,True,False,10,True,True,True,True,0.197953809,19,299,4cfedb48d8395dbc01ec8f2ab91e192090830cceae338f72921a98a98cf92bee,c02626691ad8a4a263ae52eb40d5455f8b9a6806f0c4d3fd5cc7eda8801d973e,c02626691ad8a4a263ae52eb40d5455f8b9a6806f0c4d3fd5cc7eda8801d973e,True,True,True,True,False,"[-0.049963192,0.055929988,0.717431441]","[-0.043628147,0.056377143,0.711093808]",True,3,True,,,,True,True,False,True,False,False,True,381,True,False,True,research/oracle_interruption_timing/raw_v1/state0_mid_transfer_stale_continue.csv
libero_10,1,0,mid_transfer,safe_return_switch,timing:task01:state00:mid_transfer,put both the cream cheese box and the butter in the basket,True,True,False,10,True,True,True,True,0.197953809,19,299,4cfedb48d8395dbc01ec8f2ab91e192090830cceae338f72921a98a98cf92bee,c02626691ad8a4a263ae52eb40d5455f8b9a6806f0c4d3fd5cc7eda8801d973e,c02626691ad8a4a263ae52eb40d5455f8b9a6806f0c4d3fd5cc7eda8801d973e,True,True,True,True,False,"[-0.049963192,0.055929988,0.717431441]","[-0.043628147,0.056377143,0.711093808]",True,3,True,True,0.001296416,True,,True,False,False,True,True,False,557,True,False,True,research/oracle_interruption_timing/raw_v1/state0_mid_transfer_safe_return_switch.csv
libero_10,1,0,pre_release,stale_continue,timing:task01:state00:pre_release,put both the cream cheese box and the butter in the basket,True,True,False,10,True,True,True,True,0.197953809,35,315,4d85f30ab0b76f4296bb8f1b3fffdecf8ccf50e294d9e90dfed5b7489c591723,ae46f93bef3f02972fbc6745ce3d8d261066bfe0c420310847f06e89c6145e49,ae46f93bef3f02972fbc6745ce3d8d261066bfe0c420310847f06e89c6145e49,True,True,True,True,False,"[0.00600457,0.264624458,0.753642113]","[0.012624545,0.264875017,0.747391365]",True,3,True,,,,True,True,False,True,False,False,True,379,True,False,True,research/oracle_interruption_timing/raw_v1/state0_pre_release_stale_continue.csv
libero_10,1,0,pre_release,safe_return_switch,timing:task01:state00:pre_release,put both the cream cheese box and the butter in the basket,True,True,False,10,True,True,True,True,0.197953809,35,315,4d85f30ab0b76f4296bb8f1b3fffdecf8ccf50e294d9e90dfed5b7489c591723,ae46f93bef3f02972fbc6745ce3d8d261066bfe0c420310847f06e89c6145e49,ae46f93bef3f02972fbc6745ce3d8d261066bfe0c420310847f06e89c6145e49,True,True,True,True,False,"[0.00600457,0.264624458,0.753642113]","[0.012624545,0.264875017,0.747391365]",True,3,True,True,0.000907760,True,,True,False,False,True,True,False,590,True,False,True,research/oracle_interruption_timing/raw_v1/state0_pre_release_safe_return_switch.csv
libero_10,1,1,post_lift,stale_continue,timing:task01:state01:post_lift,put both the cream cheese box and the butter in the basket,True,True,False,10,True,True,True,True,0.198117050,0,291,0e81b220dbf3289b8be63b9f62dd9596e6c12e615a1202aa2b045d71e65a5345,9c0694080989532bbaf0f8da90bb134f92306f24d08dda4c3f44d63a73bebffb,9c0694080989532bbaf0f8da90bb134f92306f24d08dda4c3f44d63a73bebffb,True,True,True,True,False,"[-0.079142881,-0.134212757,0.679552742]","[-0.073604069,-0.132825653,0.673287174]",True,3,True,,,,True,True,False,True,False,False,True,387,True,False,True,research/oracle_interruption_timing/raw_v1/state1_post_lift_stale_continue.csv
libero_10,1,1,post_lift,safe_return_switch,timing:task01:state01:post_lift,put both the cream cheese box and the butter in the basket,True,True,False,10,True,True,True,True,0.198117050,0,291,0e81b220dbf3289b8be63b9f62dd9596e6c12e615a1202aa2b045d71e65a5345,9c0694080989532bbaf0f8da90bb134f92306f24d08dda4c3f44d63a73bebffb,9c0694080989532bbaf0f8da90bb134f92306f24d08dda4c3f44d63a73bebffb,True,True,True,True,False,"[-0.079142881,-0.134212757,0.679552742]","[-0.073604069,-0.132825653,0.673287174]",True,3,True,True,0.002454742,True,,True,False,False,True,True,False,535,True,False,True,research/oracle_interruption_timing/raw_v1/state1_post_lift_safe_return_switch.csv
libero_10,1,1,mid_transfer,stale_continue,timing:task01:state01:mid_transfer,put both the cream cheese box and the butter in the basket,True,True,False,10,True,True,True,True,0.198117050,19,310,a03ce455c6c0331649a66837e1bb34128044c73698310f2d57d0d6e59e995576,26ed2369f8638207c213decf396637c72c25e81ca068ebde7297796b6da86dfa,26ed2369f8638207c213decf396637c72c25e81ca068ebde7297796b6da86dfa,True,True,True,True,False,"[-0.038307481,0.065147641,0.717096076]","[-0.032647884,0.066384731,0.710741181]",True,3,True,,,,True,True,False,True,False,False,True,391,True,False,True,research/oracle_interruption_timing/raw_v1/state1_mid_transfer_stale_continue.csv
libero_10,1,1,mid_transfer,safe_return_switch,timing:task01:state01:mid_transfer,put both the cream cheese box and the butter in the basket,True,True,False,10,True,True,True,True,0.198117050,19,310,a03ce455c6c0331649a66837e1bb34128044c73698310f2d57d0d6e59e995576,26ed2369f8638207c213decf396637c72c25e81ca068ebde7297796b6da86dfa,26ed2369f8638207c213decf396637c72c25e81ca068ebde7297796b6da86dfa,True,True,True,True,False,"[-0.038307481,0.065147641,0.717096076]","[-0.032647884,0.066384731,0.710741181]",True,3,True,True,0.002409587,True,,True,False,False,True,True,False,566,True,False,True,research/oracle_interruption_timing/raw_v1/state1_mid_transfer_safe_return_switch.csv
