case_id,phase,family,arm,call_order_position,fairness_pass,parser_valid,semantic_valid,first_pass_valid,semantic_correct,validator_calls,compiled_directive,prompt_tokens,completion_tokens,proposal_bytes,evidence_class,test_only,provider_calls,gpu_used,simulator_used,reserved_states_read
no_op,smoke,no_op,cope,0,True,True,True,True,True,1,PLAN:place-b,100,20,114,mocked_canonical_transport_control,True,1,False,False,False
no_op,smoke,no_op,compact_tx,1,True,True,True,True,True,1,PLAN:place-b,100,20,106,mocked_canonical_transport_control,True,1,False,False,False
no_op,smoke,no_op,fsr_pc,2,True,True,True,True,True,1,PLAN:place-b,100,20,1259,mocked_canonical_transport_control,True,1,False,False,False
replace_pending_target,smoke,replacement,cope,2,True,True,True,True,True,1,PLAN:place-c,100,20,211,mocked_canonical_transport_control,True,1,False,False,False
replace_pending_target,smoke,replacement,compact_tx,0,True,True,True,True,True,1,PLAN:place-c,100,20,1199,mocked_canonical_transport_control,True,1,False,False,False
replace_pending_target,smoke,replacement,fsr_pc,1,True,True,True,True,True,1,PLAN:place-c,100,20,1643,mocked_canonical_transport_control,True,1,False,False,False
wrong_source_revoke,smoke,authorization,cope,1,True,True,True,True,True,1,PLAN:place-b,100,20,128,mocked_canonical_transport_control,True,1,False,False,False
wrong_source_revoke,smoke,authorization,compact_tx,2,True,True,True,True,True,1,PLAN:place-b,100,20,120,mocked_canonical_transport_control,True,1,False,False,False
wrong_source_revoke,smoke,authorization,fsr_pc,0,True,True,True,True,True,1,PLAN:place-b,100,20,1259,mocked_canonical_transport_control,True,1,False,False,False
continuity_invalid,smoke,continuity,cope,0,True,True,True,True,True,1,CANCEL:place-b,100,20,259,mocked_canonical_transport_control,True,1,False,False,False
continuity_invalid,smoke,continuity,compact_tx,1,True,True,True,True,True,1,CANCEL:place-b,100,20,1264,mocked_canonical_transport_control,True,1,False,False,False
continuity_invalid,smoke,continuity,fsr_pc,2,True,True,True,True,True,1,CANCEL:place-b,100,20,1704,mocked_canonical_transport_control,True,1,False,False,False
cancel_sibling,expansion,cancellation,cope,2,True,True,True,True,True,1,HALT,100,20,173,mocked_canonical_transport_control,True,1,False,False,False
cancel_sibling,expansion,cancellation,compact_tx,0,True,True,True,True,True,1,HALT,100,20,542,mocked_canonical_transport_control,True,1,False,False,False
cancel_sibling,expansion,cancellation,fsr_pc,1,True,True,True,True,True,1,HALT,100,20,1101,mocked_canonical_transport_control,True,1,False,False,False
activate_override,expansion,override,cope,1,True,True,True,True,True,1,HALT,100,20,203,mocked_canonical_transport_control,True,1,False,False,False
activate_override,expansion,override,compact_tx,2,True,True,True,True,True,1,HALT,100,20,1105,mocked_canonical_transport_control,True,1,False,False,False
activate_override,expansion,override,fsr_pc,0,True,True,True,True,True,1,HALT,100,20,1546,mocked_canonical_transport_control,True,1,False,False,False
release_override,expansion,release,cope,0,True,True,True,True,True,1,PLAN:place-b,100,20,201,mocked_canonical_transport_control,True,1,False,False,False
release_override,expansion,release,compact_tx,1,True,True,True,True,True,1,PLAN:place-b,100,20,862,mocked_canonical_transport_control,True,1,False,False,False
release_override,expansion,release,fsr_pc,2,True,True,True,True,True,1,PLAN:place-b,100,20,1602,mocked_canonical_transport_control,True,1,False,False,False
world_change_release,expansion,release_world_change,cope,2,True,True,True,True,True,1,PLAN:place-b,100,20,205,mocked_canonical_transport_control,True,1,False,False,False
world_change_release,expansion,release_world_change,compact_tx,0,True,True,True,True,True,1,PLAN:place-b,100,20,1045,mocked_canonical_transport_control,True,1,False,False,False
world_change_release,expansion,release_world_change,fsr_pc,1,True,True,True,True,True,1,PLAN:place-b,100,20,1644,mocked_canonical_transport_control,True,1,False,False,False
stale_version,expansion,version,cope,1,True,True,True,True,True,1,PLAN:place-b,100,20,122,mocked_canonical_transport_control,True,1,False,False,False
stale_version,expansion,version,compact_tx,2,True,True,True,True,True,1,PLAN:place-b,100,20,114,mocked_canonical_transport_control,True,1,False,False,False
stale_version,expansion,version,fsr_pc,0,True,True,True,True,True,1,PLAN:place-b,100,20,1259,mocked_canonical_transport_control,True,1,False,False,False
idempotence,expansion,idempotence,cope,0,True,True,True,True,True,1,PLAN:place-b,100,20,120,mocked_canonical_transport_control,True,1,False,False,False
idempotence,expansion,idempotence,compact_tx,1,True,True,True,True,True,1,PLAN:place-b,100,20,112,mocked_canonical_transport_control,True,1,False,False,False
idempotence,expansion,idempotence,fsr_pc,2,True,True,True,True,True,1,PLAN:place-b,100,20,1259,mocked_canonical_transport_control,True,1,False,False,False
irrelevant_sibling_change,expansion,irrelevant_change,cope,2,True,True,True,True,True,1,PLAN:place-b,100,20,160,mocked_canonical_transport_control,True,1,False,False,False
irrelevant_sibling_change,expansion,irrelevant_change,compact_tx,0,True,True,True,True,True,1,PLAN:place-b,100,20,320,mocked_canonical_transport_control,True,1,False,False,False
irrelevant_sibling_change,expansion,irrelevant_change,fsr_pc,1,True,True,True,True,True,1,PLAN:place-b,100,20,1284,mocked_canonical_transport_control,True,1,False,False,False
continuity_valid,expansion,continuity,cope,1,True,True,True,True,True,1,CONTINUE:place-b,100,20,151,mocked_canonical_transport_control,True,1,False,False,False
continuity_valid,expansion,continuity,compact_tx,2,True,True,True,True,True,1,CONTINUE:place-b,100,20,302,mocked_canonical_transport_control,True,1,False,False,False
continuity_valid,expansion,continuity,fsr_pc,0,True,True,True,True,True,1,CONTINUE:place-b,100,20,1277,mocked_canonical_transport_control,True,1,False,False,False
