case_id,state_id,event_type,semantic_config_sha256,semantic_config_loaded,reserve_manifest_sha256,reserved_state_consumed,event_id,policy_step,rgb_sha256,simulator_state_sha256,producer_commit,packet_sha256,packet_source_kind,packet_test_only,live_packet_observed,packet_matches_independent_log,validator_is_fake,validator_done_value,validator_pending_value,native_recovery_input_sha256,cope_recovery_input_sha256,recovery_input_byte_identical,recovery_input_bytes,native_schema,materialized_schema,native_state_sha256,materialized_state_sha256,canonical_states_equal,shared_validator_compiler,compiled_directive,directives_equal,accepted_transition,provider_called,oracle_operation_selector,simulator_unchanged_by_semantics,controller_actions_unchanged_by_semantics,post_event_policy_actions,passed,initial_state_sha256,prefix_action_sha256,independent_predicates_sha256
state0_replace,0,replace_pending_goal,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,True,65631c1fcc14fbac5e5e712959ad03601b0bda51c35283ef95d55d459949ac80,False,semantic-replace-v1:state0_replace,230,065fdf429b5c833ded4dfde625baadaba2463cfce07285dedd1e085d6c806e0b,d3c59ad3992444d0149030c8e9c5d45f1207286adb6ae4b90e2de9da789eb65d,298dac707bb0d57aad050978d6e81d7aab93090d,931b26999069fc6ca6725dc97b77a5a4de2c63ef109d4ce201e39abd60541536,live_libero_eval_predicate,False,True,True,False,True,False,f6461e01adb60e64dd2efabaf1fcb84b792d76db06d3e34d02b3bc8b791fce8a,f6461e01adb60e64dd2efabaf1fcb84b792d76db06d3e34d02b3bc8b791fce8a,True,126722,full-state-v2,full-state-v2,db8c695458bc2698b002e72a238dd7739424951746e4caadddd27ca17a1c79f9,db8c695458bc2698b002e72a238dd7739424951746e4caadddd27ca17a1c79f9,True,True,"""put both the alphabet soup and the cream cheese box in the basket""",True,True,False,True,True,True,0,True,5abdf8f466f490901dee9f931b32eb181b2928eaa17bb6379742f988581d564a,27acd76b5b10136e9ae17307a214a93fb0bdca38e484a87b4d1e4d1c979414b9,d2d9b7650c45ffbb69121801a749e56b5f3b207901c4778c35c8a179bb0f9f89
state0_cancel,0,cancel_pending_goal,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,True,65631c1fcc14fbac5e5e712959ad03601b0bda51c35283ef95d55d459949ac80,False,semantic-cancel-v1:state0_cancel,230,065fdf429b5c833ded4dfde625baadaba2463cfce07285dedd1e085d6c806e0b,d3c59ad3992444d0149030c8e9c5d45f1207286adb6ae4b90e2de9da789eb65d,298dac707bb0d57aad050978d6e81d7aab93090d,94f4b817dd874053fc21eed4893de25602252c74211061102674f3336e92ebd7,live_libero_eval_predicate,False,True,True,False,True,False,5a7a22f318ecbaf68347dd4b3de54e3e8f1a09d0b065cdb9fd1466252b063b67,5a7a22f318ecbaf68347dd4b3de54e3e8f1a09d0b065cdb9fd1466252b063b67,True,126585,full-state-v2,full-state-v2,bf56fff7243cb3f0089febd1fcde0502135005f168cd1137b12a28bbcc3d5ed4,bf56fff7243cb3f0089febd1fcde0502135005f168cd1137b12a28bbcc3d5ed4,True,True,"""HALT""",True,True,False,True,True,True,0,True,5abdf8f466f490901dee9f931b32eb181b2928eaa17bb6379742f988581d564a,27acd76b5b10136e9ae17307a214a93fb0bdca38e484a87b4d1e4d1c979414b9,d2d9b7650c45ffbb69121801a749e56b5f3b207901c4778c35c8a179bb0f9f89
state1_replace,1,replace_pending_goal,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,True,65631c1fcc14fbac5e5e712959ad03601b0bda51c35283ef95d55d459949ac80,False,semantic-replace-v1:state1_replace,218,ae15ef9e414112591710738acb23ef800a28f9c1e1ce1c67ef9974ff27ef7356,3a87f872db02c740ed9b1fc59e57a5f5004c8548dce103de3be1179e40e3312d,298dac707bb0d57aad050978d6e81d7aab93090d,74128f90aeebdd96ffc79f0c5e452c670e641dd7490a69c8517b6791a8e9b299,live_libero_eval_predicate,False,True,True,False,True,False,43c6cb6255f747c6e1bce64d2a1816c091c7abbf6f6e0262bc8100bb7f40bdac,43c6cb6255f747c6e1bce64d2a1816c091c7abbf6f6e0262bc8100bb7f40bdac,True,125045,full-state-v2,full-state-v2,97dcfb7ed32be4fe18d9ee170712696fa7adb333925cfb8e37685b65737e0d51,97dcfb7ed32be4fe18d9ee170712696fa7adb333925cfb8e37685b65737e0d51,True,True,"""put both the alphabet soup and the cream cheese box in the basket""",True,True,False,True,True,True,0,True,cd3e7f86ef217ee7b7d26cc505b3f56ea8f49664ef10f6749270dfcd39dd17a6,107329b7806bf43fe811d1641f40e952414d6f8619d4743516d978035ab92542,d2d9b7650c45ffbb69121801a749e56b5f3b207901c4778c35c8a179bb0f9f89
state1_cancel,1,cancel_pending_goal,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,True,65631c1fcc14fbac5e5e712959ad03601b0bda51c35283ef95d55d459949ac80,False,semantic-cancel-v1:state1_cancel,218,ae15ef9e414112591710738acb23ef800a28f9c1e1ce1c67ef9974ff27ef7356,3a87f872db02c740ed9b1fc59e57a5f5004c8548dce103de3be1179e40e3312d,298dac707bb0d57aad050978d6e81d7aab93090d,ff5513a2462da1ed4bcf884d012d3aacfb822aff1b267656875b76edef67923d,live_libero_eval_predicate,False,True,True,False,True,False,6d62c7df0603b7888b9574110d273f68216700a81f951d709051c37539e627f3,6d62c7df0603b7888b9574110d273f68216700a81f951d709051c37539e627f3,True,124908,full-state-v2,full-state-v2,a0174f3771b6999aedddaf310d4add821c36c66e00d15704e1e81bf4112001a9,a0174f3771b6999aedddaf310d4add821c36c66e00d15704e1e81bf4112001a9,True,True,"""HALT""",True,True,False,True,True,True,0,True,cd3e7f86ef217ee7b7d26cc505b3f56ea8f49664ef10f6749270dfcd39dd17a6,107329b7806bf43fe811d1641f40e952414d6f8619d4743516d978035ab92542,d2d9b7650c45ffbb69121801a749e56b5f3b207901c4778c35c8a179bb0f9f89
state2_replace,2,replace_pending_goal,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,True,65631c1fcc14fbac5e5e712959ad03601b0bda51c35283ef95d55d459949ac80,False,semantic-replace-v1:state2_replace,217,6df7c7310c11ebff6fb4df2db8c5e0dc3f723f7a1b1b0a9d394a4e886ac89d0c,aab4f7f855c8574780800eae5c1a1ab1d4bb5ada75eda13726387c4309cc54bd,298dac707bb0d57aad050978d6e81d7aab93090d,bf4b1f0332893e90f92237dd86c9df9f1fff0e025f39ff108ee0ba8b9773bcef,live_libero_eval_predicate,False,True,True,False,True,False,3336f71118c36295aa6397ab86a875edbbe40fdb5dca0ba680cb6181bf88fa4a,3336f71118c36295aa6397ab86a875edbbe40fdb5dca0ba680cb6181bf88fa4a,True,125565,full-state-v2,full-state-v2,98f496b8ceddccb68f53e0fcae01ec170143d6d1497513a69ea6c692d2d8c39e,98f496b8ceddccb68f53e0fcae01ec170143d6d1497513a69ea6c692d2d8c39e,True,True,"""put both the alphabet soup and the cream cheese box in the basket""",True,True,False,True,True,True,0,True,ab6bf2ca98e96f1692d8ec7a5b7ec25eee1ea61c57d45c2816ac3dcc938ea3ee,e3980521d67f64f56e2032e9664db2e8638edae36839f1a9c6494cc7d1ac287f,d2d9b7650c45ffbb69121801a749e56b5f3b207901c4778c35c8a179bb0f9f89
state2_cancel,2,cancel_pending_goal,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,True,65631c1fcc14fbac5e5e712959ad03601b0bda51c35283ef95d55d459949ac80,False,semantic-cancel-v1:state2_cancel,217,6df7c7310c11ebff6fb4df2db8c5e0dc3f723f7a1b1b0a9d394a4e886ac89d0c,aab4f7f855c8574780800eae5c1a1ab1d4bb5ada75eda13726387c4309cc54bd,298dac707bb0d57aad050978d6e81d7aab93090d,ae6ac01971a1029cc117ccf6b44ea8c4eba0d68c3276b9abf798ed5e1d565d10,live_libero_eval_predicate,False,True,True,False,True,False,240bb47c1cb8083410e66608a0629c64050ee0aeb040094c68d6484e0ff326fc,240bb47c1cb8083410e66608a0629c64050ee0aeb040094c68d6484e0ff326fc,True,125428,full-state-v2,full-state-v2,26017de6624cdc89c98267b2b92b47a23799f1a03061e5f83f3098501cb7a8d0,26017de6624cdc89c98267b2b92b47a23799f1a03061e5f83f3098501cb7a8d0,True,True,"""HALT""",True,True,False,True,True,True,0,True,ab6bf2ca98e96f1692d8ec7a5b7ec25eee1ea61c57d45c2816ac3dcc938ea3ee,e3980521d67f64f56e2032e9664db2e8638edae36839f1a9c6494cc7d1ac287f,d2d9b7650c45ffbb69121801a749e56b5f3b207901c4778c35c8a179bb0f9f89
state3_replace,3,replace_pending_goal,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,True,65631c1fcc14fbac5e5e712959ad03601b0bda51c35283ef95d55d459949ac80,False,semantic-replace-v1:state3_replace,218,878105b0cce9e6ff3b69472aae91a50a41cc80345a1d0abd5265cc7e15181d81,3126b95bc3af8d3ea64b237295d49857ebdd8ae9fe22da9938a1f6b835459fc9,298dac707bb0d57aad050978d6e81d7aab93090d,ef7dc9e15b8f50ecff1fea3cb0cfdf452fc3d8d5e1daef7b8032685b810c5866,live_libero_eval_predicate,False,True,True,False,True,False,c77e37185e2ab2ddcbef0d6eb983bf1416488b8cb3978d0d61b6a0ecf1ab75c5,c77e37185e2ab2ddcbef0d6eb983bf1416488b8cb3978d0d61b6a0ecf1ab75c5,True,125357,full-state-v2,full-state-v2,1df95e38c129a21e13983d71be1949856bf3285cf9da8edf33af333ef99801bb,1df95e38c129a21e13983d71be1949856bf3285cf9da8edf33af333ef99801bb,True,True,"""put both the alphabet soup and the cream cheese box in the basket""",True,True,False,True,True,True,0,True,3e0d23df2cf22ae6e897e15a1739d5bf25474b4e33196644890b8485f0e880f5,06bb5c02f18b6928b2b4c9da71c11b77b10f96f622307207495b6698108e14c7,d2d9b7650c45ffbb69121801a749e56b5f3b207901c4778c35c8a179bb0f9f89
state3_cancel,3,cancel_pending_goal,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,True,65631c1fcc14fbac5e5e712959ad03601b0bda51c35283ef95d55d459949ac80,False,semantic-cancel-v1:state3_cancel,218,878105b0cce9e6ff3b69472aae91a50a41cc80345a1d0abd5265cc7e15181d81,3126b95bc3af8d3ea64b237295d49857ebdd8ae9fe22da9938a1f6b835459fc9,298dac707bb0d57aad050978d6e81d7aab93090d,18046eb54b189e1f9ee1662d0650949716398b4ada6974651fbef85b6653ce53,live_libero_eval_predicate,False,True,True,False,True,False,039642a8bf314e62b5e69b82cfe527b407038a261626296cab09bc1c3349b9fd,039642a8bf314e62b5e69b82cfe527b407038a261626296cab09bc1c3349b9fd,True,125220,full-state-v2,full-state-v2,aa9c47bbdd73167cdfde60abd70092d18faa1fed5bc72f104adfaddabb6284d8,aa9c47bbdd73167cdfde60abd70092d18faa1fed5bc72f104adfaddabb6284d8,True,True,"""HALT""",True,True,False,True,True,True,0,True,3e0d23df2cf22ae6e897e15a1739d5bf25474b4e33196644890b8485f0e880f5,06bb5c02f18b6928b2b4c9da71c11b77b10f96f622307207495b6698108e14c7,d2d9b7650c45ffbb69121801a749e56b5f3b207901c4778c35c8a179bb0f9f89
state4_replace,4,replace_pending_goal,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,True,65631c1fcc14fbac5e5e712959ad03601b0bda51c35283ef95d55d459949ac80,False,semantic-replace-v1:state4_replace,220,9050020d4694c71b67a19a6b372cd46e8b26aeda45df9f367fb40acd61185a2d,97fb4072dfd3a85c3faa636367901a7969f4c609d0f197bb09362ac1ca80cc40,298dac707bb0d57aad050978d6e81d7aab93090d,2e170ac88ed283a7dcc33c1e7ee0facb260f6d496d4cb68860bd26209a78eec4,live_libero_eval_predicate,False,True,True,False,True,False,c00aad8e940f7e4dc9ae69014e438b78759768e9c3e494533a929fc2b4bdd7bf,c00aad8e940f7e4dc9ae69014e438b78759768e9c3e494533a929fc2b4bdd7bf,True,124799,full-state-v2,full-state-v2,d0daae0db46e36b78de1e32a465312107cefcdeb34a2d1924fe6669161526cab,d0daae0db46e36b78de1e32a465312107cefcdeb34a2d1924fe6669161526cab,True,True,"""put both the alphabet soup and the cream cheese box in the basket""",True,True,False,True,True,True,0,True,d2cecde6c34039556fadf729cf7eb15d628b42094f6f0c092d9969c9cf659856,3d12aedc5920f3fe40c2488476391b20c1499ff77c2ac53d9e7c778cec10c532,d2d9b7650c45ffbb69121801a749e56b5f3b207901c4778c35c8a179bb0f9f89
state4_cancel,4,cancel_pending_goal,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,True,65631c1fcc14fbac5e5e712959ad03601b0bda51c35283ef95d55d459949ac80,False,semantic-cancel-v1:state4_cancel,220,9050020d4694c71b67a19a6b372cd46e8b26aeda45df9f367fb40acd61185a2d,97fb4072dfd3a85c3faa636367901a7969f4c609d0f197bb09362ac1ca80cc40,298dac707bb0d57aad050978d6e81d7aab93090d,3604ddc3b4a3c3bc6cd1c3c744e92963a2480837cc326ccaefdfa6ae7d9895f3,live_libero_eval_predicate,False,True,True,False,True,False,31fda374a086e5df77a460224b9c734e3fc3fee9da0ac608af21ab7f0e0f2a10,31fda374a086e5df77a460224b9c734e3fc3fee9da0ac608af21ab7f0e0f2a10,True,124662,full-state-v2,full-state-v2,1dac3f9f9d31c2de9bb8dc4d41453e4b4d4d3ded6f7eb9e5e2270f148f2e3f6d,1dac3f9f9d31c2de9bb8dc4d41453e4b4d4d3ded6f7eb9e5e2270f148f2e3f6d,True,True,"""HALT""",True,True,False,True,True,True,0,True,d2cecde6c34039556fadf729cf7eb15d628b42094f6f0c092d9969c9cf659856,3d12aedc5920f3fe40c2488476391b20c1499ff77c2ac53d9e7c778cec10c532,d2d9b7650c45ffbb69121801a749e56b5f3b207901c4778c35c8a179bb0f9f89
