case_id,state_id,event_type,semantic_config_sha256,semantic_config_loaded,reserve_manifest_sha256,reserved_state_consumed,event_id,policy_step,rgb_sha256,simulator_state_sha256,producer_commit,packet_sha256,packet_source_kind,packet_test_only,live_packet_observed,packet_matches_independent_log,validator_is_fake,validator_done_value,validator_pending_value,native_recovery_input_sha256,cope_recovery_input_sha256,recovery_input_byte_identical,recovery_input_bytes,native_schema,materialized_schema,native_state_sha256,materialized_state_sha256,canonical_states_equal,shared_validator_compiler,compiled_directive,directives_equal,accepted_transition,provider_called,oracle_operation_selector,semantic_pass,simulator_state_before,simulator_state_after,simulator_unchanged_by_semantics,controller_action_count_before,controller_action_count_after,controller_actions_unchanged_by_semantics,post_event_policy_actions,passed,initial_state_sha256,prefix_action_sha256,independent_predicates_sha256,stability_trace_sha256,stable_steps_observed,warmup_steps,controller_config_sha256,case_manifest_sha256,runtime_git_commit,gpu_visible,live_packet_builder,init_container_deserialized,initial_state_indexed,reserved_states_indexed
state0_replace,0,replace_pending_goal,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,True,65631c1fcc14fbac5e5e712959ad03601b0bda51c35283ef95d55d459949ac80,False,semantic-replace-v1:state0_replace,193,7850fced2ae6bcfdd43f1c6e88b07fb88c3c1a3a4522a691aef51d7a0c11c1d0,afe7f3ee3d45d1ac3b95d39405d865981e974c3d86860a0a16fa0685b87bae41,298dac707bb0d57aad050978d6e81d7aab93090d,d9e00031426b7e2b8c72b2e58a36d5e4ea49e22191a697b70a1ba7c99d6d59da,live_libero_eval_predicate,False,True,True,False,True,False,a45476c0143cb4dcb6e32ab96a6f3999e9c5d802ca5522d9201755a076cbce9c,a45476c0143cb4dcb6e32ab96a6f3999e9c5d802ca5522d9201755a076cbce9c,True,28490,full-state-v2,full-state-v2,2cadca91197e78bb9e917afd7754c3ec95f99eb34d4693ac841c27e8fccc4b9d,2cadca91197e78bb9e917afd7754c3ec95f99eb34d4693ac841c27e8fccc4b9d,True,True,"""put both the alphabet soup and the cream cheese box in the basket""",True,True,False,True,True,afe7f3ee3d45d1ac3b95d39405d865981e974c3d86860a0a16fa0685b87bae41,afe7f3ee3d45d1ac3b95d39405d865981e974c3d86860a0a16fa0685b87bae41,True,193,193,True,0,True,5abdf8f466f490901dee9f931b32eb181b2928eaa17bb6379742f988581d564a,e2c2a17e9e7a9ecfc325aaaaaae9acfd125ef15042a49a5fc0bccaaf20a107b4,d2d9b7650c45ffbb69121801a749e56b5f3b207901c4778c35c8a179bb0f9f89,5097797966079d2fde03b5373a06e0e99a64d85135a30d78fa12228dfffb44e7,5,10,18b8376dbce15c850a234f9480523f378b55e547fdc2963459914ced417be43d,08cbe306fe996c8edabce45d9cb9a5ab91dc0dabaf20e446846927ba92010059,739e175521e93a8c598cdef20f5b0570f1809c81,,attach_libero_predicate_snapshot,True,0,False
state0_cancel,0,cancel_pending_goal,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,True,65631c1fcc14fbac5e5e712959ad03601b0bda51c35283ef95d55d459949ac80,False,semantic-cancel-v1:state0_cancel,193,7850fced2ae6bcfdd43f1c6e88b07fb88c3c1a3a4522a691aef51d7a0c11c1d0,afe7f3ee3d45d1ac3b95d39405d865981e974c3d86860a0a16fa0685b87bae41,298dac707bb0d57aad050978d6e81d7aab93090d,d60ce57a92ef1b67ac9e8e91b5d0cffea7feb2f9e193f3b08aaf506de6f8634b,live_libero_eval_predicate,False,True,True,False,True,False,397bb526fed4aed5d48fe51e53d5aa1a86572dca316da9a893da53b0ac156321,397bb526fed4aed5d48fe51e53d5aa1a86572dca316da9a893da53b0ac156321,True,28353,full-state-v2,full-state-v2,aa833d7a07397e294985a58c5d0630df9ce462ba4dc04de04189eacfa39321d6,aa833d7a07397e294985a58c5d0630df9ce462ba4dc04de04189eacfa39321d6,True,True,"""HALT""",True,True,False,True,True,afe7f3ee3d45d1ac3b95d39405d865981e974c3d86860a0a16fa0685b87bae41,afe7f3ee3d45d1ac3b95d39405d865981e974c3d86860a0a16fa0685b87bae41,True,193,193,True,0,True,5abdf8f466f490901dee9f931b32eb181b2928eaa17bb6379742f988581d564a,e2c2a17e9e7a9ecfc325aaaaaae9acfd125ef15042a49a5fc0bccaaf20a107b4,d2d9b7650c45ffbb69121801a749e56b5f3b207901c4778c35c8a179bb0f9f89,5097797966079d2fde03b5373a06e0e99a64d85135a30d78fa12228dfffb44e7,5,10,18b8376dbce15c850a234f9480523f378b55e547fdc2963459914ced417be43d,08cbe306fe996c8edabce45d9cb9a5ab91dc0dabaf20e446846927ba92010059,739e175521e93a8c598cdef20f5b0570f1809c81,,attach_libero_predicate_snapshot,True,0,False
state1_replace,1,replace_pending_goal,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,True,65631c1fcc14fbac5e5e712959ad03601b0bda51c35283ef95d55d459949ac80,False,semantic-replace-v1:state1_replace,207,35b8548bb129e389221418b8ee3ad247fd368ca5e8b6f5c476b3bcf63058b34e,49429515323a0ce2471da0827c3f0411436415d1af5aa6c03eefd4f15fd28d38,298dac707bb0d57aad050978d6e81d7aab93090d,48be51848cabcf3416011c019583cade28b06aea6ced1a7fa0fd7ff219c4e12d,live_libero_eval_predicate,False,True,True,False,True,False,9e7a02517d0e505778d1051d1cc4dd74c7c7b734843f256079d19a1efc639ca8,9e7a02517d0e505778d1051d1cc4dd74c7c7b734843f256079d19a1efc639ca8,True,30055,full-state-v2,full-state-v2,e829e0b1b3be97c182c570b1b7861b8900d7c76c3eacf253d59d6006c31d6165,e829e0b1b3be97c182c570b1b7861b8900d7c76c3eacf253d59d6006c31d6165,True,True,"""put both the alphabet soup and the cream cheese box in the basket""",True,True,False,True,True,49429515323a0ce2471da0827c3f0411436415d1af5aa6c03eefd4f15fd28d38,49429515323a0ce2471da0827c3f0411436415d1af5aa6c03eefd4f15fd28d38,True,207,207,True,0,True,cd3e7f86ef217ee7b7d26cc505b3f56ea8f49664ef10f6749270dfcd39dd17a6,6d852401fda641d737c1291fe72cfb455603587cfdace60f3007d93c212400e1,d2d9b7650c45ffbb69121801a749e56b5f3b207901c4778c35c8a179bb0f9f89,5097797966079d2fde03b5373a06e0e99a64d85135a30d78fa12228dfffb44e7,5,10,18b8376dbce15c850a234f9480523f378b55e547fdc2963459914ced417be43d,08cbe306fe996c8edabce45d9cb9a5ab91dc0dabaf20e446846927ba92010059,739e175521e93a8c598cdef20f5b0570f1809c81,,attach_libero_predicate_snapshot,True,1,False
state1_cancel,1,cancel_pending_goal,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,True,65631c1fcc14fbac5e5e712959ad03601b0bda51c35283ef95d55d459949ac80,False,semantic-cancel-v1:state1_cancel,207,35b8548bb129e389221418b8ee3ad247fd368ca5e8b6f5c476b3bcf63058b34e,49429515323a0ce2471da0827c3f0411436415d1af5aa6c03eefd4f15fd28d38,298dac707bb0d57aad050978d6e81d7aab93090d,96ffd4e9706df43cc8a5468d1e853754844ea1e6141505ace97ca8142fc8fea9,live_libero_eval_predicate,False,True,True,False,True,False,f932784b581a4c571bb5eae2bd35bd78f22326d3de839060a51c87ade9a8f9f7,f932784b581a4c571bb5eae2bd35bd78f22326d3de839060a51c87ade9a8f9f7,True,29918,full-state-v2,full-state-v2,e7f46f8aaee2eceab6c42ac2920858e4db83297129363d5df252e57ad288d886,e7f46f8aaee2eceab6c42ac2920858e4db83297129363d5df252e57ad288d886,True,True,"""HALT""",True,True,False,True,True,49429515323a0ce2471da0827c3f0411436415d1af5aa6c03eefd4f15fd28d38,49429515323a0ce2471da0827c3f0411436415d1af5aa6c03eefd4f15fd28d38,True,207,207,True,0,True,cd3e7f86ef217ee7b7d26cc505b3f56ea8f49664ef10f6749270dfcd39dd17a6,6d852401fda641d737c1291fe72cfb455603587cfdace60f3007d93c212400e1,d2d9b7650c45ffbb69121801a749e56b5f3b207901c4778c35c8a179bb0f9f89,5097797966079d2fde03b5373a06e0e99a64d85135a30d78fa12228dfffb44e7,5,10,18b8376dbce15c850a234f9480523f378b55e547fdc2963459914ced417be43d,08cbe306fe996c8edabce45d9cb9a5ab91dc0dabaf20e446846927ba92010059,739e175521e93a8c598cdef20f5b0570f1809c81,,attach_libero_predicate_snapshot,True,1,False
state2_replace,2,replace_pending_goal,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,True,65631c1fcc14fbac5e5e712959ad03601b0bda51c35283ef95d55d459949ac80,False,semantic-replace-v1:state2_replace,192,e31c4be24619c4e16876989d6432433ece7ed8111fd0d7679ed4f1fe789b08cf,71e0265d8a871b32ea162f6686a29caa2c543db3b1397c38d95bd69f7cb64b73,298dac707bb0d57aad050978d6e81d7aab93090d,a150e8f1aebe8b55ad9a52c5f54e769b385b9cc1c53d4c8fd720cc992ff95f0a,live_libero_eval_predicate,False,True,True,False,True,False,496a3ae9c73e84f9b4249bb84aa2b93fb024783da5f18db7bd6e4ea91af6495b,496a3ae9c73e84f9b4249bb84aa2b93fb024783da5f18db7bd6e4ea91af6495b,True,28282,full-state-v2,full-state-v2,61de8492eb7543005099a0b2d6cadbabdfe21f0ecb1e802cbb6138d80da30041,61de8492eb7543005099a0b2d6cadbabdfe21f0ecb1e802cbb6138d80da30041,True,True,"""put both the alphabet soup and the cream cheese box in the basket""",True,True,False,True,True,71e0265d8a871b32ea162f6686a29caa2c543db3b1397c38d95bd69f7cb64b73,71e0265d8a871b32ea162f6686a29caa2c543db3b1397c38d95bd69f7cb64b73,True,192,192,True,0,True,ab6bf2ca98e96f1692d8ec7a5b7ec25eee1ea61c57d45c2816ac3dcc938ea3ee,055ab894005b6f1d78179d9dfe302818aba4ce2cb51b1115753153a3c22ab77c,d2d9b7650c45ffbb69121801a749e56b5f3b207901c4778c35c8a179bb0f9f89,5097797966079d2fde03b5373a06e0e99a64d85135a30d78fa12228dfffb44e7,5,10,18b8376dbce15c850a234f9480523f378b55e547fdc2963459914ced417be43d,08cbe306fe996c8edabce45d9cb9a5ab91dc0dabaf20e446846927ba92010059,739e175521e93a8c598cdef20f5b0570f1809c81,,attach_libero_predicate_snapshot,True,2,False
state2_cancel,2,cancel_pending_goal,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,True,65631c1fcc14fbac5e5e712959ad03601b0bda51c35283ef95d55d459949ac80,False,semantic-cancel-v1:state2_cancel,192,e31c4be24619c4e16876989d6432433ece7ed8111fd0d7679ed4f1fe789b08cf,71e0265d8a871b32ea162f6686a29caa2c543db3b1397c38d95bd69f7cb64b73,298dac707bb0d57aad050978d6e81d7aab93090d,7da4428a30ff2e9b70234d084aa519cd07e553a4d3d00692121aada8cb257abf,live_libero_eval_predicate,False,True,True,False,True,False,8e774a5f6fc3324f5d6b082b695337edf41bd0f38fc2670cad50778e30ced5d1,8e774a5f6fc3324f5d6b082b695337edf41bd0f38fc2670cad50778e30ced5d1,True,28145,full-state-v2,full-state-v2,90b1b8c03850fdafc7107db61a3f75c5317278c26edc45fcf3cb177f8f58f3c2,90b1b8c03850fdafc7107db61a3f75c5317278c26edc45fcf3cb177f8f58f3c2,True,True,"""HALT""",True,True,False,True,True,71e0265d8a871b32ea162f6686a29caa2c543db3b1397c38d95bd69f7cb64b73,71e0265d8a871b32ea162f6686a29caa2c543db3b1397c38d95bd69f7cb64b73,True,192,192,True,0,True,ab6bf2ca98e96f1692d8ec7a5b7ec25eee1ea61c57d45c2816ac3dcc938ea3ee,055ab894005b6f1d78179d9dfe302818aba4ce2cb51b1115753153a3c22ab77c,d2d9b7650c45ffbb69121801a749e56b5f3b207901c4778c35c8a179bb0f9f89,5097797966079d2fde03b5373a06e0e99a64d85135a30d78fa12228dfffb44e7,5,10,18b8376dbce15c850a234f9480523f378b55e547fdc2963459914ced417be43d,08cbe306fe996c8edabce45d9cb9a5ab91dc0dabaf20e446846927ba92010059,739e175521e93a8c598cdef20f5b0570f1809c81,,attach_libero_predicate_snapshot,True,2,False
state3_replace,3,replace_pending_goal,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,True,65631c1fcc14fbac5e5e712959ad03601b0bda51c35283ef95d55d459949ac80,False,semantic-replace-v1:state3_replace,206,39b5cb2fc9127c1483137e7177452bc4272f852d053aab78b3373a46bb0ae3b2,e94f9e08bc99f0ffe4bde85d0b5e9a3c1533527914e451839794e93bcb14b94b,298dac707bb0d57aad050978d6e81d7aab93090d,f1699f1dc4ffaac8eb7fc7489aa0047165a3d9d187c98389c73feeb9ea289052,live_libero_eval_predicate,False,True,True,False,True,False,66013d357f3d355519e5e5c2f654a90afeb2e1ce55e3365ab06b5758b4352f04,66013d357f3d355519e5e5c2f654a90afeb2e1ce55e3365ab06b5758b4352f04,True,29967,full-state-v2,full-state-v2,a0309c31988f5cf986e67147cd3445d2150c260403f010412f92f0bec7925bd1,a0309c31988f5cf986e67147cd3445d2150c260403f010412f92f0bec7925bd1,True,True,"""put both the alphabet soup and the cream cheese box in the basket""",True,True,False,True,True,e94f9e08bc99f0ffe4bde85d0b5e9a3c1533527914e451839794e93bcb14b94b,e94f9e08bc99f0ffe4bde85d0b5e9a3c1533527914e451839794e93bcb14b94b,True,206,206,True,0,True,3e0d23df2cf22ae6e897e15a1739d5bf25474b4e33196644890b8485f0e880f5,be14b38b2a5758baa52c57f97d6cb0ce4358c69ec342b2b51507ec8216bf688b,d2d9b7650c45ffbb69121801a749e56b5f3b207901c4778c35c8a179bb0f9f89,5097797966079d2fde03b5373a06e0e99a64d85135a30d78fa12228dfffb44e7,5,10,18b8376dbce15c850a234f9480523f378b55e547fdc2963459914ced417be43d,08cbe306fe996c8edabce45d9cb9a5ab91dc0dabaf20e446846927ba92010059,739e175521e93a8c598cdef20f5b0570f1809c81,,attach_libero_predicate_snapshot,True,3,False
state3_cancel,3,cancel_pending_goal,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,True,65631c1fcc14fbac5e5e712959ad03601b0bda51c35283ef95d55d459949ac80,False,semantic-cancel-v1:state3_cancel,206,39b5cb2fc9127c1483137e7177452bc4272f852d053aab78b3373a46bb0ae3b2,e94f9e08bc99f0ffe4bde85d0b5e9a3c1533527914e451839794e93bcb14b94b,298dac707bb0d57aad050978d6e81d7aab93090d,b61d6f90c819062f89e8230681ba25e7332098eff6715ea7d1ee53444edda428,live_libero_eval_predicate,False,True,True,False,True,False,84818f9a6e2ae7f9f4f1243abeae5cfa36ae1fdf91599258e9472a8c4d47a2d3,84818f9a6e2ae7f9f4f1243abeae5cfa36ae1fdf91599258e9472a8c4d47a2d3,True,29830,full-state-v2,full-state-v2,11705c865229bd16e844747a0e2a7a7f94ad135efe04dffdd23c88ce007c7632,11705c865229bd16e844747a0e2a7a7f94ad135efe04dffdd23c88ce007c7632,True,True,"""HALT""",True,True,False,True,True,e94f9e08bc99f0ffe4bde85d0b5e9a3c1533527914e451839794e93bcb14b94b,e94f9e08bc99f0ffe4bde85d0b5e9a3c1533527914e451839794e93bcb14b94b,True,206,206,True,0,True,3e0d23df2cf22ae6e897e15a1739d5bf25474b4e33196644890b8485f0e880f5,be14b38b2a5758baa52c57f97d6cb0ce4358c69ec342b2b51507ec8216bf688b,d2d9b7650c45ffbb69121801a749e56b5f3b207901c4778c35c8a179bb0f9f89,5097797966079d2fde03b5373a06e0e99a64d85135a30d78fa12228dfffb44e7,5,10,18b8376dbce15c850a234f9480523f378b55e547fdc2963459914ced417be43d,08cbe306fe996c8edabce45d9cb9a5ab91dc0dabaf20e446846927ba92010059,739e175521e93a8c598cdef20f5b0570f1809c81,,attach_libero_predicate_snapshot,True,3,False
state4_replace,4,replace_pending_goal,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,True,65631c1fcc14fbac5e5e712959ad03601b0bda51c35283ef95d55d459949ac80,False,semantic-replace-v1:state4_replace,207,472c580470ee3db896f0c6263209ed6fa8a018dd0b99262a85af6c0ec086e89c,a8d4f9e650f089eaf1c1f20ec9a3b606e4e1df465debbae22f950d33e0ebf740,298dac707bb0d57aad050978d6e81d7aab93090d,2c7a43c5275b4aac1fc5fbab9dab18e01a8abf71d1f0929b24839656f7af0e8f,live_libero_eval_predicate,False,True,True,False,True,False,0f6b628f4f7aae5b227dfb204f99461c2022cac51f5c0c7e5fd2e735a86875c9,0f6b628f4f7aae5b227dfb204f99461c2022cac51f5c0c7e5fd2e735a86875c9,True,29858,full-state-v2,full-state-v2,8e81460ffb21efd01a4480845e08e4ee54720d01d451a0ab6cc7cfb2284c134e,8e81460ffb21efd01a4480845e08e4ee54720d01d451a0ab6cc7cfb2284c134e,True,True,"""put both the alphabet soup and the cream cheese box in the basket""",True,True,False,True,True,a8d4f9e650f089eaf1c1f20ec9a3b606e4e1df465debbae22f950d33e0ebf740,a8d4f9e650f089eaf1c1f20ec9a3b606e4e1df465debbae22f950d33e0ebf740,True,207,207,True,0,True,d2cecde6c34039556fadf729cf7eb15d628b42094f6f0c092d9969c9cf659856,8ecbd18589a3494374f4360b35d9fe2ff9f2987a78e2ac3b28c1b7f2b7e457ae,d2d9b7650c45ffbb69121801a749e56b5f3b207901c4778c35c8a179bb0f9f89,5097797966079d2fde03b5373a06e0e99a64d85135a30d78fa12228dfffb44e7,5,10,18b8376dbce15c850a234f9480523f378b55e547fdc2963459914ced417be43d,08cbe306fe996c8edabce45d9cb9a5ab91dc0dabaf20e446846927ba92010059,739e175521e93a8c598cdef20f5b0570f1809c81,,attach_libero_predicate_snapshot,True,4,False
state4_cancel,4,cancel_pending_goal,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,True,65631c1fcc14fbac5e5e712959ad03601b0bda51c35283ef95d55d459949ac80,False,semantic-cancel-v1:state4_cancel,207,472c580470ee3db896f0c6263209ed6fa8a018dd0b99262a85af6c0ec086e89c,a8d4f9e650f089eaf1c1f20ec9a3b606e4e1df465debbae22f950d33e0ebf740,298dac707bb0d57aad050978d6e81d7aab93090d,da6bbfcd30eefb04e20ff6f375d2fb899c96aa2e14c78d8de318caed8d9d4664,live_libero_eval_predicate,False,True,True,False,True,False,a67b9cc68a733fdfb6f7be0a66ba92850cfa319508c53a2ce97f83b6fd08d5ce,a67b9cc68a733fdfb6f7be0a66ba92850cfa319508c53a2ce97f83b6fd08d5ce,True,29721,full-state-v2,full-state-v2,d8e604850b7cfd12736c6903a4d118279aab945e53db54ef91db348791def822,d8e604850b7cfd12736c6903a4d118279aab945e53db54ef91db348791def822,True,True,"""HALT""",True,True,False,True,True,a8d4f9e650f089eaf1c1f20ec9a3b606e4e1df465debbae22f950d33e0ebf740,a8d4f9e650f089eaf1c1f20ec9a3b606e4e1df465debbae22f950d33e0ebf740,True,207,207,True,0,True,d2cecde6c34039556fadf729cf7eb15d628b42094f6f0c092d9969c9cf659856,8ecbd18589a3494374f4360b35d9fe2ff9f2987a78e2ac3b28c1b7f2b7e457ae,d2d9b7650c45ffbb69121801a749e56b5f3b207901c4778c35c8a179bb0f9f89,5097797966079d2fde03b5373a06e0e99a64d85135a30d78fa12228dfffb44e7,5,10,18b8376dbce15c850a234f9480523f378b55e547fdc2963459914ced417be43d,08cbe306fe996c8edabce45d9cb9a5ab91dc0dabaf20e446846927ba92010059,739e175521e93a8c598cdef20f5b0570f1809c81,,attach_libero_predicate_snapshot,True,4,False
