case_id,first_sha256,second_sha256,byte_identical
no_op,4a599668f8f0f601998c9424eab209006f0bf9bdffbec69e8e04c0eab113dca8,4a599668f8f0f601998c9424eab209006f0bf9bdffbec69e8e04c0eab113dca8,True
cancel_sibling,f2619914ac4a95b9dc1c8d9247337d1d503e4748ae3147319f3cf43a1d55a61b,f2619914ac4a95b9dc1c8d9247337d1d503e4748ae3147319f3cf43a1d55a61b,True
replace_pending_target,3fa397f554f566d0d17c4dd632d83268616af26076e41db9bedef826b40d2beb,3fa397f554f566d0d17c4dd632d83268616af26076e41db9bedef826b40d2beb,True
activate_override,fcdfdfdd06950ec6367cff822ba8096ac060d3b6449490dfdc8b58fe2b7319ce,fcdfdfdd06950ec6367cff822ba8096ac060d3b6449490dfdc8b58fe2b7319ce,True
release_override,a071e6362c074118bb856e10c77bf7155ff80aff2abe8ae6a096419c8cba9027,a071e6362c074118bb856e10c77bf7155ff80aff2abe8ae6a096419c8cba9027,True
world_change_release,6b1c7146c283cda033189a6f855910865284b1ebb152fa340d09c8ed60b32921,6b1c7146c283cda033189a6f855910865284b1ebb152fa340d09c8ed60b32921,True
wrong_source_revoke,3b34dd860618e183d38b76cfd2a4e277fd87d7b875c59b001d2239e815de79b4,3b34dd860618e183d38b76cfd2a4e277fd87d7b875c59b001d2239e815de79b4,True
stale_version,88b06a16e96dd3b924464893c902d147683309702bbdefd30a8842207ac92e35,88b06a16e96dd3b924464893c902d147683309702bbdefd30a8842207ac92e35,True
idempotence,b6b104ca48b644e6566d5a0216ec5607a4635cb33e2afa08b044fdca64200a84,b6b104ca48b644e6566d5a0216ec5607a4635cb33e2afa08b044fdca64200a84,True
irrelevant_sibling_change,403f2daf937b7ce9bb0b3b0c2949be8c14d838e834553d52b93fc951f1520518,403f2daf937b7ce9bb0b3b0c2949be8c14d838e834553d52b93fc951f1520518,True
continuity_valid,2ebeda0ce4f3c88e297fecbc6f362abd5996f8a9cb0b4fc51ae5ef1765e65199,2ebeda0ce4f3c88e297fecbc6f362abd5996f8a9cb0b4fc51ae5ef1765e65199,True
continuity_invalid,b75d2552c37b5104b16c7e6e64bd8f0fdd62d4a16ddc336ae9b980a785558c38,b75d2552c37b5104b16c7e6e64bd8f0fdd62d4a16ddc336ae9b980a785558c38,True
