case_id,family,mode,arm,call_order_position,provider_status,provider_error,parser_valid,semantic_correct,unsafe_mutation_attempt,input_hash,common_input_bytes_sha256,normalized_request_sha256,fairness_pass,response_sha256,prompt_tokens,completion_tokens,proposal_bytes,latency_seconds,retry_count,parse_or_validation_error,model,reasoning_effort,temperature,seed,max_completion_tokens,timeout_seconds,retry_budget,repair_budget,fallback_used,oracle_substitution
X16-C01,cancellation,plain,cope,1,ok,,True,False,True,8ed5f3e23d2cf787dceeb69b7e33f259f8ee3a13678326209c65a22c60b75e28,92888bb81dafda8689652e919a97d9c17f8c27fbaa76f9da8cddbaee129e7771,848fa17eca3e33f9ce396751baafe91314050f9aba2e56ca3229c817b36f58b8,True,61afc9e654e77c861fc2e12508d30a1cc2a6954d581c72dc4b42e5738c1b22cb,1278,178,363,1.722492,0,ValueError:state-changing patch lacks CommitEvent,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-C01,cancellation,plain,neutral_typed,2,ok,,True,False,True,8ed5f3e23d2cf787dceeb69b7e33f259f8ee3a13678326209c65a22c60b75e28,92888bb81dafda8689652e919a97d9c17f8c27fbaa76f9da8cddbaee129e7771,848fa17eca3e33f9ce396751baafe91314050f9aba2e56ca3229c817b36f58b8,True,f78e4a4b02d13f1f2df1617eec9af178ee07415f8119a3beb49c25c178b995d4,1309,191,350,1.329654,0,KeyError:'status',qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-C01,cancellation,plain,compact_tx,3,ok,,True,False,True,8ed5f3e23d2cf787dceeb69b7e33f259f8ee3a13678326209c65a22c60b75e28,92888bb81dafda8689652e919a97d9c17f8c27fbaa76f9da8cddbaee129e7771,848fa17eca3e33f9ce396751baafe91314050f9aba2e56ca3229c817b36f58b8,True,e40d8c917703d4504ad96c18963c4924716743905792bfc3f18b656c0f897612,946,278,526,3.462505,0,ValueError:candidate differs from canonical post-state,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-C01,cancellation,plain,fsr_pc,4,ok,,True,False,True,8ed5f3e23d2cf787dceeb69b7e33f259f8ee3a13678326209c65a22c60b75e28,92888bb81dafda8689652e919a97d9c17f8c27fbaa76f9da8cddbaee129e7771,848fa17eca3e33f9ce396751baafe91314050f9aba2e56ca3229c817b36f58b8,True,f87b72a3a2b6692b3f89735aa0ec5033f6718c10ec8905d0745422e2afd64596,1438,588,1150,3.272211,0,ValueError:candidate differs from canonical post-state,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-C01,cancellation,structured,cope,1,ok,,True,False,True,8ed5f3e23d2cf787dceeb69b7e33f259f8ee3a13678326209c65a22c60b75e28,92888bb81dafda8689652e919a97d9c17f8c27fbaa76f9da8cddbaee129e7771,3a4771ebb06835e70d1ea94bbabec086b13e3a6f59f3d881a9a70dc7a7ab51a5,True,a5f6de15319c63540419e0817bbe49c57ec0011d707dd7e01e7f1914046d9471,1278,178,363,1.604568,0,ValueError:state-changing patch lacks CommitEvent,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-C01,cancellation,structured,neutral_typed,2,ok,,True,False,True,8ed5f3e23d2cf787dceeb69b7e33f259f8ee3a13678326209c65a22c60b75e28,92888bb81dafda8689652e919a97d9c17f8c27fbaa76f9da8cddbaee129e7771,3a4771ebb06835e70d1ea94bbabec086b13e3a6f59f3d881a9a70dc7a7ab51a5,True,2e7e8dc736433605e2a39795451e4182b9ec8c54f0c87aa091ed8cc3681d80a4,1309,249,438,1.884318,0,KeyError:'status',qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-C01,cancellation,structured,compact_tx,3,ok,,True,False,True,8ed5f3e23d2cf787dceeb69b7e33f259f8ee3a13678326209c65a22c60b75e28,92888bb81dafda8689652e919a97d9c17f8c27fbaa76f9da8cddbaee129e7771,3a4771ebb06835e70d1ea94bbabec086b13e3a6f59f3d881a9a70dc7a7ab51a5,True,e28014a71604c6e20937255d4ede1434e484b9e96e2de1a3fa9812ac6baed449,946,278,526,2.136619,0,ValueError:candidate differs from canonical post-state,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-C01,cancellation,structured,fsr_pc,4,ok,,True,False,True,8ed5f3e23d2cf787dceeb69b7e33f259f8ee3a13678326209c65a22c60b75e28,92888bb81dafda8689652e919a97d9c17f8c27fbaa76f9da8cddbaee129e7771,3a4771ebb06835e70d1ea94bbabec086b13e3a6f59f3d881a9a70dc7a7ab51a5,True,3e2ef0e117998054448954b2516cf91a4041399cbee829f2dd143a0a3f85aef9,1438,588,1150,4.989850,0,ValueError:candidate differs from canonical post-state,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-O01,override,plain,neutral_typed,1,ok,,True,False,True,a264072b2d609ca0da0b6bbe380b491a94e5f7c12cee8e97762e0110d6b01ade,529e2a25c2de9e9ecced26ba4c9113d3de021ef9da8ec1ccb5b4566f9f730470,ff4e9b2beef986379eb3836fa8931f416226ac4ab7be75b114f08155ef688add,True,08de30607c7159da7466699c9c2566ec7c07ab0020311331d8bca8da9a6d5920,1283,515,1014,2.820730,0,KeyError:'status',qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-O01,override,plain,compact_tx,2,ok,,True,False,True,a264072b2d609ca0da0b6bbe380b491a94e5f7c12cee8e97762e0110d6b01ade,529e2a25c2de9e9ecced26ba4c9113d3de021ef9da8ec1ccb5b4566f9f730470,ff4e9b2beef986379eb3836fa8931f416226ac4ab7be75b114f08155ef688add,True,707b9287464eb12e472c0192871d8cab33c124c431cdd612c72a0286040ec68e,920,240,469,1.967016,0,ValueError:candidate differs from canonical post-state,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-O01,override,plain,fsr_pc,3,ok,,True,False,True,a264072b2d609ca0da0b6bbe380b491a94e5f7c12cee8e97762e0110d6b01ade,529e2a25c2de9e9ecced26ba4c9113d3de021ef9da8ec1ccb5b4566f9f730470,ff4e9b2beef986379eb3836fa8931f416226ac4ab7be75b114f08155ef688add,True,61cb1d83ae02fcd5c8b5c7626242aabdeaecec7ab1da47d25ee5f8e81e7992da,1412,517,1031,3.136180,0,ValueError:candidate differs from canonical post-state,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-O01,override,plain,cope,4,ok,,True,False,True,a264072b2d609ca0da0b6bbe380b491a94e5f7c12cee8e97762e0110d6b01ade,529e2a25c2de9e9ecced26ba4c9113d3de021ef9da8ec1ccb5b4566f9f730470,ff4e9b2beef986379eb3836fa8931f416226ac4ab7be75b114f08155ef688add,True,427fdc144a11c936775eb8b895ea9417b425917df2063fdda13336b597d61159,1252,208,402,1.522593,0,ValueError:candidate differs from canonical post-state,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-O01,override,structured,neutral_typed,1,ok,,True,False,True,a264072b2d609ca0da0b6bbe380b491a94e5f7c12cee8e97762e0110d6b01ade,529e2a25c2de9e9ecced26ba4c9113d3de021ef9da8ec1ccb5b4566f9f730470,1abd600cee2a0b92bf88dec710cf02e3e08bddc626d77da1df16e9d06ebb5f5c,True,8f6852a26a9a05f653d2e14c49c478f2ee55b2796583feecdd4cec67f4048105,1283,515,1014,3.392059,0,KeyError:'status',qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-O01,override,structured,compact_tx,2,ok,,True,False,True,a264072b2d609ca0da0b6bbe380b491a94e5f7c12cee8e97762e0110d6b01ade,529e2a25c2de9e9ecced26ba4c9113d3de021ef9da8ec1ccb5b4566f9f730470,1abd600cee2a0b92bf88dec710cf02e3e08bddc626d77da1df16e9d06ebb5f5c,True,9924a03b3759479f6285de8fb59de8c41cf942d7640507359b3f411f88085bca,920,240,469,1.701504,0,ValueError:candidate differs from canonical post-state,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
