schema_version,case_id,triple_index,recurrence_depth,done_object,recurring_object,intermediate_object,arm_order,provider_calls_per_arm,model,temperature,seed,max_completion_tokens,retry_budget,contract_family_sha256
occurrence-confirmatory-manifest-v3,occurrence-v3-h00-d1,0,1,apple_1,banana_1,bread_1,cope;neutral_patch;governed_delta;fsr_pc;full_replan,1,qwen/qwen3.5-flash-02-23,0.0,20260910,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h00-d2,0,2,apple_1,banana_1,bread_1,neutral_patch;governed_delta;fsr_pc;full_replan;cope,1,qwen/qwen3.5-flash-02-23,0.0,20260911,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h00-d3,0,3,apple_1,banana_1,bread_1,governed_delta;fsr_pc;full_replan;cope;neutral_patch,1,qwen/qwen3.5-flash-02-23,0.0,20260912,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h00-d4,0,4,apple_1,banana_1,bread_1,fsr_pc;full_replan;cope;neutral_patch;governed_delta,1,qwen/qwen3.5-flash-02-23,0.0,20260913,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h01-d1,1,1,banana_1,bread_1,coffee_jar_1,full_replan;cope;neutral_patch;governed_delta;fsr_pc,1,qwen/qwen3.5-flash-02-23,0.0,20260914,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h01-d2,1,2,banana_1,bread_1,coffee_jar_1,cope;neutral_patch;governed_delta;fsr_pc;full_replan,1,qwen/qwen3.5-flash-02-23,0.0,20260915,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h01-d3,1,3,banana_1,bread_1,coffee_jar_1,neutral_patch;governed_delta;fsr_pc;full_replan;cope,1,qwen/qwen3.5-flash-02-23,0.0,20260916,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h01-d4,1,4,banana_1,bread_1,coffee_jar_1,governed_delta;fsr_pc;full_replan;cope;neutral_patch,1,qwen/qwen3.5-flash-02-23,0.0,20260917,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h02-d1,2,1,bread_1,coffee_jar_1,lemon_1,fsr_pc;full_replan;cope;neutral_patch;governed_delta,1,qwen/qwen3.5-flash-02-23,0.0,20260918,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h02-d2,2,2,bread_1,coffee_jar_1,lemon_1,full_replan;cope;neutral_patch;governed_delta;fsr_pc,1,qwen/qwen3.5-flash-02-23,0.0,20260919,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h02-d3,2,3,bread_1,coffee_jar_1,lemon_1,cope;neutral_patch;governed_delta;fsr_pc;full_replan,1,qwen/qwen3.5-flash-02-23,0.0,20260920,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h02-d4,2,4,bread_1,coffee_jar_1,lemon_1,neutral_patch;governed_delta;fsr_pc;full_replan;cope,1,qwen/qwen3.5-flash-02-23,0.0,20260921,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h03-d1,3,1,coffee_jar_1,lemon_1,mug_1,governed_delta;fsr_pc;full_replan;cope;neutral_patch,1,qwen/qwen3.5-flash-02-23,0.0,20260922,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h03-d2,3,2,coffee_jar_1,lemon_1,mug_1,fsr_pc;full_replan;cope;neutral_patch;governed_delta,1,qwen/qwen3.5-flash-02-23,0.0,20260923,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h03-d3,3,3,coffee_jar_1,lemon_1,mug_1,full_replan;cope;neutral_patch;governed_delta;fsr_pc,1,qwen/qwen3.5-flash-02-23,0.0,20260924,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h03-d4,3,4,coffee_jar_1,lemon_1,mug_1,cope;neutral_patch;governed_delta;fsr_pc;full_replan,1,qwen/qwen3.5-flash-02-23,0.0,20260925,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h04-d1,4,1,lemon_1,mug_1,sugar_box_1,neutral_patch;governed_delta;fsr_pc;full_replan;cope,1,qwen/qwen3.5-flash-02-23,0.0,20260926,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h04-d2,4,2,lemon_1,mug_1,sugar_box_1,governed_delta;fsr_pc;full_replan;cope;neutral_patch,1,qwen/qwen3.5-flash-02-23,0.0,20260927,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h04-d3,4,3,lemon_1,mug_1,sugar_box_1,fsr_pc;full_replan;cope;neutral_patch;governed_delta,1,qwen/qwen3.5-flash-02-23,0.0,20260928,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h04-d4,4,4,lemon_1,mug_1,sugar_box_1,full_replan;cope;neutral_patch;governed_delta;fsr_pc,1,qwen/qwen3.5-flash-02-23,0.0,20260929,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h05-d1,5,1,mug_1,sugar_box_1,apple_1,cope;neutral_patch;governed_delta;fsr_pc;full_replan,1,qwen/qwen3.5-flash-02-23,0.0,20260930,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h05-d2,5,2,mug_1,sugar_box_1,apple_1,neutral_patch;governed_delta;fsr_pc;full_replan;cope,1,qwen/qwen3.5-flash-02-23,0.0,20260931,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h05-d3,5,3,mug_1,sugar_box_1,apple_1,governed_delta;fsr_pc;full_replan;cope;neutral_patch,1,qwen/qwen3.5-flash-02-23,0.0,20260932,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
