check,pass,observed,expected
operator_manifest_11_unique,True,"[11,11]","[11,11]"
both_runs_clean_12,True,"[12,12]","[12,12]"
both_runs_2352_rows,True,"[2352,2352]","[2352,2352]"
v1_v2_candidate_identity,True,"[true,2352]","[true,2352]"
common_mutation_evidence_integrity,True,4704,4704
raw_aggregates_recompute,True,"[true,true]","[true,true]"
frozen_order_only_divergences_14,True,"[14,14]","[14,14]"
order_divergence_identity_stable,True,14,14
v1_four_dangerous_blind_spots,True,"[[""activate_override"",""add_unknown_field"",""/commitments/1""],[""cancel_sibling"",""add_unknown_field"",""/commitments/1""],[""continuity_invalid"",""add_unknown_field"",""/commitments/1""],[""replace_pending_target"",""add_unknown_field"",""/commitments/1""]]","[[""activate_override"",""add_unknown_field"",""/commitments/1""],[""cancel_sibling"",""add_unknown_field"",""/commitments/1""],[""continuity_invalid"",""add_unknown_field"",""/commitments/1""],[""replace_pending_target"",""add_unknown_field"",""/commitments/1""]]"
v2_repairs_exact_four,True,4,4
v2_zero_dangerous_blind_spot,True,0,0
v1_fail_v2_pass,True,"[""FAIL"",""PASS""]","[""FAIL"",""PASS""]"
v2_rejection_counts,True,"[""2338/2352"",""14/2352"",""0/2352""]","[""2338/2352"",""14/2352"",""0/2352""]"
evidence_resource_boundary,True,true,true
