case_id,family,state_size,arm,call_order_position,provider_status,provider_error,parser_valid,semantic_correct,input_hash,common_input_bytes_sha256,normalized_request_sha256,fairness_pass,response_sha256,prompt_tokens,completion_tokens,proposal_bytes,latency_seconds,retry_count,parse_or_validation_error,model,reasoning_effort,temperature,seed,max_completion_tokens,timeout_seconds,retry_budget,repair_budget,fallback_used,oracle_substitution,transaction_metadata_model_generated
SCE-S04-01,scale_04_single_root_expiry,4,cope_semantic,1,ok,,True,True,d27d19aeff973e559325f34da86219fa620badb0d10ffd661df3eadb7069a86d,1619da3d4e31ed55f34a1164ff8b15f29b8faa1368afc7b59febcbedf9525f23,b9b8ee4bf4e2bdad1731df9b3dec61102883ed412abe8d7f01d866f7c2b47e5b,True,d26c41a10f529a0dd004a2e8ecc1ebf842aa1249378c78524cd648cdf2c0f5fc,1099,110,227,1.303296,0,,qwen/qwen3.5-flash-02-23,none,0.0,20260803,16384,90.0,0,0,False,False,False
SCE-S04-01,scale_04_single_root_expiry,4,neutral_typed,2,ok,,True,True,d27d19aeff973e559325f34da86219fa620badb0d10ffd661df3eadb7069a86d,1619da3d4e31ed55f34a1164ff8b15f29b8faa1368afc7b59febcbedf9525f23,b9b8ee4bf4e2bdad1731df9b3dec61102883ed412abe8d7f01d866f7c2b47e5b,True,c20c2b1394425e37fe13b5476c85b6d18d9871a3d7536fde920f2e120fcc335e,1184,109,214,1.021140,0,,qwen/qwen3.5-flash-02-23,none,0.0,20260803,16384,90.0,0,0,False,False,False
SCE-S04-01,scale_04_single_root_expiry,4,compact_semantic,3,ok,,True,True,d27d19aeff973e559325f34da86219fa620badb0d10ffd661df3eadb7069a86d,1619da3d4e31ed55f34a1164ff8b15f29b8faa1368afc7b59febcbedf9525f23,b9b8ee4bf4e2bdad1731df9b3dec61102883ed412abe8d7f01d866f7c2b47e5b,True,a75b21ccfacc8e8dbd9fa738552a194f366c41e08961b62bd8be395711f7df06,915,109,228,0.971349,0,,qwen/qwen3.5-flash-02-23,none,0.0,20260803,16384,90.0,0,0,False,False,False
SCE-S04-01,scale_04_single_root_expiry,4,fsr_semantic,4,ok,,True,False,d27d19aeff973e559325f34da86219fa620badb0d10ffd661df3eadb7069a86d,1619da3d4e31ed55f34a1164ff8b15f29b8faa1368afc7b59febcbedf9525f23,b9b8ee4bf4e2bdad1731df9b3dec61102883ed412abe8d7f01d866f7c2b47e5b,True,c0ba5edf88dcb8e280dd9e724e5e71a42f92d4e6a3215c5c65b88cb5fcdc5925,1493,686,1188,4.481450,0,SharedEnvelopeError:semantic state differs from oracle,qwen/qwen3.5-flash-02-23,none,0.0,20260803,16384,90.0,0,0,False,False,False
SCE-S04-02,scale_04_expiry_with_running_action,4,neutral_typed,1,ok,,True,True,e5000370828c02b1e8976532bdba5f4dcd2fe971e93d87dcfb75fdf65e54a31b,41b1c3a6293a29ef0176b7b19f0e3d69246c5de8a74e23eec7a00900c2d209a2,997331ddd25542e5b9a411337c463fd19a3bd32c3406a42f7f0098e4eeaef8dd,True,61c53f151f6efe273639744b8d52c6c5f4ba38005c84d77749df17fee06beda7,1218,153,273,1.311216,0,,qwen/qwen3.5-flash-02-23,none,0.0,20260803,16384,90.0,0,0,False,False,False
SCE-S04-02,scale_04_expiry_with_running_action,4,compact_semantic,2,ok,,True,True,e5000370828c02b1e8976532bdba5f4dcd2fe971e93d87dcfb75fdf65e54a31b,41b1c3a6293a29ef0176b7b19f0e3d69246c5de8a74e23eec7a00900c2d209a2,997331ddd25542e5b9a411337c463fd19a3bd32c3406a42f7f0098e4eeaef8dd,True,89bb2c180ba29687b554fffc947fd94e95e058b3eebb1a19c53aa0975432e40d,949,143,290,1.416226,0,,qwen/qwen3.5-flash-02-23,none,0.0,20260803,16384,90.0,0,0,False,False,False
SCE-S04-02,scale_04_expiry_with_running_action,4,fsr_semantic,3,ok,,True,True,e5000370828c02b1e8976532bdba5f4dcd2fe971e93d87dcfb75fdf65e54a31b,41b1c3a6293a29ef0176b7b19f0e3d69246c5de8a74e23eec7a00900c2d209a2,997331ddd25542e5b9a411337c463fd19a3bd32c3406a42f7f0098e4eeaef8dd,True,a21372826122fa1e91341bdff8e04dc128ae2831eb950107f8e09d74753ae70b,1527,687,1187,3.889357,0,,qwen/qwen3.5-flash-02-23,none,0.0,20260803,16384,90.0,0,0,False,False,False
SCE-S04-02,scale_04_expiry_with_running_action,4,cope_semantic,4,ok,,True,True,e5000370828c02b1e8976532bdba5f4dcd2fe971e93d87dcfb75fdf65e54a31b,41b1c3a6293a29ef0176b7b19f0e3d69246c5de8a74e23eec7a00900c2d209a2,997331ddd25542e5b9a411337c463fd19a3bd32c3406a42f7f0098e4eeaef8dd,True,2f6e16a4813ee662f6da4b7705a9977e4ccc70555df663a0832db271605667b3,1133,154,298,1.307108,0,,qwen/qwen3.5-flash-02-23,none,0.0,20260803,16384,90.0,0,0,False,False,False
SCE-S04-03,scale_04_conjunctive_dependency_block,4,compact_semantic,1,ok,,True,True,b66d62e8f01b2cdd9039f7008c4e332b0ae342024b5205d20ab5f8293981fc59,02d38074fd70ef272e399920935329503e0490560fa5d4125c378fce5413b3f2,5b8f7cd23399187fea40f77eb07d7e5cc11996a84c1cffa258219a6678e7cd4e,True,10833ee21c3b7235e321aa66389f103139e3cdb24efc5aae5bd52d816fba2708,969,176,357,1.319757,0,,qwen/qwen3.5-flash-02-23,none,0.0,20260803,16384,90.0,0,0,False,False,False
SCE-S04-03,scale_04_conjunctive_dependency_block,4,fsr_semantic,2,ok,,True,True,b66d62e8f01b2cdd9039f7008c4e332b0ae342024b5205d20ab5f8293981fc59,02d38074fd70ef272e399920935329503e0490560fa5d4125c378fce5413b3f2,5b8f7cd23399187fea40f77eb07d7e5cc11996a84c1cffa258219a6678e7cd4e,True,9081c07573cd4de728990ec537360b792d2b76e43fb325260682a9720ce49019,1547,686,1188,3.596723,0,,qwen/qwen3.5-flash-02-23,none,0.0,20260803,16384,90.0,0,0,False,False,False
