suite,task_id,state_id,mode,prompt,warmup_steps,first_object,first_skill_success,first_failure_reason,first_lift_m,event_reached,patch_applied,patch_operation,patch_accepted,patch_before_hash,patch_after_hash,oracle_operation_selection,provider_called,second_object,second_skill_success,second_failure_reason,second_lift_m,done_object_in_region,pending_object_in_region,replacement_object_in_region,valid_progress_retained,stale_pending_executed,updated_goal_success,original_goal_success,libero_task_success,environment_steps,source_csv
libero_10,1,0,checkpoint_no_edit,put both the cream cheese box and the butter in the basket,10,cream_cheese_1,True,,0.197353,True,False,,,,,,,butter_1,True,,0.198035,True,True,False,True,True,False,True,True,310,research/oracle_skill_canary/replacement_gate/state00_checkpoint_no_edit.csv
libero_10,1,0,checkpoint_oracle_cope_patch,put both the cream cheese box and the butter in the basket,10,cream_cheese_1,True,,0.197353,True,True,Override,True,5d46c02af8fb3c3e4fda434c15e28d03cadbbaac06fa33d840ce5b5a945ca388,cb8d5c10dbf8237d3d883810c8603fb221b92999ccc09f0eb62259a2b81fde7a,True,False,alphabet_soup_1,True,,0.197953,True,False,True,True,False,True,False,False,381,research/oracle_skill_canary/replacement_gate/state00_checkpoint_oracle_cope_patch.csv
libero_10,1,0,original,put both the cream cheese box and the butter in the basket,10,cream_cheese_1,True,,0.197353,False,False,,,,,,,butter_1,True,,0.198035,True,True,False,True,True,False,True,True,310,research/oracle_skill_canary/replacement_gate/state00_original.csv
libero_10,1,0,reset_counterfactual,put both the cream cheese box and the butter in the basket,10,cream_cheese_1,True,,0.197353,False,False,,,,,,,alphabet_soup_1,True,,0.197953,True,False,True,True,False,True,False,False,381,research/oracle_skill_canary/replacement_gate/state00_reset_counterfactual.csv
libero_10,1,1,checkpoint_no_edit,put both the cream cheese box and the butter in the basket,10,cream_cheese_1,True,,0.197373,True,False,,,,,,,butter_1,True,,0.198053,True,True,False,True,True,False,True,True,322,research/oracle_skill_canary/replacement_gate/state01_checkpoint_no_edit.csv
libero_10,1,1,checkpoint_oracle_cope_patch,put both the cream cheese box and the butter in the basket,10,cream_cheese_1,True,,0.197373,True,True,Override,True,3ac440fb62bb9f5443d3ed0b5ac73c0d4e4d748556b300fef64cc64ca7d4f21c,810e06bf73ac6e5463bca9eeb12b0e9dc91a1bd4034a66a9818b9cccea80d3d9,True,False,alphabet_soup_1,True,,0.198117,True,False,True,True,False,True,False,False,391,research/oracle_skill_canary/replacement_gate/state01_checkpoint_oracle_cope_patch.csv
libero_10,1,1,original,put both the cream cheese box and the butter in the basket,10,cream_cheese_1,True,,0.197373,False,False,,,,,,,butter_1,True,,0.198053,True,True,False,True,True,False,True,True,322,research/oracle_skill_canary/replacement_gate/state01_original.csv
libero_10,1,1,reset_counterfactual,put both the cream cheese box and the butter in the basket,10,cream_cheese_1,True,,0.197373,False,False,,,,,,,alphabet_soup_1,True,,0.198117,True,False,True,True,False,True,False,False,391,research/oracle_skill_canary/replacement_gate/state01_reset_counterfactual.csv
libero_10,1,2,checkpoint_no_edit,put both the cream cheese box and the butter in the basket,10,cream_cheese_1,True,,0.197663,True,False,,,,,,,butter_1,True,,0.198101,True,True,False,True,True,False,True,True,311,research/oracle_skill_canary/replacement_gate/state02_checkpoint_no_edit.csv
libero_10,1,2,checkpoint_oracle_cope_patch,put both the cream cheese box and the butter in the basket,10,cream_cheese_1,True,,0.197663,True,True,Override,True,d9ea681bc5f6cb81cbbbc1a93ea2331664aac5258c4f0e5473f5d9fe36a5375e,32dba31f4d423619b8ccb5fe940529c2317299a0a9b26d43ee60f27ba96d6532,True,False,alphabet_soup_1,True,,0.197968,True,False,True,True,False,True,False,False,376,research/oracle_skill_canary/replacement_gate/state02_checkpoint_oracle_cope_patch.csv
