suite,task_id,state_id,mode,prompt,warmup_steps,first_skill_success,first_failure_reason,event_count,patch_count,all_patches_accepted,revision_path,hash_chain_valid,final_lineage,oracle_operation_selection,provider_called,selected_object,second_skill_success,second_failure_reason,done_object_in_region,butter_in_region,alphabet_soup_in_region,tomato_sauce_in_region,valid_progress_retained,original_goal_success,single_replacement_goal_success,double_replacement_goal_success,first_stale_commitment_executed,second_stale_commitment_executed,environment_steps,source_csv
libero_10,1,0,double_event_no_edit,put both the cream cheese box and the butter in the basket,10,True,,2,0,False,,True,,,,butter_1,True,,True,True,False,False,True,True,False,False,True,False,307,research/oracle_repeated_replacement/state00_double_event_no_edit.csv
libero_10,1,0,double_patch,put both the cream cheese box and the butter in the basket,10,True,,2,2,True,1>2>3,True,goal:in:butter_1:basket_1_contain_region>goal:in:alphabet_soup_1:basket_1_contain_region>goal:in:tomato_sauce_1:basket_1_contain_region,True,False,tomato_sauce_1,True,,True,False,False,True,True,False,False,True,False,False,359,research/oracle_repeated_replacement/state00_double_patch.csv
libero_10,1,0,original,put both the cream cheese box and the butter in the basket,10,True,,0,0,False,,True,,,,butter_1,True,,True,True,False,False,True,True,False,False,True,False,307,research/oracle_repeated_replacement/state00_original.csv
libero_10,1,0,second_event_no_edit,put both the cream cheese box and the butter in the basket,10,True,,2,1,True,1>2,True,goal:in:butter_1:basket_1_contain_region>goal:in:alphabet_soup_1:basket_1_contain_region,True,False,alphabet_soup_1,True,,True,False,True,False,True,False,True,False,False,True,377,research/oracle_repeated_replacement/state00_second_event_no_edit.csv
libero_10,1,0,single_patch,put both the cream cheese box and the butter in the basket,10,True,,1,1,True,1>2,True,goal:in:butter_1:basket_1_contain_region>goal:in:alphabet_soup_1:basket_1_contain_region,True,False,alphabet_soup_1,True,,True,False,True,False,True,False,True,False,False,True,377,research/oracle_repeated_replacement/state00_single_patch.csv
libero_10,1,1,double_event_no_edit,put both the cream cheese box and the butter in the basket,10,True,,2,0,False,,True,,,,butter_1,True,,True,True,False,False,True,True,False,False,True,False,319,research/oracle_repeated_replacement/state01_double_event_no_edit.csv
libero_10,1,1,double_patch,put both the cream cheese box and the butter in the basket,10,True,,2,2,True,1>2>3,True,goal:in:butter_1:basket_1_contain_region>goal:in:alphabet_soup_1:basket_1_contain_region>goal:in:tomato_sauce_1:basket_1_contain_region,True,False,tomato_sauce_1,True,,True,False,False,True,True,False,False,True,False,False,373,research/oracle_repeated_replacement/state01_double_patch.csv
libero_10,1,1,original,put both the cream cheese box and the butter in the basket,10,True,,0,0,False,,True,,,,butter_1,True,,True,True,False,False,True,True,False,False,True,False,319,research/oracle_repeated_replacement/state01_original.csv
libero_10,1,1,second_event_no_edit,put both the cream cheese box and the butter in the basket,10,True,,2,1,True,1>2,True,goal:in:butter_1:basket_1_contain_region>goal:in:alphabet_soup_1:basket_1_contain_region,True,False,alphabet_soup_1,True,,True,False,True,False,True,False,True,False,False,True,387,research/oracle_repeated_replacement/state01_second_event_no_edit.csv
libero_10,1,1,single_patch,put both the cream cheese box and the butter in the basket,10,True,,1,1,True,1>2,True,goal:in:butter_1:basket_1_contain_region>goal:in:alphabet_soup_1:basket_1_contain_region,True,False,alphabet_soup_1,True,,True,False,True,False,True,False,True,False,False,True,387,research/oracle_repeated_replacement/state01_single_patch.csv
