family,case_id,dimension,expected_accept,isolation_required,target,operation,path,value,rationale
replacement_fullstate_v2,valid_control,control,True,False,state,noop,[],null,Canonical state must pass.
replacement_fullstate_v2,missing_schema,schema,False,False,state,pop,"[""schema_version""]",null,Schema identity is mandatory.
replacement_fullstate_v2,wrong_schema,schema,False,False,state,set,"[""schema_version""]","""full-state-v999""",Unknown schema must fail closed.
replacement_fullstate_v2,missing_state_version,version,False,False,state,pop,"[""state_version""]",null,A state revision is mandatory.
replacement_fullstate_v2,stale_state_version,version,False,False,state,set,"[""state_version""]",0,Stale revisions must be rejected.
replacement_fullstate_v2,skipped_state_version,version,False,False,state,set,"[""state_version""]",2,Skipped revisions must be rejected.
replacement_fullstate_v2,nonnumeric_state_version,version,False,False,state,set,"[""state_version""]","""one""",Malformed revision values must fail closed.
replacement_fullstate_v2,wrong_issuer,authority,False,False,event,set,"[""issuer""]","""observer""",Only the task owner may edit task commitments.
replacement_fullstate_v2,weak_authority_event,authority,False,False,event,set,"[""authority""]",1,Low-authority events must be rejected.
replacement_fullstate_v2,wrong_target_commitment,authority,False,False,event,set,"[""target_commitment_id""]","""goal:in:cream_cheese_1:basket_1_contain_region""",The event must address the pending commitment.
replacement_fullstate_v2,false_completed_physical_fact,physical_truth,False,False,truth,set_truth,[],[],Retained completed progress must be physically witnessed.
replacement_fullstate_v2,pending_already_complete,physical_truth,False,False,truth,set_truth,[],"[""cream_cheese_1"",""butter_1""]",An event cannot cancel or replace a goal already physically complete.
replacement_fullstate_v2,missing_commitments,commitments,False,False,state,pop,"[""commitments""]",null,Canonical commitments are mandatory.
replacement_fullstate_v2,commitments_not_list,commitments,False,False,state,set,"[""commitments""]",{},Commitments must be a list.
replacement_fullstate_v2,missing_last_commitment,commitments,False,False,state,remove,"[""commitments""]",-1,All affected and retained commitments must be represented.
replacement_fullstate_v2,duplicate_commitment_id,identity,False,False,state,copy,"[""commitments"",1,""id""]","[""commitments"",0,""id""]",Stable commitment IDs must be unique.
replacement_fullstate_v2,missing_commitment_id,identity,False,False,state,pop,"[""commitments"",0,""id""]",null,Every commitment needs a stable ID.
replacement_fullstate_v2,wrong_commitment_target,grounding,False,False,state,set,"[""commitments"",0,""grounding"",1]","""table""",Commitment grounding must preserve the authorized region.
replacement_fullstate_v2,unknown_commitment_object,grounding,False,False,state,set,"[""commitments"",0,""grounding"",0]","""hallucinated_object""",Unknown task objects must be rejected.
replacement_fullstate_v2,wrong_done_lifecycle,lifecycle,False,False,state,set,"[""commitments"",0,""lifecycle_status""]","""active""",Completed progress must have the canonical lifecycle.
replacement_fullstate_v2,wrong_pending_lifecycle,lifecycle,False,False,state,set,"[""commitments"",1,""lifecycle_status""]","""active""",The edited pending commitment cannot remain active.
replacement_fullstate_v2,wrong_commitment_source,authority,False,False,state,set,"[""commitments"",0,""source""]","""model""",A provider cannot forge the task-owner source.
replacement_fullstate_v2,wrong_commitment_owner,authority,False,False,state,set,"[""commitments"",0,""owner""]","""model""",A provider cannot change task commitment ownership.
replacement_fullstate_v2,weak_commitment_authority,authority,False,False,state,set,"[""commitments"",0,""authority""]",1,Materialized commitments must retain task-owner authority.
replacement_fullstate_v2,wrong_commitment_valid_from,evidence,False,False,state,set,"[""commitments"",0,""valid_from""]","""other-event""",Commitment provenance must name the authorizing event.
replacement_fullstate_v2,missing_commitment_predicate,grounding,False,False,state,pop,"[""commitments"",0,""predicate""]",null,Predicate semantics cannot be omitted.
replacement_fullstate_v2,missing_current_goal,goal,False,False,state,pop,"[""current_goal""]",null,The current goal is mandatory.
replacement_fullstate_v2,missing_goal_atom,goal,False,False,state,remove,"[""current_goal"",""all""]",-1,Retained progress and the edited goal must both remain represented.
replacement_fullstate_v2,duplicate_goal_atom,goal,False,False,state,duplicate,"[""current_goal"",""all""]",0,Duplicate goal atoms are non-canonical and hide output errors.
replacement_fullstate_v2,extra_stale_goal_atom,goal,False,False,state,append,"[""current_goal"",""all""]","{""arguments"":[""butter_1"",""basket_1_contain_region""],""predicate"":""in""}",The obsolete goal cannot remain executable.
replacement_fullstate_v2,missing_progress_ledger,progress,False,False,state,pop,"[""progress_ledger""]",null,Persistent completed progress requires an explicit ledger.
replacement_fullstate_v2,empty_progress_ledger,progress,False,False,state,set,"[""progress_ledger""]",[],The witnessed milestone cannot disappear from the ledger.
