schema_version,dependency_id,category,locator,identity_kind,expected_identity,observed_identity,clean_required,clean_observed,status,evidence
cope-runtime-provenance-v2,audit_host,host,fvl12,hostname,fvl12,fvl12,false,not_applicable,PASS,"Linux 5.19.0-50-generic x86_64; glibc 2.35"
cope-runtime-provenance-v2,gpu_driver,accelerator,fvl12,nvidia_smi,"driver=535.54.03;cuda_capability=12.2;8xRTX3090","driver=535.54.03;cuda_capability=12.2;8xRTX3090;12MiB each;0% util",false,not_applicable,PASS,"query only; no GPU allocation"
cope-runtime-provenance-v2,local_cope_workspace,repository,/Users/lijingsu/Documents/cope,git_commit,required,"unborn main; no HEAD; all project files untracked",true,false,FAIL_CONTEXT_ONLY,"not used as runtime source; audit artifacts are protected by SHA256 manifest instead"
cope-runtime-provenance-v2,original_vla_parent,repository,/home/lijingsu/vla,git_commit,570d78333ee977c8ae6de3d97120b23272c4c660,570d78333ee977c8ae6de3d97120b23272c4c660,true,false,FAIL_ORIGINAL_DIRTY,"40 untracked config/output files; no tracked diff"
cope-runtime-provenance-v2,original_openvla,repository,/home/lijingsu/vla/src/openvla,git_commit,c8f03f48af692657d3060c19588038c7220e9af9,c8f03f48af692657d3060c19588038c7220e9af9,true,false,FAIL_ORIGINAL_DIRTY,"2 tracked modifications and 3 untracked log/backup files"
cope-runtime-provenance-v2,clean_cope,repository,/home/lijingsu/codex-worktrees/cope-true-clean-runtime,git_commit,21b90aed9e2e64152a7bfe0c85553f2ffbc5e730,21b90aed9e2e64152a7bfe0c85553f2ffbc5e730,true,true,PASS,"branch codex/cope-true-clean-runtime; empty porcelain; parent fba9f32b502c8301687559a62101293105f17254"
cope-runtime-provenance-v2,clean_openvla,repository,/home/lijingsu/codex-worktrees/openvla-cope-cleanroom,git_commit,9bf418e79d019d416860990d60379d66f0c06220,9bf418e79d019d416860990d60379d66f0c06220,true,true,PASS,"branch codex/openvla-cope-sdpa; empty porcelain; parent c8f03f48af692657d3060c19588038c7220e9af9"
cope-runtime-provenance-v2,clean_libero,repository,/home/lijingsu/codex-worktrees/libero-cope-cleanroom,git_commit,8f1084e3132a39270c3a13ebe37270a43ece2a01,8f1084e3132a39270c3a13ebe37270a43ece2a01,true,true,PASS,"official https://github.com/Lifelong-Robot-Learning/LIBERO.git master; external metadata at libero-cope-cleanroom-metadata.git; shallow boundary explicitly recorded"
cope-runtime-provenance-v2,clean_libero_git_tree,repository,/home/lijingsu/codex-worktrees/libero-cope-cleanroom,git_tree,99f4ada3f1d62e026fc9ff2390eb4ff8a1760e60,99f4ada3f1d62e026fc9ff2390eb4ff8a1760e60,true,true,PASS,"1116 tracked paths"
cope-runtime-provenance-v2,clean_libero_content,asset_tree,/home/lijingsu/codex-worktrees/libero-cope-cleanroom,sorted_path_size_sha256,9d34b952bdd5577ddef9861272767c3eb5bce5aa2c9e885f4b705d9e3454c213,9d34b952bdd5577ddef9861272767c3eb5bce5aa2c9e885f4b705d9e3454c213,true,true,PASS,"1116 files; 443644276 bytes"
cope-runtime-provenance-v2,libero_assets,asset_tree,/home/lijingsu/vla/src/LIBERO/libero/libero/assets,sorted_path_size_sha256,d0117535226f017756b47c4bb7d91975f1d82ddd45c210475b86bbeecb6537ca,d0117535226f017756b47c4bb7d91975f1d82ddd45c210475b86bbeecb6537ca,false,not_applicable,PASS,"585 files; 422313213 bytes; original tree matched clean Git blobs"
cope-runtime-provenance-v2,libero_bddl,asset_tree,/home/lijingsu/vla/src/LIBERO/libero/libero/bddl_files,sorted_path_size_sha256,dae00d8a5b58521aca3a78a3850d2feb7e4bc4618874606930bab2907e9c47e8,dae00d8a5b58521aca3a78a3850d2feb7e4bc4618874606930bab2907e9c47e8,false,not_applicable,PASS,"135 files; 314073 bytes"
cope-runtime-provenance-v2,libero_init_states,asset_tree,/home/lijingsu/vla/src/LIBERO/libero/libero/init_files,sorted_path_size_sha256,162f7ab2df7d9d5cf9b0f1a39ebd581ce80489a88ba508ca5bbd8910043ca7e1,162f7ab2df7d9d5cf9b0f1a39ebd581ce80489a88ba508ca5bbd8910043ca7e1,false,not_applicable,PASS,"250 files; 12612134 bytes; whole-file hashing only"
cope-runtime-provenance-v2,libero_datasets,dataset,/home/lijingsu/vla/libero_data/datasets,sorted_path_size_sha256,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,false,not_applicable,NOT_REQUIRED,"0 files; evaluation uses BDDL/assets/init states, not demonstration datasets"
cope-runtime-provenance-v2,checkpoint_revision,checkpoint,/home/lijingsu/vla/models/openvla-7b-finetuned-libero-10,huggingface_revision,80970322773f81baa2e22fe495d0487b93a05cfa,80970322773f81baa2e22fe495d0487b93a05cfa,false,not_applicable,PASS,"repository openvla/openvla-7b-finetuned-libero-10"
cope-runtime-provenance-v2,checkpoint_aggregate,checkpoint,/home/lijingsu/vla/models/openvla-7b-finetuned-libero-10,sorted_path_size_sha256,2990c991ffa194ff3e720115454b815e4d83897250c6a88d2f7d70d817543af7,2990c991ffa194ff3e720115454b815e4d83897250c6a88d2f7d70d817543af7,false,not_applicable,PASS,"15 files; 15085049428 bytes; algorithm defined in 00_AUDIT_SCOPE_AND_METHOD.md"
cope-runtime-provenance-v2,checkpoint_shard_1,checkpoint,/home/lijingsu/vla/models/openvla-7b-finetuned-libero-10/model-00001-of-00004.safetensors,sha256,72f7196d8768c104073d7e9104ad8023cb27727191de1a490612886428b18c51,72f7196d8768c104073d7e9104ad8023cb27727191de1a490612886428b18c51,false,not_applicable,PASS,"4925122448 bytes"
cope-runtime-provenance-v2,checkpoint_shard_2,checkpoint,/home/lijingsu/vla/models/openvla-7b-finetuned-libero-10/model-00002-of-00004.safetensors,sha256,92a60a88c7dad2ba1fccc4acbebef98fc7a894891bc49f2e21cfbf1600daf413,92a60a88c7dad2ba1fccc4acbebef98fc7a894891bc49f2e21cfbf1600daf413,false,not_applicable,PASS,"4947392496 bytes"
cope-runtime-provenance-v2,checkpoint_shard_3,checkpoint,/home/lijingsu/vla/models/openvla-7b-finetuned-libero-10/model-00003-of-00004.safetensors,sha256,12b45ae85535565148907e379d6f35bcba83b9497006ff3b66658fa412ffac85,12b45ae85535565148907e379d6f35bcba83b9497006ff3b66658fa412ffac85,false,not_applicable,PASS,"4947417456 bytes"
cope-runtime-provenance-v2,checkpoint_shard_4,checkpoint,/home/lijingsu/vla/models/openvla-7b-finetuned-libero-10/model-00004-of-00004.safetensors,sha256,d3b8e759db56b86709c56f8d156952415dd64e101feccfd01e701487041dd8c1,d3b8e759db56b86709c56f8d156952415dd64e101feccfd01e701487041dd8c1,false,not_applicable,PASS,"262668432 bytes"
cope-runtime-provenance-v2,python_runtime,environment,/home/lijingsu/vla/.venv/bin/python,sha256,5ea655542025bb2bbf1036b59546f860d1400fda31456a83e22e688ce40a047d,5ea655542025bb2bbf1036b59546f860d1400fda31456a83e22e688ce40a047d,false,not_applicable,PASS_CURRENT_HOST,"Python 3.10.12; GCC 11.4.0"
cope-runtime-provenance-v2,python_freeze,environment,/home/lijingsu/vla/.venv,pip_freeze_sha256,d238fb71daef95ecf4157a277a083c795e7b96bdc0ff8e2e297c87c79183e4c4,d238fb71daef95ecf4157a277a083c795e7b96bdc0ff8e2e297c87c79183e4c4,false,not_applicable,PASS_CURRENT_HOST,"pip check: no broken requirements; torch 2.5.1+cu121; transformers 4.40.1; robosuite 1.4.1; mujoco 2.3.7"
cope-runtime-provenance-v2,libero_dist_record,environment,/home/lijingsu/vla/.venv/lib/python3.10/site-packages/libero-0.1.0.dist-info/RECORD,sha256,351c73bacc1f8a1c78d00afb9a2b4df27dd055b01e05081421f7adaa076d0850,351c73bacc1f8a1c78d00afb9a2b4df27dd055b01e05081421f7adaa076d0850,false,not_applicable,PASS_CURRENT_HOST,"editable direct_url SHA256 a1b0ad2eb4b015082f959e3e49fc9f92847181d06414dac957d9e59a34cfee52"
cope-runtime-provenance-v2,robosuite_dist_record,environment,/home/lijingsu/vla/.venv/lib/python3.10/site-packages/robosuite-1.4.1.dist-info/RECORD,sha256,2c02bf8c2a148442c19a77b2cf69097832baa7f2743fe73493bf75e8452a54e9,2c02bf8c2a148442c19a77b2cf69097832baa7f2743fe73493bf75e8452a54e9,false,not_applicable,PASS_CURRENT_HOST,"version 1.4.1"
cope-runtime-provenance-v2,mujoco_dist_record,environment,/home/lijingsu/vla/.venv/lib/python3.10/site-packages/mujoco-2.3.7.dist-info/RECORD,sha256,13e56b232b244214917f24e69f00ba8f261609141d204a87a2a144e55e0402a9,13e56b232b244214917f24e69f00ba8f261609141d204a87a2a144e55e0402a9,false,not_applicable,PASS_CURRENT_HOST,"version 2.3.7"
cope-runtime-provenance-v2,torch_dist_record,environment,/home/lijingsu/vla/.venv/lib/python3.10/site-packages/torch-2.5.1+cu121.dist-info/RECORD,sha256,32173219b3ae463d17cf829b643e7086fdc23e7a1a564123aa36a942b1db7fdd,32173219b3ae463d17cf829b643e7086fdc23e7a1a564123aa36a942b1db7fdd,false,not_applicable,PASS_CURRENT_HOST,"torch 2.5.1+cu121; torch CUDA 12.1; cuDNN 90100"
cope-runtime-provenance-v2,transformers_dist_record,environment,/home/lijingsu/vla/.venv/lib/python3.10/site-packages/transformers-4.40.1.dist-info/RECORD,sha256,27ff05bc963c52bff91b7c1737c1f74e261adb9651c36262c63f93026aa38417,27ff05bc963c52bff91b7c1737c1f74e261adb9651c36262c63f93026aa38417,false,not_applicable,PASS_CURRENT_HOST,"version 4.40.1"
cope-runtime-provenance-v2,python_artifact_lock,environment,02_PYTHON_LOCK.txt,wheel_sha256_lock,required,missing,true,false,FAIL_COLD_REBUILD,"freeze pins versions but not every wheel/sdist hash; editable LIBERO entry is overridden by clean PYTHONPATH"
