candidate_id,case_id,combination_size,mutation_ids,expected_groups,observed_groups,violation_codes,candidate_sha256,canonical_sha256,candidate_changed,exact_validator_accepted,exact_exception,decomposed_validator_accepted,attribution_exact,caller_state_unchanged,pass
AUTH_SINGLE,wrong_source_revoke,1,M01,authorization_noop,authorization_noop,authorization_noop:unexpected_change:evidence_versions,57a9ca80f48b5fe46d18fb731853fa105ba824bf8e10906d707f49b5b60994f7,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K1_01,replace_pending_target,1,M02,version_evidence,version_evidence,version_evidence:state_version_not_advanced_once,8cdf1034cb34610a5033e4ff39231d2ad63c78066f72bf4a5fd00e63f6ca787b,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K1_02,replace_pending_target,1,M03,identity_lifecycle,identity_lifecycle,identity_lifecycle:replacement_target_not_superseded,a691810ab6e8763659932c61ea7967c1dd5e2a513d3bbf1a65e721aaed5868c8,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K1_03,replace_pending_target,1,M04,goal_consistency,goal_consistency,goal_consistency:goal_does_not_match_event_effect,4f26ebb038de5e1c65f13d5efbe19d18b63a3377211924643e135ecbf99cf2e5,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K1_04,replace_pending_target,1,M05,progress_preservation,progress_preservation,progress_preservation:progress_record_set_changed;progress_preservation:progress_ids_changed;progress_preservation:preserved_progress_changed:deliver:a,c7324eccab3d700acf48b990832da7206b7952c6b45c62b33503f29d2d139770,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K1_05,replace_pending_target,1,M06,action_continuity,action_continuity,action_continuity:plan_does_not_match_event_continuity,fe36bd98068151c0b56906424ed0b8ce29f47b6e21e72a305b773dd00108e85e,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K1_06,replace_pending_target,1,M07,restoration_entity,restoration_entity,restoration_entity:replacement_entity_missing_or_wrong;restoration_entity:entity_id_set_incorrect,7cd37a6ccc1c7565cdb0f9ab05b129ee57ff8bf3f75b604e076e61047e86ba66,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K1_07,replace_pending_target,1,M08,unaffected_scope,unaffected_scope,unaffected_scope:commitment_changed:deliver:a,594d90d07aed376a27fcd8ba4f15751821f19d7f6ca51772b480c45a135b6014,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K2_01,replace_pending_target,2,M02;M03,version_evidence;identity_lifecycle,version_evidence;identity_lifecycle,version_evidence:state_version_not_advanced_once;identity_lifecycle:replacement_target_not_superseded,95894572b29d63a34161313d70de5380ee1458481652625ea6514a5b8f0086eb,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K2_02,replace_pending_target,2,M02;M04,version_evidence;goal_consistency,version_evidence;goal_consistency,version_evidence:state_version_not_advanced_once;goal_consistency:goal_does_not_match_event_effect,66ec95ba0b8babbfe628025f31d0e5a5f055651c775e4756a4c767884c793626,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K2_03,replace_pending_target,2,M02;M05,version_evidence;progress_preservation,version_evidence;progress_preservation,version_evidence:state_version_not_advanced_once;progress_preservation:progress_record_set_changed;progress_preservation:progress_ids_changed;progress_preservation:preserved_progress_changed:deliver:a,8187084e1a2c45818fedc9e97942b4b01baefe0872700ffe0ca8759c96391e77,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K2_04,replace_pending_target,2,M02;M06,version_evidence;action_continuity,version_evidence;action_continuity,version_evidence:state_version_not_advanced_once;action_continuity:plan_does_not_match_event_continuity,672bd00d2f5cc7caf4f57b47c321765150a0dd9660957c01acb972b09ab20888,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K2_05,replace_pending_target,2,M02;M07,version_evidence;restoration_entity,version_evidence;restoration_entity,version_evidence:state_version_not_advanced_once;restoration_entity:replacement_entity_missing_or_wrong;restoration_entity:entity_id_set_incorrect,c7753c59c5e478900909fb3e747992f97dcba789af2849c2f4ff0c050cfe0171,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K2_06,replace_pending_target,2,M02;M08,version_evidence;unaffected_scope,version_evidence;unaffected_scope,version_evidence:state_version_not_advanced_once;unaffected_scope:commitment_changed:deliver:a,d8dd4bd42ffe72746d3b7c32b47d1e01013062a794f054dc14be74b7ecab757b,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K2_07,replace_pending_target,2,M03;M04,identity_lifecycle;goal_consistency,identity_lifecycle;goal_consistency,identity_lifecycle:replacement_target_not_superseded;goal_consistency:goal_does_not_match_event_effect,4a84e9f55d2b7f485a5158fc07931ab877f88a7fa8c6bad745fb400fb699dd41,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K2_08,replace_pending_target,2,M03;M05,identity_lifecycle;progress_preservation,identity_lifecycle;progress_preservation,identity_lifecycle:replacement_target_not_superseded;progress_preservation:progress_record_set_changed;progress_preservation:progress_ids_changed;progress_preservation:preserved_progress_changed:deliver:a,8ebf2ca6a3d272e0187a0a2d35ebeb678b9cab9c18671f3ff1b9439988293058,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K2_09,replace_pending_target,2,M03;M06,identity_lifecycle;action_continuity,identity_lifecycle;action_continuity,identity_lifecycle:replacement_target_not_superseded;action_continuity:plan_does_not_match_event_continuity,3783d15994f9738629a3b1986fa8ef315f7d406b065f0d95774feae7f715e883,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K2_10,replace_pending_target,2,M03;M07,identity_lifecycle;restoration_entity,identity_lifecycle;restoration_entity,identity_lifecycle:replacement_target_not_superseded;restoration_entity:replacement_entity_missing_or_wrong;restoration_entity:entity_id_set_incorrect,a8b08cf8a2b70d2eb8e27c0c74046453e6ef86a49c62a3900f29c492cebda5a6,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K2_11,replace_pending_target,2,M03;M08,identity_lifecycle;unaffected_scope,identity_lifecycle;unaffected_scope,identity_lifecycle:replacement_target_not_superseded;unaffected_scope:commitment_changed:deliver:a,6409408dcfac1dcbf4b9c976b008e468d027d2550d9463eb889ad4748434f6c4,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K2_12,replace_pending_target,2,M04;M05,goal_consistency;progress_preservation,goal_consistency;progress_preservation,goal_consistency:goal_does_not_match_event_effect;progress_preservation:progress_record_set_changed;progress_preservation:progress_ids_changed;progress_preservation:preserved_progress_changed:deliver:a,70894778ecfefbcd4d7ce0e4b52f3fdeeec62aa823a3e277737c914dc509c203,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K2_13,replace_pending_target,2,M04;M06,goal_consistency;action_continuity,goal_consistency;action_continuity,goal_consistency:goal_does_not_match_event_effect;action_continuity:plan_does_not_match_event_continuity,dc3a2836140a506ac74d8a29ff88a1b3b03ec39ea767b450e77acc2541ab5fe1,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K2_14,replace_pending_target,2,M04;M07,goal_consistency;restoration_entity,goal_consistency;restoration_entity,goal_consistency:goal_does_not_match_event_effect;restoration_entity:replacement_entity_missing_or_wrong;restoration_entity:entity_id_set_incorrect,643a4fc8da45e87be1f695828650ba726c6b5e2b21a4bf6c9c6bb1c43945f359,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
