gate_id,scope,before_status,postfix_status,pilot_blocking,evidence_or_next_action
G01,commitment authority and provenance,FAIL,PASS,no,"Frozen audit rejects all 8 assigned corruptions"
G02,event and physical-truth consistency,FAIL,PASS,no,"Replacement rejects an already-completed pending goal"
G03,progress ledger,FAIL,PASS,no,"Event-bound canonical progress rejects 12/12 corruptions"
G04,evidence version binding,FAIL,PASS,no,"Event/world/input revision must match canonical evidence"
G05,plan and goal continuity,FAIL,PASS,no,"Replacement plan and main nonterminal plan checks reject 9/9"
G06,task-relevant entity closure,FAIL,PASS,no,"ID-keyed canonical entity closure is order invariant"
G07,commitment semantic grounding,FAIL,PASS,no,"Canonical commitment semantics reject 4/4"
G08,canonical current goal,FAIL,PASS,no,"Duplicate goal atoms now rejected"
G09,pending restoration injection,FAIL,PASS,no,"Only event-authorized canonical restoration list accepted"
G10,main full-state schema pinning,FAIL,PASS,no,"Main parser requires full-state-v1"
G11,main full-state nonempty task state,FAIL,PASS,no,"Empty constraints rejected"
G12,main full-state lineage completeness,FAIL,PASS,no,"Every main constraint requires lineage"
G13,neutral compiler and prompt isolation,FAIL,PASS,no,"Structured-state compiler rejects diagnostic prompt mismatch"
X01,formal semantic atlas and manifest,MISSING,FAIL,yes,"Create committed replacement/cancellation atlas; default configured file is absent"
X02,non-fake provider adapter,MISSING,FAIL,yes,"Implement regenerate and patch with byte-identical RecoveryInput and equal budget"
X03,non-fake predicate revalidation adapter,MISSING,FAIL,yes,"Configure validator_commit and simulator-predicate evidence"
X04,formal semantic rollout runner,MISSING,FAIL,yes,"Integrate full-state-v2 and post-CoPE materialization into task-1 event runner"
X05,formal dependency provenance,FIXTURE,FAIL,yes,"Replace fixture-atlas and record real dependency commits"
X06,analysis stack,INCOMPLETE,FAIL,yes,"Provide statsmodels in the isolated analysis environment"
X07,shared full-state-v2 formal path,PARTIAL,FAIL,yes,"Main v1 compiler is hardened but remains transitional"
X08,semantic checkpoint/event configuration,SPATIAL,FAIL,yes,"Point the pilot to the qualified task-1 semantic configuration"
