sequence_type,arm,event_index,provider_calls,simulator_states_indexed,candidate_equals_expected,candidate_sha256,directive,proposal_bytes,original_occurrence_1_status,intermediate_occurrence_1_status,original_occurrence_2_status
replace_then_cancel,cope,1,0,0,True,c45c72f942404830fd3a1579762115b16779f7a12296fabbea803ad67a5b2ab6,"place_in(tomato_sauce_1, basket_1_contain_region)",322,superseded,active,absent
replace_then_cancel,cope,2,0,0,True,95f4dcf1a9fb07df971d5c3a5c29f7042296ddc1f8ad98d21ebf68b9ee945be7,HALT,252,superseded,cancelled,absent
replace_then_cancel,neutral_patch,1,0,0,True,c45c72f942404830fd3a1579762115b16779f7a12296fabbea803ad67a5b2ab6,"place_in(tomato_sauce_1, basket_1_contain_region)",1847,superseded,active,absent
replace_then_cancel,neutral_patch,2,0,0,True,95f4dcf1a9fb07df971d5c3a5c29f7042296ddc1f8ad98d21ebf68b9ee945be7,HALT,613,superseded,cancelled,absent
replace_then_cancel,governed_delta,1,0,0,True,c45c72f942404830fd3a1579762115b16779f7a12296fabbea803ad67a5b2ab6,"place_in(tomato_sauce_1, basket_1_contain_region)",2087,superseded,active,absent
replace_then_cancel,governed_delta,2,0,0,True,95f4dcf1a9fb07df971d5c3a5c29f7042296ddc1f8ad98d21ebf68b9ee945be7,HALT,991,superseded,cancelled,absent
replace_then_cancel,fsr_pc,1,0,0,True,c45c72f942404830fd3a1579762115b16779f7a12296fabbea803ad67a5b2ab6,"place_in(tomato_sauce_1, basket_1_contain_region)",2429,superseded,active,absent
replace_then_cancel,fsr_pc,2,0,0,True,95f4dcf1a9fb07df971d5c3a5c29f7042296ddc1f8ad98d21ebf68b9ee945be7,HALT,1984,superseded,cancelled,absent
replace_then_cancel,full_replan,1,0,0,True,c45c72f942404830fd3a1579762115b16779f7a12296fabbea803ad67a5b2ab6,"place_in(tomato_sauce_1, basket_1_contain_region)",398,superseded,active,absent
replace_then_cancel,full_replan,2,0,0,True,95f4dcf1a9fb07df971d5c3a5c29f7042296ddc1f8ad98d21ebf68b9ee945be7,HALT,399,superseded,cancelled,absent
replace_then_restore,cope,1,0,0,True,46860d4f0b7873f3de4ec134f38afc860d4959d6447f98d01ca5fb4c38120573,"place_in(tomato_sauce_1, basket_1_contain_region)",324,superseded,active,absent
replace_then_restore,cope,2,0,0,True,d33cc84a28db1c770dbf32259e53be7568343290d5e4515c1d30c9be90aaa8ad,"place_in(cream_cheese_1, basket_1_contain_region)",324,superseded,superseded,active
replace_then_restore,neutral_patch,1,0,0,True,46860d4f0b7873f3de4ec134f38afc860d4959d6447f98d01ca5fb4c38120573,"place_in(tomato_sauce_1, basket_1_contain_region)",1850,superseded,active,absent
replace_then_restore,neutral_patch,2,0,0,True,d33cc84a28db1c770dbf32259e53be7568343290d5e4515c1d30c9be90aaa8ad,"place_in(cream_cheese_1, basket_1_contain_region)",1850,superseded,superseded,active
replace_then_restore,governed_delta,1,0,0,True,46860d4f0b7873f3de4ec134f38afc860d4959d6447f98d01ca5fb4c38120573,"place_in(tomato_sauce_1, basket_1_contain_region)",2091,superseded,active,absent
replace_then_restore,governed_delta,2,0,0,True,d33cc84a28db1c770dbf32259e53be7568343290d5e4515c1d30c9be90aaa8ad,"place_in(cream_cheese_1, basket_1_contain_region)",2139,superseded,superseded,active
replace_then_restore,fsr_pc,1,0,0,True,46860d4f0b7873f3de4ec134f38afc860d4959d6447f98d01ca5fb4c38120573,"place_in(tomato_sauce_1, basket_1_contain_region)",2433,superseded,active,absent
replace_then_restore,fsr_pc,2,0,0,True,d33cc84a28db1c770dbf32259e53be7568343290d5e4515c1d30c9be90aaa8ad,"place_in(cream_cheese_1, basket_1_contain_region)",3012,superseded,superseded,active
replace_then_restore,full_replan,1,0,0,True,46860d4f0b7873f3de4ec134f38afc860d4959d6447f98d01ca5fb4c38120573,"place_in(tomato_sauce_1, basket_1_contain_region)",399,superseded,active,absent
replace_then_restore,full_replan,2,0,0,True,d33cc84a28db1c770dbf32259e53be7568343290d5e4515c1d30c9be90aaa8ad,"place_in(cream_cheese_1, basket_1_contain_region)",450,superseded,superseded,active
