suite,task_id,state_id,mode,prompt,warmup_steps,completed_progress_success,first_patch_accepted,held_checkpoint_captured,held_object,held_object_lift_m,lift_checkpoint_step,event_two_after_lift,second_patch_accepted,revision_after_event_two,hash_chain_valid,stale_continuation_attempted,stale_continuation_success,safe_return_attempted,safe_return_success,safe_return_error_m,replacement_skill_success,done_object_in_region,butter_in_region,alphabet_soup_in_region,tomato_sauce_in_region,valid_progress_retained,single_goal_success,double_goal_success,stale_held_commitment_executed,environment_steps,within_horizon,source_csv
libero_10,1,0,double_patch_safe_return_switch,put both the cream cheese box and the butter in the basket,10,True,True,True,alphabet_soup_1,0.197954,280,True,True,3,True,False,,True,True,0.001229,True,True,False,False,True,True,False,True,False,524,True,research/oracle_in_motion_replacement/state00_double_patch_safe_return_switch.csv
libero_10,1,0,double_patch_stale_continue,put both the cream cheese box and the butter in the basket,10,True,True,True,alphabet_soup_1,0.197954,280,True,True,3,True,True,True,False,,,,True,False,True,False,True,True,False,True,377,True,research/oracle_in_motion_replacement/state00_double_patch_stale_continue.csv
libero_10,1,0,single_patch_complete,put both the cream cheese box and the butter in the basket,10,True,True,True,alphabet_soup_1,0.197954,280,False,,2,,False,,False,,,,True,False,True,False,True,True,False,True,377,True,research/oracle_in_motion_replacement/state00_single_patch_complete.csv
libero_10,1,1,double_patch_safe_return_switch,put both the cream cheese box and the butter in the basket,10,True,True,True,alphabet_soup_1,0.198117,291,True,True,3,True,False,,True,True,0.002455,True,True,False,False,True,True,False,True,False,535,True,research/oracle_in_motion_replacement/state01_double_patch_safe_return_switch.csv
libero_10,1,1,double_patch_stale_continue,put both the cream cheese box and the butter in the basket,10,True,True,True,alphabet_soup_1,0.198117,291,True,True,3,True,True,True,False,,,,True,False,True,False,True,True,False,True,387,True,research/oracle_in_motion_replacement/state01_double_patch_stale_continue.csv
libero_10,1,1,single_patch_complete,put both the cream cheese box and the butter in the basket,10,True,True,True,alphabet_soup_1,0.198117,291,False,,2,,False,,False,,,,True,False,True,False,True,True,False,True,387,True,research/oracle_in_motion_replacement/state01_single_patch_complete.csv
libero_10,1,2,double_patch_safe_return_switch,put both the cream cheese box and the butter in the basket,10,True,True,True,alphabet_soup_1,0.197968,277,True,True,3,True,False,,True,True,0.001081,True,True,False,False,True,True,False,True,False,517,True,research/oracle_in_motion_replacement/state02_double_patch_safe_return_switch.csv
libero_10,1,2,double_patch_stale_continue,put both the cream cheese box and the butter in the basket,10,True,True,True,alphabet_soup_1,0.197968,277,True,True,3,True,True,True,False,,,,True,False,True,False,True,True,False,True,372,True,research/oracle_in_motion_replacement/state02_double_patch_stale_continue.csv
libero_10,1,2,single_patch_complete,put both the cream cheese box and the butter in the basket,10,True,True,True,alphabet_soup_1,0.197968,277,False,,2,,False,,False,,,,True,False,True,False,True,True,False,True,372,True,research/oracle_in_motion_replacement/state02_single_patch_complete.csv
libero_10,1,3,double_patch_safe_return_switch,put both the cream cheese box and the butter in the basket,10,True,True,True,alphabet_soup_1,0.197870,293,True,True,3,True,False,,True,True,0.002285,True,True,False,False,True,True,False,True,False,537,True,research/oracle_in_motion_replacement/state03_double_patch_safe_return_switch.csv
libero_10,1,3,double_patch_stale_continue,put both the cream cheese box and the butter in the basket,10,True,True,True,alphabet_soup_1,0.197870,293,True,True,3,True,True,True,False,,,,True,False,True,False,True,True,False,True,392,True,research/oracle_in_motion_replacement/state03_double_patch_stale_continue.csv
libero_10,1,3,single_patch_complete,put both the cream cheese box and the butter in the basket,10,True,True,True,alphabet_soup_1,0.197870,293,False,,2,,False,,False,,,,True,False,True,False,True,True,False,True,392,True,research/oracle_in_motion_replacement/state03_single_patch_complete.csv
libero_10,1,4,double_patch_safe_return_switch,put both the cream cheese box and the butter in the basket,10,True,True,True,alphabet_soup_1,0.197953,293,True,True,3,True,False,,True,True,0.001155,True,True,False,False,True,True,False,True,False,535,True,research/oracle_in_motion_replacement/state04_double_patch_safe_return_switch.csv
libero_10,1,4,double_patch_stale_continue,put both the cream cheese box and the butter in the basket,10,True,True,True,alphabet_soup_1,0.197953,293,True,True,3,True,True,True,False,,,,True,False,True,False,True,True,False,True,390,True,research/oracle_in_motion_replacement/state04_double_patch_stale_continue.csv
libero_10,1,4,single_patch_complete,put both the cream cheese box and the butter in the basket,10,True,True,True,alphabet_soup_1,0.197953,293,False,,2,,False,,False,,,,True,False,True,False,True,True,False,True,390,True,research/oracle_in_motion_replacement/state04_single_patch_complete.csv
