case_id,family,case_sha256,tx_equals_oracle,tx_equals_cope,directive_equal,directive,input_unchanged,receipt_integrity,validator_calls,published,rolled_back,mutation_count,before_sha256,after_sha256,pass
no_op,no_op,0cf989bdbb021d52dc0314d6bdb3c94c42df2127d73d8f2cbe98176d480dea4b,True,True,True,PLAN:place-b,True,True,1,True,False,0,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True
cancel_sibling,cancellation,aeeabf942ded96a6682b39627fccb3eb360e1c8d60c4e84a1b48c2f7d04afb2d,True,True,True,HALT,True,True,1,True,False,5,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,0cddfcb0f709bc9915b78bb7816f95935d1217a0a72b253b05a8a64813129474,True
replace_pending_target,replacement,d00f7392910ca66d41e3550ce4fc128b51c7127ca772ebced36d5087d8e69ec4,True,True,True,PLAN:place-c,True,True,1,True,False,7,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True
activate_override,override,2ca1a39ead5d9852c78f3ce23466ef3a922d6619a1ce35f449cfcb2fb2747ab5,True,True,True,HALT,True,True,1,True,False,7,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,941fabeb7ea52631942e5f6f4e1233fadf200fbbb8ce48a56fba57eda30510a1,True
release_override,release,4869128ae50182580b7d989bc4b09e804ca0454171f3dd59eea8a8909830141f,True,True,True,PLAN:place-b,True,True,1,True,False,7,c044b08c1bb8404c192da170ab4be452799297384d0c7a40df6f066c14262a62,c01c682f2a1e3efa67449f6a8a673aa9ee820107b7f7cfd8520fb1fcd1057c3a,True
world_change_release,release_world_change,f0cfe57440c7591b72c0cd0f9ddfe51aea0fbf9a72d48951d92a144e57508562,True,True,True,PLAN:place-b,True,True,1,True,False,9,c044b08c1bb8404c192da170ab4be452799297384d0c7a40df6f066c14262a62,616cf7ba9dcef7d0feb7e026c787bfc3aada81feaacddea9b1f9a9ac0441edf1,True
wrong_source_revoke,authorization,9f77a0d6134bcecd25f46d8764cfa6c0f33e9b01436cbb0daad0175de64c376b,True,True,True,PLAN:place-b,True,True,1,True,False,0,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True
stale_version,version,3241855d68b34f2e59f913c608044ec4156c21b62545725c2b6d5b41e29531c4,True,True,True,PLAN:place-b,True,True,1,True,False,0,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True
idempotence,idempotence,287a20fc641e42b0e769e0d6685a2e479f0b6100956bbb234f57327c8fe287d9,True,True,True,PLAN:place-b,True,True,1,True,False,0,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True
irrelevant_sibling_change,irrelevant_change,ca7799314da514aa5558101fbc16e3b80f03f2aa66bb526a1849f17048a0e22f,True,True,True,PLAN:place-b,True,True,1,True,False,2,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,20bf8a638a077d75bfea3e7c84c7a6c481574d40c92b6f73eaaadafcdb2fa694,True
continuity_valid,continuity,7c42cb2f0fb2ea33b07b6ee4b2f2cd052abfb61d9d5db38ec6c9e5bcbc2a4af2,True,True,True,CONTINUE:place-b,True,True,1,True,False,2,f970ef057d61360c9ba57fc909b11a25e34be668ed84d7b62e3c2dbded6eb8ba,bdb46b21046957666d098d6929236b51def9c6d5ba9968a5336f5e87bc25a944,True
continuity_invalid,continuity,42c65155921ae6812498d0d2b24dda2398d75e2e0535046c28665abd29299fc0,True,True,True,CANCEL:place-b,True,True,1,True,False,7,f970ef057d61360c9ba57fc909b11a25e34be668ed84d7b62e3c2dbded6eb8ba,4fd057cd11539191dee93443c12f208bdc69166e334ce37148a24afc1e14eff1,True
