suite,task_id,trial_id,prompt,operation_index,object_name,target_region_name,success,failure_reason,grasp_acquired,object_lift_m,target_predicate,skill_steps,environment_steps,task_success_after_operation,warmup_steps,phase_summary,source_csv
libero_10,0,0,put both the alphabet soup and the tomato sauce in the basket,0,alphabet_soup_1,basket_1_contain_region,True,,True,0.197917,True,174,184,False,10,approach_object:18:0.00377;descend_to_grasp:16:0.00463;close_gripper:20:;lift_object:21:0.00308;transfer_above_target:36:0.00057;descend_to_release:16:0.00416;open_gripper:10:;retreat:17:0.00247;settle:20:,research/oracle_skill_canary/task00_state00_original.csv
libero_10,0,0,put both the alphabet soup and the tomato sauce in the basket,1,tomato_sauce_1,basket_1_contain_region,True,,True,0.197920,True,138,322,True,10,approach_object:26:0.00122;descend_to_grasp:16:0.00543;close_gripper:20:;lift_object:21:0.00298;transfer_above_target:30:0.00337;descend_to_release:15:0.00464;open_gripper:8:;retreat:1:0.14996;settle:1:,research/oracle_skill_canary/task00_state00_original.csv
libero_10,0,1,put both the alphabet soup and the tomato sauce in the basket,0,alphabet_soup_1,basket_1_contain_region,True,,True,0.197916,True,170,180,False,10,approach_object:17:0.00407;descend_to_grasp:16:0.00478;close_gripper:20:;lift_object:21:0.00311;transfer_above_target:33:0.00163;descend_to_release:16:0.00366;open_gripper:10:;retreat:17:0.00240;settle:20:,research/oracle_skill_canary/task00_state01_original.csv
libero_10,0,1,put both the alphabet soup and the tomato sauce in the basket,1,tomato_sauce_1,basket_1_contain_region,True,,True,0.198013,True,137,317,True,10,approach_object:25:0.00275;descend_to_grasp:16:0.00478;close_gripper:20:;lift_object:21:0.00266;transfer_above_target:30:0.00305;descend_to_release:15:0.00452;open_gripper:8:;retreat:1:0.14998;settle:1:,research/oracle_skill_canary/task00_state01_original.csv
libero_10,0,2,put both the alphabet soup and the tomato sauce in the basket,0,alphabet_soup_1,basket_1_contain_region,True,,True,0.197744,True,168,178,False,10,approach_object:15:0.00558;descend_to_grasp:15:0.00466;close_gripper:20:;lift_object:21:0.00290;transfer_above_target:34:0.00069;descend_to_release:16:0.00424;open_gripper:10:;retreat:17:0.00242;settle:20:,research/oracle_skill_canary/task00_state02_original.csv
libero_10,0,2,put both the alphabet soup and the tomato sauce in the basket,1,tomato_sauce_1,basket_1_contain_region,True,,True,0.198094,True,128,306,True,10,approach_object:24:0.00239;descend_to_grasp:16:0.00425;close_gripper:20:;lift_object:21:0.00234;transfer_above_target:21:0.00626;descend_to_release:16:0.00557;open_gripper:8:;retreat:1:0.14999;settle:1:,research/oracle_skill_canary/task00_state02_original.csv
libero_10,0,3,put both the alphabet soup and the tomato sauce in the basket,0,alphabet_soup_1,basket_1_contain_region,True,,True,0.199008,True,177,187,False,10,approach_object:19:0.00243;descend_to_grasp:16:0.00541;close_gripper:20:;lift_object:22:0.00201;transfer_above_target:37:0.00114;descend_to_release:16:0.00433;open_gripper:10:;retreat:17:0.00248;settle:20:,research/oracle_skill_canary/task00_state03_original.csv
libero_10,0,3,put both the alphabet soup and the tomato sauce in the basket,1,tomato_sauce_1,basket_1_contain_region,True,,True,0.197914,True,136,323,True,10,approach_object:25:0.00250;descend_to_grasp:16:0.00524;close_gripper:20:;lift_object:21:0.00299;transfer_above_target:29:0.00379;descend_to_release:15:0.00474;open_gripper:8:;retreat:1:0.14996;settle:1:,research/oracle_skill_canary/task00_state03_original.csv
libero_10,0,4,put both the alphabet soup and the tomato sauce in the basket,0,alphabet_soup_1,basket_1_contain_region,True,,True,0.198017,True,176,186,False,10,approach_object:19:0.00109;descend_to_grasp:16:0.00463;close_gripper:20:;lift_object:21:0.00292;transfer_above_target:37:0.00079;descend_to_release:16:0.00428;open_gripper:10:;retreat:17:0.00248;settle:20:,research/oracle_skill_canary/task00_state04_original.csv
libero_10,0,4,put both the alphabet soup and the tomato sauce in the basket,1,tomato_sauce_1,basket_1_contain_region,True,,True,0.197882,True,137,323,True,10,approach_object:25:0.00307;descend_to_grasp:16:0.00511;close_gripper:20:;lift_object:21:0.00293;transfer_above_target:30:0.00359;descend_to_release:15:0.00464;open_gripper:8:;retreat:1:0.14998;settle:1:,research/oracle_skill_canary/task00_state04_original.csv
