schema_version,sequence_id,task_suite,task_id,state_id,prefix_orientation,sequence_type,done_object,initial_pending_object,replacement_c,replacement_d,arm_order,provider_calls_per_arm,model,temperature,seed,max_completion_tokens,retry_budget,repair_budget,controller_config_sha256
cope-sequential-formal-manifest-v1,formal_t00_s10_forward_replace_then_cancel,libero_10,0,10,forward,replace_then_cancel,alphabet_soup_1,tomato_sauce_1,cream_cheese_1,,cope;neutral_patch;fsr_pc;full_replan,2,qwen/qwen3.5-flash-02-23,0.0,20260804,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s10_forward_replace_then_replace,libero_10,0,10,forward,replace_then_replace,alphabet_soup_1,tomato_sauce_1,cream_cheese_1,butter_1,neutral_patch;fsr_pc;full_replan;cope,2,qwen/qwen3.5-flash-02-23,0.0,20260805,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s11_forward_replace_then_cancel,libero_10,0,11,forward,replace_then_cancel,alphabet_soup_1,tomato_sauce_1,cream_cheese_1,,fsr_pc;full_replan;cope;neutral_patch,2,qwen/qwen3.5-flash-02-23,0.0,20260806,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s11_forward_replace_then_replace,libero_10,0,11,forward,replace_then_replace,alphabet_soup_1,tomato_sauce_1,cream_cheese_1,butter_1,full_replan;cope;neutral_patch;fsr_pc,2,qwen/qwen3.5-flash-02-23,0.0,20260807,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s12_forward_replace_then_cancel,libero_10,0,12,forward,replace_then_cancel,alphabet_soup_1,tomato_sauce_1,cream_cheese_1,,cope;neutral_patch;fsr_pc;full_replan,2,qwen/qwen3.5-flash-02-23,0.0,20260808,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s12_forward_replace_then_replace,libero_10,0,12,forward,replace_then_replace,alphabet_soup_1,tomato_sauce_1,cream_cheese_1,butter_1,neutral_patch;fsr_pc;full_replan;cope,2,qwen/qwen3.5-flash-02-23,0.0,20260809,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s13_forward_replace_then_cancel,libero_10,0,13,forward,replace_then_cancel,alphabet_soup_1,tomato_sauce_1,cream_cheese_1,,fsr_pc;full_replan;cope;neutral_patch,2,qwen/qwen3.5-flash-02-23,0.0,20260810,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s13_forward_replace_then_replace,libero_10,0,13,forward,replace_then_replace,alphabet_soup_1,tomato_sauce_1,cream_cheese_1,butter_1,full_replan;cope;neutral_patch;fsr_pc,2,qwen/qwen3.5-flash-02-23,0.0,20260811,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s14_forward_replace_then_cancel,libero_10,0,14,forward,replace_then_cancel,alphabet_soup_1,tomato_sauce_1,cream_cheese_1,,cope;neutral_patch;fsr_pc;full_replan,2,qwen/qwen3.5-flash-02-23,0.0,20260812,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s14_forward_replace_then_replace,libero_10,0,14,forward,replace_then_replace,alphabet_soup_1,tomato_sauce_1,cream_cheese_1,butter_1,neutral_patch;fsr_pc;full_replan;cope,2,qwen/qwen3.5-flash-02-23,0.0,20260813,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s15_forward_replace_then_cancel,libero_10,0,15,forward,replace_then_cancel,alphabet_soup_1,tomato_sauce_1,cream_cheese_1,,fsr_pc;full_replan;cope;neutral_patch,2,qwen/qwen3.5-flash-02-23,0.0,20260814,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s15_forward_replace_then_replace,libero_10,0,15,forward,replace_then_replace,alphabet_soup_1,tomato_sauce_1,cream_cheese_1,butter_1,full_replan;cope;neutral_patch;fsr_pc,2,qwen/qwen3.5-flash-02-23,0.0,20260815,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s16_forward_replace_then_cancel,libero_10,0,16,forward,replace_then_cancel,alphabet_soup_1,tomato_sauce_1,cream_cheese_1,,cope;neutral_patch;fsr_pc;full_replan,2,qwen/qwen3.5-flash-02-23,0.0,20260816,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
