sequence_id,arm,event_index,case_id,triple_index,recurrence_depth,provider_called,retry_count,parser_valid,semantic_valid,canonical_valid,history_valid,directive_valid,proposal_bytes,prompt_tokens,completion_tokens,latency_seconds,failure_class,input_sha256,proposal_sha256,response_sha256,candidate_sha256
occurrence-t00-d1,cope,1,occurrence-t00-d1,0,1,True,0,True,True,True,True,True,278,1321,115,1.3474160516634583,,fcb467167ff43920a7a08d3176a2298b3bc2c9d626497cfbabbb81d97de50824,7db1f76334115d575922871de2015a72dd00eff22a0db7aa3723b92c22fde824,060ddaa811505c72ebd7b58fb3bedbe354356a4662fc48c27a960c86bf3b1ab5,7477bae5bf36618843b5374d638f593c6dd26d87c1211b3eea9f11bf6853244a
occurrence-t00-d1,neutral_patch,1,occurrence-t00-d1,0,1,True,0,True,False,False,False,False,1672,1342,759,4.336760437116027,CompactTransactionError:compact write path is not allowlisted,fcb467167ff43920a7a08d3176a2298b3bc2c9d626497cfbabbb81d97de50824,be212acd7388cde58893998cac84eab889afa109dcf2da729b1dfc1c3e3ab81f,5a7215489790730cee41ede7a8be3f2be5b3ed0b49664d8b2722539b945379a3,
occurrence-t00-d1,governed_delta,1,occurrence-t00-d1,0,1,True,0,True,False,False,False,False,1441,1336,664,4.486779276281595,OccurrenceSemanticError:governed scope and records disagree,fcb467167ff43920a7a08d3176a2298b3bc2c9d626497cfbabbb81d97de50824,d5b9552fb17586b48426e64160f33925851145164b2c2c9ea1dec03d3d169528,4f44a2c1edac84b0d49fdb64152d93a682fe495bd687ffc0f1825938c2aab2c9,
occurrence-t00-d1,fsr_pc,1,occurrence-t00-d1,0,1,True,0,True,False,False,False,False,2726,1286,1189,6.131681082770228,OccurrenceSemanticError:post-state is not the canonical occurrence transition,fcb467167ff43920a7a08d3176a2298b3bc2c9d626497cfbabbb81d97de50824,b015f8f34392918363d12678d9564fea843e91432e06e0e5166ebcd2ae4ad11b,04959cb717cecd7caa6ed3a54e689a713f7539150bbe7bd4073b578094e36fbb,
occurrence-t00-d1,full_replan,1,occurrence-t00-d1,0,1,True,0,True,False,False,False,False,701,1306,319,2.2272633779793978,OccurrenceSemanticError:full replan is not occurrence-canonical,fcb467167ff43920a7a08d3176a2298b3bc2c9d626497cfbabbb81d97de50824,8ef16d53773d0655f4edfe4d4e8ae8ff4cfab7ba4c767be39fe9c089bc068bbb,286881ec97b16822a08ee951e5092b83534b64f45441bae68cd471d0cf68cf6b,
occurrence-t00-d2,neutral_patch,1,occurrence-t00-d2,0,2,True,0,True,False,False,False,False,1728,1659,779,4.341706331819296,OccurrenceSemanticError:neutral transaction is not the minimum canonical write set,f7c7480932e69b3036bd3d81b1c63dcc92cf99094988db04d8f152f8a2c33d31,ac1034a53b2337c24a70070727c22a4c146cbaf19b6423d03868b518afa5ea10,d039fb01fc401662fa7bbe8dcf7e8f92ffada0bc24030551145b39bb0d16e194,
occurrence-t00-d2,governed_delta,1,occurrence-t00-d2,0,2,True,0,True,False,False,False,False,1351,1653,656,3.747226911596954,OccurrenceSemanticError:governed scope and records disagree,f7c7480932e69b3036bd3d81b1c63dcc92cf99094988db04d8f152f8a2c33d31,5b8611d2dd53dcd89950fe1d58c8283e150d49c5e26d128aeb5ea0724ab5ce1a,a1904c3137e365f84e824e60f87a826d2e9748ed92b03bc231e815546e00d1ce,
occurrence-t00-d2,fsr_pc,1,occurrence-t00-d2,0,2,True,0,True,False,False,False,False,3777,1603,1635,7.882470905780792,OccurrenceSemanticError:post-state is not the canonical occurrence transition,f7c7480932e69b3036bd3d81b1c63dcc92cf99094988db04d8f152f8a2c33d31,aeb5e652a25368bc170327897659ce3662b3fa16b8f6134daa9ac26e31a10010,a8b5125dc19bf3e91b38d3695ed845b437b06a1faf04b4ba23fed70a3694d25b,
occurrence-t00-d2,full_replan,1,occurrence-t00-d2,0,2,True,0,True,False,False,False,False,1059,1623,472,2.4794888431206346,OccurrenceSemanticError:full replan is not occurrence-canonical,f7c7480932e69b3036bd3d81b1c63dcc92cf99094988db04d8f152f8a2c33d31,4d53b502f9314ef6905aceb9d409e5a9c9ff20cc64ce81d2488f21c12814531c,9efbbbc0470afd3f9f6d1bb946cb3d9d9a210993f8b01793c70d8285210a14c5,
occurrence-t00-d2,cope,1,occurrence-t00-d2,0,2,True,0,True,True,True,True,True,273,1638,114,1.0974813988432288,,f7c7480932e69b3036bd3d81b1c63dcc92cf99094988db04d8f152f8a2c33d31,2e3be21ab1fa927aa886173f06b0332b6bb7015f01dc76cb941fcc858a66691c,92b226b80c0da87b4ef270ebf032843ad099fb57d636302a3187237a6a9401d9,28f823661df4aff6a91e76cab7b067ac15abebe631a6ee535aec8d19f8d62b52
occurrence-t00-d3,governed_delta,1,occurrence-t00-d3,0,3,True,0,True,False,False,False,False,1351,1970,656,3.7080891774967313,OccurrenceSemanticError:governed scope and records disagree,dcb9b67e4ec1724329c7365cee8c3d40f5983abdfd40b3ade49977fc6bacad79,05a989e03c3688f72394d3274acf6525f38e0a4b3613d01855f5f03f887ea07b,f22b1b50b28802576c14e0c4a9586f28891f0edc579948e86533b9b17805b700,
occurrence-t00-d3,fsr_pc,1,occurrence-t00-d3,0,3,True,0,True,False,False,False,False,4878,1920,2100,10.186210062354803,OccurrenceSemanticError:post-state is not the canonical occurrence transition,dcb9b67e4ec1724329c7365cee8c3d40f5983abdfd40b3ade49977fc6bacad79,a281a55e6fbd404ec34284885c3184c7cf3ad822d4dfda6013ea71fc297b3b00,28f510cb74c64ee36595db3f0245ca24813d37861829f02269ee99f7916e8b1b,
occurrence-t00-d3,full_replan,1,occurrence-t00-d3,0,3,True,0,True,False,False,False,False,1035,1940,478,3.2643767707049847,OccurrenceSemanticError:full replan is not occurrence-canonical,dcb9b67e4ec1724329c7365cee8c3d40f5983abdfd40b3ade49977fc6bacad79,8824393e53af5abe4783efa580851d73015d6512e19c13ae5176cff848b49a79,f80aa179a1b7cd17bf1b367fe9aa1a50846175c13ab317b0e371af06ba0a4dac,
occurrence-t00-d3,cope,1,occurrence-t00-d3,0,3,True,0,True,True,True,True,True,278,1955,115,1.207955565303564,,dcb9b67e4ec1724329c7365cee8c3d40f5983abdfd40b3ade49977fc6bacad79,eda342e8c21ced192065d4e1c1002f1e7bd47cfb011e386b35ecdf896ad90fe0,a233151e9d2cd3665fcd26e48f7031db78e6d3efbcf1f406a67a4a2b9285bbf7,f3ab5db25978615863d64822accfb6634be646ca3bef85e764dae5bba4a03cd9
occurrence-t00-d3,neutral_patch,1,occurrence-t00-d3,0,3,True,0,True,False,False,False,False,1678,1976,760,4.081959395669401,OccurrenceSemanticError:neutral transaction is not the minimum canonical write set,dcb9b67e4ec1724329c7365cee8c3d40f5983abdfd40b3ade49977fc6bacad79,54650ea8aa0f36aa2c6abe5478f343761a64e2973b9fbf6c0c95aa82c18a056f,6a3b520d313a737675d9fa4822b1db78d0a2ef0242f6899bb3b45fec1fa714db,
occurrence-t00-d4,fsr_pc,1,occurrence-t00-d4,0,4,True,0,True,False,False,False,False,5885,2237,2529,12.741614111699164,OccurrenceSemanticError:post-state is not the canonical occurrence transition,c9c4529e5f631b0d1e38609fcbd46d4f191d615e539c55e167ba58963d650717,26eb34082ab88551a12e8472b76c01453d8c5ea139f7f1eac60e12d17711273a,605f8c9a1a75494be43bb8d7d69b0161ce8db93427c786ada373ce629992efad,
occurrence-t00-d4,full_replan,1,occurrence-t00-d4,0,4,True,0,True,False,False,False,False,1751,2257,797,4.232940712012351,OccurrenceSemanticError:full replan is not occurrence-canonical,c9c4529e5f631b0d1e38609fcbd46d4f191d615e539c55e167ba58963d650717,82c554ebf1d39dec765a3ad216ea2eb81bd12c23b036e5c80c2d4b8714237784,5cbe4a3623ca888110cbec269f9a2fa6f303c447e7cc3fd68b1229bfdd4a4866,
occurrence-t00-d4,cope,1,occurrence-t00-d4,0,4,True,0,True,True,True,True,True,273,2272,114,1.4937864895910025,,c9c4529e5f631b0d1e38609fcbd46d4f191d615e539c55e167ba58963d650717,d3077a326cda5932c8ac33e37d98d7a4bc469196f41b7ed98fd83c62ff43d9c2,829021fea3ea8a308da2c47072e6f94de5711aa1542b4e42cc9a532181e92bd5,2327b0534b0b0b85ad83d4ab825a111758a2a8d891adde7ed643a05abdcb7a49
occurrence-t00-d4,neutral_patch,1,occurrence-t00-d4,0,4,True,0,True,False,False,False,False,1678,2293,760,4.238070107996464,OccurrenceSemanticError:neutral transaction is not the minimum canonical write set,c9c4529e5f631b0d1e38609fcbd46d4f191d615e539c55e167ba58963d650717,82dc2132b60fc9dc70299980bffd97e6c04e86bce3addd21fd365189a6e2c46a,b958a507adc8e3cd8555719667bbfb99b3c6f5b0d9a520c8ecaee963ec6bba53,
occurrence-t00-d4,governed_delta,1,occurrence-t00-d4,0,4,True,0,True,False,False,False,False,1351,2287,656,4.231737959198654,OccurrenceSemanticError:governed scope and records disagree,c9c4529e5f631b0d1e38609fcbd46d4f191d615e539c55e167ba58963d650717,dd14b65a294248dc6465ee415f78a498f2ae4c1e3f884b89025060edecb8e8e0,c3eeec97f3c97b46a1a1a9498eee4abbdb90169f7490b43b0dbd91116450ebe7,
occurrence-t01-d1,full_replan,1,occurrence-t01-d1,1,1,True,0,True,False,False,False,False,894,1296,398,2.509378678165376,OccurrenceSemanticError:full replan is not occurrence-canonical,4a36664426548e765af7b1b029c349e50cf38b99d7f159decf138be460f3490c,46547518a658db544688fd3b7eead59cea1fec008e3e340b7c94bd537ba3c91b,d8f3eedfdab56386156e75079545ad41a5ef4f70adb28cab282a33eb78c05c4d,
