baseline,role,information_and_backend,admission_gate,current_status,required_reporting
CoPE-G,proposed method,"same RecoveryInput/provider/validator/compiler/controller; generic typed interpreter without exact oracle","common controller clean and updated-goal qualification","offline commission 0/14; omission 8/8 before validator; no learned or embodied result","validity,rejection layer,tokens,bytes,current-goal success,progress,safety"
Compact-TX,mandatory strongest sparse comparator,"identical inputs/backend; generic path/value proposal; same decomposed validator","same controller and provider availability gates","semantic 12/12; smaller than FSR 12/12; learned result blocked","same metrics as CoPE-G"
FSR-PC,mandatory full-state comparator,"identical inputs/backend; complete full-state-v2 rewrite with plan continuity","same controller and provider availability gates","semantic control implemented; real provider result blocked","same metrics as CoPE-G plus full-state proposal cost"
NO-EDIT,negative control,"current state and execution continue without semantic recovery","event must create recovery need under oracle control","available conceptually; use assigned denominator","task success,unsafe action,progress"
CURRENT-WORLD-REPLAN,strong behavior comparator,"fresh current world and updated task; complete replanning; same skills/controller","must pass clean/updated-goal qualification","existing harness/result artifact available; needs matched final corpus","success,progress,replan cost,action cancellation"
ORACLE-FULL,upper-bound control,"canonical event transition; same compiler/controller","none beyond backend clean qualification","test/control only; never learned result","semantic ceiling and downstream execution ceiling"
COPE-EXACT,oracle representation upper bound,"typed proposal compared exactly with expected patch","not a deployable primary arm","0/22 representation fail-open by construction","label oracle-equivalent; exclude from superiority claim"
TX-EXEC+,expressivity falsifier,"generic persistent transactional executive with common validator","offline contract only","12/12 equivalent; 8/8 faults fail closed; verbose/resource-negative","equivalence,receipt integrity,resource diagnostics"
DoReMi-H,published secondary,"DoReMi-style monitoring/replan augmented to identical history IDs authority version and backend","same clean and updated-goal gate","not yet executed in final corpus","clearly label H augmentation; do not call paper-native"
ReKep,geometric applicable secondary,"published geometric keypoint constraints and stage backtracking","at least 25/30 clean and 25/30 matched counterfactual updated-goal successes per admitted cell","reported reproduction about 30% clean; not admitted","clean qualification first; never infer semantic superiority from low ceiling"
OpenVLA policy,possible learned controller substrate,"same checkpoint/controller for every semantic arm","at least 25/30 clean and 25/30 updated-goal counterfactual success","replacement 0/5 and target substitution 0/4; disqualified now","retain raw failures; do not use as primary ceiling"
Parameterized skill controller,current mechanism substrate,"same parameterized skills for every semantic arm","repeat independent development qualification at least 25/30 per task/goal variant","fresh states 15--24 provisional 10/10","mechanism result only; disclose hand-engineered skill interface"

