case_id,phase,family,source,arm,model,temperature,seed,max_completion_tokens,timeout_seconds,retry_budget,repair_budget,input_hash,common_input_bytes_sha256,normalized_request_sha256,fairness_pass,provider_status,provider_error,response_sha256,parser_valid,semantic_valid,first_pass_valid,semantic_correct,unauthorized_or_stale_edit,progress_corruption,continuity_error,compiled_directive,prompt_tokens,completion_tokens,latency_seconds,validator_calls,repair_success,proposal_bytes,call_order_position,parse_or_validation_error
no_op,smoke,no_op,public_synthetic,cope,qwen/qwen3.5-flash-02-23,0.0,20260802,4096,90.0,0,0,1159e6afabff7917d023217e2fbec8ef5f12ee1047e9f5f21061c22431a9fe7c,0aa27d5ab751bb981f16fbbdfaf904dbb1f98801a3d8e6926e4221c27d09f6e8,0c112012cf763dffdf81bd3dffae7660e3cb6bf5ae16657adf3228174668ec5f,True,configuration_blocked,credential_unavailable,,,,,,,,,,0,0,0.000000,0,not_enabled,0,0,
no_op,smoke,no_op,public_synthetic,compact_tx,qwen/qwen3.5-flash-02-23,0.0,20260802,4096,90.0,0,0,1159e6afabff7917d023217e2fbec8ef5f12ee1047e9f5f21061c22431a9fe7c,0aa27d5ab751bb981f16fbbdfaf904dbb1f98801a3d8e6926e4221c27d09f6e8,0c112012cf763dffdf81bd3dffae7660e3cb6bf5ae16657adf3228174668ec5f,True,configuration_blocked,credential_unavailable,,,,,,,,,,0,0,0.000000,0,not_enabled,0,1,
no_op,smoke,no_op,public_synthetic,fsr_pc,qwen/qwen3.5-flash-02-23,0.0,20260802,4096,90.0,0,0,1159e6afabff7917d023217e2fbec8ef5f12ee1047e9f5f21061c22431a9fe7c,0aa27d5ab751bb981f16fbbdfaf904dbb1f98801a3d8e6926e4221c27d09f6e8,0c112012cf763dffdf81bd3dffae7660e3cb6bf5ae16657adf3228174668ec5f,True,configuration_blocked,credential_unavailable,,,,,,,,,,0,0,0.000000,0,not_enabled,0,2,
replace_pending_target,smoke,replacement,contract_valid_control_extension,cope,qwen/qwen3.5-flash-02-23,0.0,20260802,4096,90.0,0,0,4d7b58e269627f19257c12b0deded0c34a56976d4f61f8e2026801ba60851ac3,c87c092dd1a4edeff1e44051664d2514e71350dcb30c566743c7f7c2988d6fd7,04838e99baca3fa5d4656c5d04a9cbf2c34cac372fcc7758e603bc0b19ee0f85,True,configuration_blocked,credential_unavailable,,,,,,,,,,0,0,0.000000,0,not_enabled,0,2,
replace_pending_target,smoke,replacement,contract_valid_control_extension,compact_tx,qwen/qwen3.5-flash-02-23,0.0,20260802,4096,90.0,0,0,4d7b58e269627f19257c12b0deded0c34a56976d4f61f8e2026801ba60851ac3,c87c092dd1a4edeff1e44051664d2514e71350dcb30c566743c7f7c2988d6fd7,04838e99baca3fa5d4656c5d04a9cbf2c34cac372fcc7758e603bc0b19ee0f85,True,configuration_blocked,credential_unavailable,,,,,,,,,,0,0,0.000000,0,not_enabled,0,0,
replace_pending_target,smoke,replacement,contract_valid_control_extension,fsr_pc,qwen/qwen3.5-flash-02-23,0.0,20260802,4096,90.0,0,0,4d7b58e269627f19257c12b0deded0c34a56976d4f61f8e2026801ba60851ac3,c87c092dd1a4edeff1e44051664d2514e71350dcb30c566743c7f7c2988d6fd7,04838e99baca3fa5d4656c5d04a9cbf2c34cac372fcc7758e603bc0b19ee0f85,True,configuration_blocked,credential_unavailable,,,,,,,,,,0,0,0.000000,0,not_enabled,0,1,
wrong_source_revoke,smoke,authorization,contract_diagnostic_control_extension,cope,qwen/qwen3.5-flash-02-23,0.0,20260802,4096,90.0,0,0,79b36b368a3b7b11aa8a04e9c1e496fbb215ae5706e6a5f5fa3e89423115254e,151e126bc5e440186f6efb60c1451140f85215b0e72a4ae964d19489b987520d,2063d35868b25d6f7b79f7ef7cf9a817ba8c036c10c596d4a585a929f0a3f69f,True,configuration_blocked,credential_unavailable,,,,,,,,,,0,0,0.000000,0,not_enabled,0,1,
wrong_source_revoke,smoke,authorization,contract_diagnostic_control_extension,compact_tx,qwen/qwen3.5-flash-02-23,0.0,20260802,4096,90.0,0,0,79b36b368a3b7b11aa8a04e9c1e496fbb215ae5706e6a5f5fa3e89423115254e,151e126bc5e440186f6efb60c1451140f85215b0e72a4ae964d19489b987520d,2063d35868b25d6f7b79f7ef7cf9a817ba8c036c10c596d4a585a929f0a3f69f,True,configuration_blocked,credential_unavailable,,,,,,,,,,0,0,0.000000,0,not_enabled,0,2,
wrong_source_revoke,smoke,authorization,contract_diagnostic_control_extension,fsr_pc,qwen/qwen3.5-flash-02-23,0.0,20260802,4096,90.0,0,0,79b36b368a3b7b11aa8a04e9c1e496fbb215ae5706e6a5f5fa3e89423115254e,151e126bc5e440186f6efb60c1451140f85215b0e72a4ae964d19489b987520d,2063d35868b25d6f7b79f7ef7cf9a817ba8c036c10c596d4a585a929f0a3f69f,True,configuration_blocked,credential_unavailable,,,,,,,,,,0,0,0.000000,0,not_enabled,0,0,
continuity_invalid,smoke,continuity,public_synthetic,cope,qwen/qwen3.5-flash-02-23,0.0,20260802,4096,90.0,0,0,5905cbc13255b560d62ddac2406c09b82e0a95f2f0f022192971b41c9698d24d,32530bcab41bf163fd5561c1deb83525e4005b6fd6d3e55066d98da3e0bd014e,0e06250f6bd703df389bebfcb2d6ac97c7f21e026dbf8ee5ce26b1192ba611ad,True,configuration_blocked,credential_unavailable,,,,,,,,,,0,0,0.000000,0,not_enabled,0,0,
continuity_invalid,smoke,continuity,public_synthetic,compact_tx,qwen/qwen3.5-flash-02-23,0.0,20260802,4096,90.0,0,0,5905cbc13255b560d62ddac2406c09b82e0a95f2f0f022192971b41c9698d24d,32530bcab41bf163fd5561c1deb83525e4005b6fd6d3e55066d98da3e0bd014e,0e06250f6bd703df389bebfcb2d6ac97c7f21e026dbf8ee5ce26b1192ba611ad,True,configuration_blocked,credential_unavailable,,,,,,,,,,0,0,0.000000,0,not_enabled,0,1,
