task_id,initial_state_id,policy_seeds,seed_pair_exact_replay,successes_in_seed_pair,status,policy_steps_per_seed,goal_a,goal_a_ever,goal_a_terminal,goal_a_first_policy_step,goal_a_regressions,goal_b,goal_b_ever,goal_b_terminal,goal_b_first_policy_step,goal_b_regressions,goal_a_lift_signal,goal_a_lift_ever,goal_a_lift_terminal,goal_a_lift_first_policy_step,goal_b_lift_signal,goal_b_lift_ever,goal_b_lift_terminal,goal_b_lift_first_policy_step,validated_actions_per_seed,gripper_minus_one_per_seed,gripper_plus_one_per_seed,classification,seed101_trace_sha256,seed131_trace_sha256,evidence
0,0,101;131,True,0,timeout,260,alphabet_soup_in_basket,True,True,187,0,tomato_sauce_in_basket,False,False,,0,alphabet_soup_lifted,True,False,90,tomato_sauce_lifted,False,False,,260,158,102,GOAL_A_ONLY_NO_VERIFIED_GOAL_B_PLACEMENT,6a43204557685871cdd923d19eb820d25e9a2226af77d1dbbf36471d797520c0,be98016448c012d6fbef4cf12a094d7cff9a974cf540289618d6e3a6e3d7e16e,clean_calibration_01/task_0_state_0_seed_101/ACTION_TRACE.txt;clean_calibration_01/task_0_state_0_seed_131/ACTION_TRACE.txt
0,1,101;131,True,0,timeout,260,alphabet_soup_in_basket,True,True,140,0,tomato_sauce_in_basket,False,False,,0,alphabet_soup_lifted,True,False,75,tomato_sauce_lifted,True,True,214,260,138,122,GOAL_A_PRESERVED_GOAL_B_HELD_AT_TIMEOUT,3883596c9bb1ea8edf0928a0976f58043d27ecfe67dbd10af0883517880ec1e6,a82126d84de39e9c050b4182178ec4ed25742066c5231378e81087e3a1d4d57a,clean_calibration_01/task_0_state_1_seed_101/ACTION_TRACE.txt;clean_calibration_01/task_0_state_1_seed_131/ACTION_TRACE.txt
0,2,101;131,True,0,timeout,260,alphabet_soup_in_basket,True,True,160,0,tomato_sauce_in_basket,False,False,,0,alphabet_soup_lifted,True,False,76,tomato_sauce_lifted,False,False,,260,118,142,GOAL_A_ONLY_NO_VERIFIED_GOAL_B_PLACEMENT,82a13eea1dc06631eb3f43b4ca036e4a6508d70639f4795a714b86af895a2aa4,61cd66ba0ee334428e2f201d37547adf4af8e6e8995c8f608078a18063ad8f69,clean_calibration_01/task_0_state_2_seed_101/ACTION_TRACE.txt;clean_calibration_01/task_0_state_2_seed_131/ACTION_TRACE.txt
0,3,101;131,True,0,timeout,260,alphabet_soup_in_basket,True,True,167,0,tomato_sauce_in_basket,False,False,,0,alphabet_soup_lifted,True,False,87,tomato_sauce_lifted,True,True,248,260,137,123,GOAL_A_PRESERVED_GOAL_B_HELD_AT_TIMEOUT,4cbb7f0d05d91c60a9c8339ea7a1a736004b1227733546f056dd82e1f398f53d,5e21eccde79feb862ac68fa2483266bfb94f1223fb4b9d590de82148aef301ae,clean_calibration_01/task_0_state_3_seed_101/ACTION_TRACE.txt;clean_calibration_01/task_0_state_3_seed_131/ACTION_TRACE.txt
0,4,101;131,True,0,timeout,260,alphabet_soup_in_basket,False,False,,0,tomato_sauce_in_basket,False,False,,0,alphabet_soup_lifted,False,False,,tomato_sauce_lifted,False,False,,260,260,0,NO_VERIFIED_PLACEMENT_PROGRESS,6d407edccd00cf9e8cd43b521623e03e07e1a951a89b38570ceed140c7fd2da5,fdc4c5996d2e46afc466a34ccdff596b06bed1b5b513421ee4b5c9cb5d0edbc9,clean_calibration_01/task_0_state_4_seed_101/ACTION_TRACE.txt;clean_calibration_01/task_0_state_4_seed_131/ACTION_TRACE.txt
1,0,101;131,True,2,completed,250,cream_cheese_in_basket,True,True,132,0,butter_in_basket,True,True,250,0,cream_cheese_lifted,True,False,67,butter_lifted,True,True,208,250,130,120,SUCCESS_BOTH_GOALS,a6264bf00fd0326adfab7009fc3926c5d1410074dca7261c89b5e871ceed9295,7d81bd25d43f37ac258096083c0f460af9bd1504724ed19fbe88d16f41c7e00f,clean_calibration_01/task_1_state_0_seed_101/ACTION_TRACE.txt;clean_calibration_01/task_1_state_0_seed_131/ACTION_TRACE.txt
1,1,101;131,True,0,timeout,260,cream_cheese_in_basket,True,True,142,0,butter_in_basket,False,False,,0,cream_cheese_lifted,True,False,73,butter_lifted,True,True,225,260,114,146,GOAL_A_PRESERVED_GOAL_B_HELD_AT_TIMEOUT,29b5b7e5be09681e54af6f1c44dedf0e153208e5e53ddf54ac7b918b388ec61d,45842f226d6e3e2aa250237c4191ee01fc30db9a9cc176d53569514e8e555700,clean_calibration_01/task_1_state_1_seed_101/ACTION_TRACE.txt;clean_calibration_01/task_1_state_1_seed_131/ACTION_TRACE.txt
1,2,101;131,True,0,timeout,260,cream_cheese_in_basket,True,True,128,0,butter_in_basket,False,False,,0,cream_cheese_lifted,True,False,67,butter_lifted,False,False,,260,139,121,GOAL_A_ONLY_NO_VERIFIED_GOAL_B_PLACEMENT,f3605ac352e373eea71e81cb88f19466c0673ef9760594b425edc69816974f31,9e55426e8cec4721fed8a3adb0c359ca9903a534c032acd5e199a540a5680adc,clean_calibration_01/task_1_state_2_seed_101/ACTION_TRACE.txt;clean_calibration_01/task_1_state_2_seed_131/ACTION_TRACE.txt
1,3,101;131,True,0,timeout,260,cream_cheese_in_basket,True,True,170,0,butter_in_basket,False,False,,0,cream_cheese_lifted,True,False,85,butter_lifted,True,True,233,260,131,129,GOAL_A_PRESERVED_GOAL_B_HELD_AT_TIMEOUT,9193853978366fb374596ef049f03ae81585d4a64f3b5d10646c9eab0c91dedf,4022d9fd0e1dab135b5b093cf0d9aee466a0599a89a59daea28bb619d66c112b,clean_calibration_01/task_1_state_3_seed_101/ACTION_TRACE.txt;clean_calibration_01/task_1_state_3_seed_131/ACTION_TRACE.txt
1,4,101;131,True,2,completed,242,cream_cheese_in_basket,True,True,129,0,butter_in_basket,True,True,242,0,cream_cheese_lifted,True,False,68,butter_lifted,True,True,191,242,120,122,SUCCESS_BOTH_GOALS,f76fde6daefd8d6208d012ee04810c6dc3a6850f6a269e81e9834c5c64508f7b,2491f6423fe75887c4de051abca06246107dcaefd1eb2bece63625b47ff726e1,clean_calibration_01/task_1_state_4_seed_101/ACTION_TRACE.txt;clean_calibration_01/task_1_state_4_seed_131/ACTION_TRACE.txt
