gate,status,evidence,blocking_status
EXP1_INTERFACE_CONTRACT_FROZEN,PASS,exp1-trace-contract-v1 at 1237de979fad501b2e1c730111160959a246bf96,
LEARNED_VLA_BOUND,PASS,openvla_native; checkpoint SHA256 d36eaa2a334cd52f4a3a94558cf90d82584743ea772fabf76f9e4372e7076076,
PRODUCTION_REASONER_BOUND,PASS,openai_compatible_http; Qwen/Qwen3-32B@9216db5781bf21249d130ec9da846c4624c16137,
TASK_CATALOG_COMPLETENESS,PASS,794 derived gaps / 127 upstream units closed; 0 mandatory gaps,
AT_LEAST_EIGHT_ELIGIBLE_TASKS,BLOCKED,4 eligible: 1;4;6;7,BLOCKED_INSUFFICIENT_ELIGIBLE_TASKS
SEMANTIC_FEASIBILITY_PASS,PASS_FOR_ELIGIBLE_CANDIDATES,9 complete task certificates; all 4 eligible candidates pass,
PRODUCTION_PUBLIC_EVIDENCE_BOUND,BLOCKED,No production public evidence builder found,BLOCKED_PRODUCTION_PUBLIC_EVENT_EVIDENCE_BUILDER_UNAVAILABLE
PRODUCTION_VERIFIER_BOUND,BLOCKED,No non-privileged production public verifier found,BLOCKED_PRODUCTION_PUBLIC_VERIFIER_UNAVAILABLE
PRODUCTION_COMPILER_BOUND,PASS,compile_ledger; source SHA256 a8a56f303907eeedf7fc46506e22834ae4ecb7254823a4fbcd3979b39865b2cc,
PRODUCTION_CONTINUATION_BACKEND_BOUND,BLOCKED,representation-neutral wrapper exists; production public planner/verifier dependencies absent,BLOCKED_PRODUCTION_BACKEND_BINDING
PRODUCTION_NOMINAL_PLANNER_BOUND,BLOCKED,No production nominal physical planner found,BLOCKED_PRODUCTION_NOMINAL_PLANNER_UNAVAILABLE
PRODUCTION_RUNTIME_ASSEMBLY_BOUND,BLOCKED,No non-fixture RuntimeAssembly found,BLOCKED_PRODUCTION_RUNTIME_ASSEMBLY_UNAVAILABLE
INTERRUPTED_EPISODE_BUDGET_FROZEN,BLOCKED,No admissible calibration-only event-overhead cohort,BLOCKED_INTERRUPTED_BUDGET_EVIDENCE
PILOT_PREFLIGHT,PASS,tasks 1 and 4; 4 master sessions; 32 expected trajectories,
PILOT_INTEGRITY_PASS,BLOCKED,0 completed; 32 missing; 0 duplicate; 0 unexpected,BLOCKED_PRODUCTION_RUNTIME_ASSEMBLY_UNAVAILABLE
PRIMARY_COMPARATOR_FROZEN_ON_DEV,BLOCKED,requires completed production development/pilot evidence,BLOCKED_PRIMARY_COMPARATOR_NOT_FROZEN
EXP1_TASK_CATALOG_FROZEN,BLOCKED,content complete; formal freeze requires >=8 tasks and pilot,BLOCKED_TASK_CATALOG_FORMAL_FREEZE
CONFIG_PROMPT_SCHEMA_MODEL_HASHES_FROZEN,BLOCKED,trace schemas and production identities recorded; formal bundle not created,BLOCKED_FREEZE_REQUIRED
FORMAL_LAUNCH,NOT_LAUNCHED,formal provider calls 0; formal trajectories 0,BLOCKED_FORMAL_READINESS
