case_id,task_id,sequence_type,arm,passed,revision_path,adjacent_logical_hash_continuity,adjacent_typed_hash_continuity,final_state_sha256,final_directive,provider_calls,simulator_states_indexed,error
task0_replace_cancel,0,replace_then_cancel,cope,True,1>2>3,True,True,75b696f26743c95fe6d23155890401a7092f755ab32520823a321babb8cb18f6,HALT,0,0,
task0_replace_cancel,0,replace_then_cancel,neutral_patch,True,1>2>3,True,True,75b696f26743c95fe6d23155890401a7092f755ab32520823a321babb8cb18f6,HALT,0,0,
task0_replace_cancel,0,replace_then_cancel,fsr_pc,True,1>2>3,True,True,75b696f26743c95fe6d23155890401a7092f755ab32520823a321babb8cb18f6,HALT,0,0,
task0_replace_cancel,0,replace_then_cancel,full_replan,True,1>2>3,True,True,75b696f26743c95fe6d23155890401a7092f755ab32520823a321babb8cb18f6,HALT,0,0,
task0_replace_replace,0,replace_then_replace,cope,True,1>2>3,True,True,78fbab6cf9549f96833a270ea45824956380e73e1f1e0ef11e8352f19d066368,"place_in(butter_1, basket_1_contain_region)",0,0,
task0_replace_replace,0,replace_then_replace,neutral_patch,True,1>2>3,True,True,78fbab6cf9549f96833a270ea45824956380e73e1f1e0ef11e8352f19d066368,"place_in(butter_1, basket_1_contain_region)",0,0,
task0_replace_replace,0,replace_then_replace,fsr_pc,True,1>2>3,True,True,78fbab6cf9549f96833a270ea45824956380e73e1f1e0ef11e8352f19d066368,"place_in(butter_1, basket_1_contain_region)",0,0,
task0_replace_replace,0,replace_then_replace,full_replan,True,1>2>3,True,True,78fbab6cf9549f96833a270ea45824956380e73e1f1e0ef11e8352f19d066368,"place_in(butter_1, basket_1_contain_region)",0,0,
task7_replace_cancel,7,replace_then_cancel,cope,True,1>2>3,True,True,c140f620d7fad2a1d1756477accdfd6cb8ae486a78430070b7be54bcc0eb0b60,HALT,0,0,
task7_replace_cancel,7,replace_then_cancel,neutral_patch,True,1>2>3,True,True,c140f620d7fad2a1d1756477accdfd6cb8ae486a78430070b7be54bcc0eb0b60,HALT,0,0,
task7_replace_cancel,7,replace_then_cancel,fsr_pc,True,1>2>3,True,True,c140f620d7fad2a1d1756477accdfd6cb8ae486a78430070b7be54bcc0eb0b60,HALT,0,0,
task7_replace_cancel,7,replace_then_cancel,full_replan,True,1>2>3,True,True,c140f620d7fad2a1d1756477accdfd6cb8ae486a78430070b7be54bcc0eb0b60,HALT,0,0,
task7_replace_replace,7,replace_then_replace,cope,True,1>2>3,True,True,8478f0fce8af5d60d77c56cf2b8a8d55497f3f8f92e861a1857fedf33af5a922,"place_in(tomato_sauce_1, basket_1_contain_region)",0,0,
task7_replace_replace,7,replace_then_replace,neutral_patch,True,1>2>3,True,True,8478f0fce8af5d60d77c56cf2b8a8d55497f3f8f92e861a1857fedf33af5a922,"place_in(tomato_sauce_1, basket_1_contain_region)",0,0,
task7_replace_replace,7,replace_then_replace,fsr_pc,True,1>2>3,True,True,8478f0fce8af5d60d77c56cf2b8a8d55497f3f8f92e861a1857fedf33af5a922,"place_in(tomato_sauce_1, basket_1_contain_region)",0,0,
task7_replace_replace,7,replace_then_replace,full_replan,True,1>2>3,True,True,8478f0fce8af5d60d77c56cf2b8a8d55497f3f8f92e861a1857fedf33af5a922,"place_in(tomato_sauce_1, basket_1_contain_region)",0,0,
