gap_id,task_id,task_name,raw_gap,category,event_family,initial_state_id,root_cause,root_cause_scope,root_cause_unit_id,artifact_unit_ids,global_prerequisite_ids,automatic_fixability,required_evidence,blocking_gate,cascade_class,protocol_scope_flag,validator_source,source_preflight,source_preflight_sha256
GAP-0001,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,task 0: all ten event families require explicit support/feasibility,supported_event_families,,,No task support declaration; validator demands all ten per task,PER_TASK,T00:supported_event_families,T00:supported_event_families,G-SCOPE;G-MEASUREMENT,REQUIRES_SCOPE_DECISION_AND_EVIDENCE,Actual task-specific supported/unsupported family map; explicit review of all-ten validator conflict; never copy global library as support evidence,catalog_complete;task_eligibility;schedule_support,support_declaration_and_scope_check,PER_TASK_ALL_TEN_IMPLEMENTATION_CONFLICT,cope_benchmark/repeated_v2/task_catalog.py:253,research/repeated_v2_formal_readiness_20260906/CURRENT_PREFLIGHT.txt,78da922e4dbd1411f1aa91846b88fc5d621be4856faf76cd87ca864eeeb0348c
GAP-0002,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,task 0: calibration must use one checkpoint_sha256,calibration_records,,,Zero authentic v2 calibration records; identity-cardinality errors are empty-set cascades,PER_TASK,T00:calibration_records,T00:calibration_records,G-POLICY;G-RUNTIME,MEASURE_OR_RECOVER_AUTHENTIC_EVIDENCE,"10 clean learned/nonprivileged outcomes per task: states0..4 x seeds101,131; horizon260; terminal outcome including failures; shared policy/checkpoint/protocol; unique raw trace hashes",catalog_complete;clean_policy_calibration;task_eligibility,empty_collection_consistency_cascade,NO_SCOPE_CHANGE_ASSUMED,cope_benchmark/repeated_v2/task_calibration.py:175,research/repeated_v2_formal_readiness_20260906/CURRENT_PREFLIGHT.txt,78da922e4dbd1411f1aa91846b88fc5d621be4856faf76cd87ca864eeeb0348c
GAP-0003,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,task 0: calibration must use one policy_id,calibration_records,,,Zero authentic v2 calibration records; identity-cardinality errors are empty-set cascades,PER_TASK,T00:calibration_records,T00:calibration_records,G-POLICY;G-RUNTIME,MEASURE_OR_RECOVER_AUTHENTIC_EVIDENCE,"10 clean learned/nonprivileged outcomes per task: states0..4 x seeds101,131; horizon260; terminal outcome including failures; shared policy/checkpoint/protocol; unique raw trace hashes",catalog_complete;clean_policy_calibration;task_eligibility,empty_collection_consistency_cascade,NO_SCOPE_CHANGE_ASSUMED,cope_benchmark/repeated_v2/task_calibration.py:175,research/repeated_v2_formal_readiness_20260906/CURRENT_PREFLIGHT.txt,78da922e4dbd1411f1aa91846b88fc5d621be4856faf76cd87ca864eeeb0348c
GAP-0004,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,task 0: calibration must use one protocol_sha256,calibration_records,,,Zero authentic v2 calibration records; identity-cardinality errors are empty-set cascades,PER_TASK,T00:calibration_records,T00:calibration_records,G-POLICY;G-RUNTIME,MEASURE_OR_RECOVER_AUTHENTIC_EVIDENCE,"10 clean learned/nonprivileged outcomes per task: states0..4 x seeds101,131; horizon260; terminal outcome including failures; shared policy/checkpoint/protocol; unique raw trace hashes",catalog_complete;clean_policy_calibration;task_eligibility,empty_collection_consistency_cascade,NO_SCOPE_CHANGE_ASSUMED,cope_benchmark/repeated_v2/task_calibration.py:175,research/repeated_v2_formal_readiness_20260906/CURRENT_PREFLIGHT.txt,78da922e4dbd1411f1aa91846b88fc5d621be4856faf76cd87ca864eeeb0348c
GAP-0005,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,task 0: calibration must use one provenance_kind,calibration_records,,,Zero authentic v2 calibration records; identity-cardinality errors are empty-set cascades,PER_TASK,T00:calibration_records,T00:calibration_records,G-POLICY;G-RUNTIME,MEASURE_OR_RECOVER_AUTHENTIC_EVIDENCE,"10 clean learned/nonprivileged outcomes per task: states0..4 x seeds101,131; horizon260; terminal outcome including failures; shared policy/checkpoint/protocol; unique raw trace hashes",catalog_complete;clean_policy_calibration;task_eligibility,empty_collection_consistency_cascade,NO_SCOPE_CHANGE_ASSUMED,cope_benchmark/repeated_v2/task_calibration.py:175,research/repeated_v2_formal_readiness_20260906/CURRENT_PREFLIGHT.txt,78da922e4dbd1411f1aa91846b88fc5d621be4856faf76cd87ca864eeeb0348c
GAP-0006,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,task 0: fewer than two independently verified distinct milestone predicates,structural_and_milestones,,,No structural/milestone evidence dossier; BDDL predicates are candidates only,PER_TASK,T00:structural_and_milestones,T00:structural_and_milestones,G-MEASUREMENT,AUTHOR_AND_MEASURE_NO_AUTOFILL,"Four structural decisions with evidence_refs; >=2 distinct independently verifiable milestones, >=1 preservable; task5 needs a valid second milestone or documented ineligibility",catalog_complete;structural_task_eligibility;progress_preservation,structural_checks_share_task_dossier,NO_SCOPE_CHANGE_ASSUMED,cope_benchmark/repeated_v2/task_catalog.py:238,research/repeated_v2_formal_readiness_20260906/CURRENT_PREFLIGHT.txt,78da922e4dbd1411f1aa91846b88fc5d621be4856faf76cd87ca864eeeb0348c
GAP-0007,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,"task 0: incomplete calibration grid: expected 10 cells, missing [(0, 101), (0, 131), (1, 101), (1, 131), (2, 101), (2, 131), (3, 101), (3, 131), (4, 101), (4, 131)], unexpected []",calibration_records,,,Zero authentic v2 calibration records; identity-cardinality errors are empty-set cascades,PER_TASK,T00:calibration_records,T00:calibration_records,G-POLICY;G-RUNTIME,MEASURE_OR_RECOVER_AUTHENTIC_EVIDENCE,"10 clean learned/nonprivileged outcomes per task: states0..4 x seeds101,131; horizon260; terminal outcome including failures; shared policy/checkpoint/protocol; unique raw trace hashes",catalog_complete;clean_policy_calibration;task_eligibility,primary_absent_grid,NO_SCOPE_CHANGE_ASSUMED,cope_benchmark/repeated_v2/task_calibration.py:173,research/repeated_v2_formal_readiness_20260906/CURRENT_PREFLIGHT.txt,78da922e4dbd1411f1aa91846b88fc5d621be4856faf76cd87ca864eeeb0348c
GAP-0008,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,"task 0: invalid semantic trigger GOAL_RECEPTACLE_OR_GROUNDING_CHANGED: BLOCKED_TASK_CATALOG_GAP: missing trigger fields ['earliest_policy_step', 'latest_policy_step', 'min_steps_since_previous_event', 'physical_feasibility_guard', 'predicate']",semantic_triggers,GOAL_RECEPTACLE_OR_GROUNDING_CHANGED,,Empty semantic_triggers collection,PER_TASK,T00:semantic_triggers,T00:semantic_triggers:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED,G-MEASUREMENT;G-SCOPE,AUTHOR_AND_VERIFY,Task-grounded predicate and feasibility guard; earliest/latest steps and spacing>=10; actual monitor/observation provenance,catalog_complete;semantic_schedule;fresh_event_observation,primary_absent_trigger,PER_TASK_ALL_TEN_IMPLEMENTATION_CONFLICT,cope_benchmark/repeated_v2/task_catalog.py:259,research/repeated_v2_formal_readiness_20260906/CURRENT_PREFLIGHT.txt,78da922e4dbd1411f1aa91846b88fc5d621be4856faf76cd87ca864eeeb0348c
GAP-0009,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,"task 0: invalid semantic trigger TARGET_OBJECT_DISPLACED: BLOCKED_TASK_CATALOG_GAP: missing trigger fields ['earliest_policy_step', 'latest_policy_step', 'min_steps_since_previous_event', 'physical_feasibility_guard', 'predicate']",semantic_triggers,TARGET_OBJECT_DISPLACED,,Empty semantic_triggers collection,PER_TASK,T00:semantic_triggers,T00:semantic_triggers:TARGET_OBJECT_DISPLACED,G-MEASUREMENT;G-SCOPE,AUTHOR_AND_VERIFY,Task-grounded predicate and feasibility guard; earliest/latest steps and spacing>=10; actual monitor/observation provenance,catalog_complete;semantic_schedule;fresh_event_observation,primary_absent_trigger,PER_TASK_ALL_TEN_IMPLEMENTATION_CONFLICT,cope_benchmark/repeated_v2/task_catalog.py:259,research/repeated_v2_formal_readiness_20260906/CURRENT_PREFLIGHT.txt,78da922e4dbd1411f1aa91846b88fc5d621be4856faf76cd87ca864eeeb0348c
GAP-0010,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,"task 0: invalid semantic trigger TEMPORARY_NO_GO_APPEARS: BLOCKED_TASK_CATALOG_GAP: missing trigger fields ['earliest_policy_step', 'latest_policy_step', 'min_steps_since_previous_event', 'physical_feasibility_guard', 'predicate']",semantic_triggers,TEMPORARY_NO_GO_APPEARS,,Empty semantic_triggers collection,PER_TASK,T00:semantic_triggers,T00:semantic_triggers:TEMPORARY_NO_GO_APPEARS,G-MEASUREMENT;G-SCOPE,AUTHOR_AND_VERIFY,Task-grounded predicate and feasibility guard; earliest/latest steps and spacing>=10; actual monitor/observation provenance,catalog_complete;semantic_schedule;fresh_event_observation,primary_absent_trigger,PER_TASK_ALL_TEN_IMPLEMENTATION_CONFLICT,cope_benchmark/repeated_v2/task_catalog.py:259,research/repeated_v2_formal_readiness_20260906/CURRENT_PREFLIGHT.txt,78da922e4dbd1411f1aa91846b88fc5d621be4856faf76cd87ca864eeeb0348c
