task_suite,task_id,task_name,language,state_id,state_sha256,dtype,shape,finite
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,0,747b653b2ca1feeae8f3bd994880ce743730993ea5ce4bd003623e877f26b3bd,float64,123,true
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,1,cf85ed132ae09bfad8798a3126b14879071228e0e2e7bd17c3e9d20e519cdb5a,float64,123,true
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,2,be0c23f82748baf99eea1ecc4ff28eb82163945bc0bfffb509eeef0decced138,float64,123,true
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,3,6929d3090ef9a3431c21b84539c99c3b481b09042bc6f3cf07ea0cc44fb65a70,float64,123,true
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,4,376f48b75f50d4e1eff9e3f49f307de0bcfc44d2a081f5cb9c124cf985330c41,float64,123,true
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,5,75c57eac81a43b69380c91c42dbeab8fdf193145c3ca3d105f2ce95bb0d29a79,float64,123,true
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,6,dcb524a280152c4b53390f6427c7bc70e6ead7595eeba6bf76e80c31a43fcf11,float64,123,true
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,7,83d046a490f079a3b89c6fb4f09bdc88433d3b83ea965fa01f93fcffb93c8041,float64,123,true
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,8,145a55c84823ff115a6f31ca6bbe681c99cc1dc6dd3bcced415465edd8e6ce90,float64,123,true
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,9,3d09fb7b6965328e11bd7abfdb58333428e00484c192bf88338d0f3d69ac5406,float64,123,true
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,10,f3f14a7829a2265990d40f5a6212c297fb802727b98a8e1a66fcb16c757f5143,float64,123,true
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,11,8498d72842ad1b202a7909f4bf280eb10043dd4f5586fe0c34b93dc6c599ce87,float64,123,true
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,12,55d40072429fe5faa1a13b6c94d2a0c044a5c280b0374c43ee9fd0db799364c7,float64,123,true
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,13,a5772da869875502626dac37ef4f7ecf06ed2ebd12624447bfe8436d42f2ce49,float64,123,true
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,14,3e0acc5cb5b991a14bf29326f068b47fa444be1e51e65debcf25f80db7aaa3d6,float64,123,true
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,15,a6cd41d3a9cf563d539bb4bc3d01b60ba964162635ec6c99b5fd23bdc981d95f,float64,123,true
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,16,5d4fe04c48519affced9c5486a50710cc496f6f4df1f7c4ba0e4db594fba8601,float64,123,true
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,17,9db3fd136836ad8fb6293e03825c32b527869a18e69791190fc5efc7268dfc7e,float64,123,true
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,18,bbbc83e66162ac23c060a6cdafc5bbd90ed62856ff9de8da4b70607d091e1e34,float64,123,true
