case_id,family,state_size,rule_clause_count,arm_cells,fairness_pass,normalized_request_sha256,call_order
SCE-S04-01,scale_04_single_root_expiry,4,1,4,True,b9b8ee4bf4e2bdad1731df9b3dec61102883ed412abe8d7f01d866f7c2b47e5b,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S04-02,scale_04_expiry_with_running_action,4,2,4,True,997331ddd25542e5b9a411337c463fd19a3bd32c3406a42f7f0098e4eeaef8dd,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S04-03,scale_04_conjunctive_dependency_block,4,3,4,True,5b8f7cd23399187fea40f77eb07d7e5cc11996a84c1cffa258219a6678e7cd4e,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S04-04,scale_04_disjunctive_dependency_survival,4,2,4,True,36b2082449c0de39e4eba18cd5556ced5d24d36188c5810e467b453af2d79528,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S04-05,scale_04_priority_raise_without_preemption,4,1,4,True,bbe4721af9645505be8a9e7d3955f4a271871da0564333dedbfd494058ff5d34,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S04-06,scale_04_priority_raise_with_preemption,4,3,4,True,8716051a4a55f3fca86552ff9b6484fa80df57e36107209e0d288fc048b9e02d,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S04-07,scale_04_replacement_insert_only,4,2,4,True,c0884ff9957759bb5513b39aa4472afc9e610dcd4c12d3350024aa0f86490e6d,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S04-08,scale_04_replacement_retarget_action,4,3,4,True,8894e37e08503345148e2eeb8bb0ba5c5556ff58044c82a88df87c27d1c7e1cb,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S04-09,scale_04_replacement_retarget_progress,4,3,4,True,d7cde269aa1cd28b1b70fec07b47339f90716788bf167e0f002c65f950c4779d,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S04-10,scale_04_temporary_override_insert,4,3,4,True,b08e75566a0e65c5fcbbe0b470b4e1abf13c6e57bf09aa06856ecac27a28fe97,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S04-11,scale_04_temporary_override_with_restore,4,4,4,True,6f50ac9f81200cd3a12b08fb4b55a42ba93ac4d19d2b6a2cf6bccd5380cb2775,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
