case_id,family,disposition,arm,call_order_position,provider_status,provider_error,parser_valid,semantic_correct,unsafe_mutation_attempt,input_hash,common_input_bytes_sha256,normalized_request_sha256,fairness_pass,response_sha256,prompt_tokens,completion_tokens,proposal_bytes,latency_seconds,retry_count,parse_or_validation_error,model,reasoning_effort,temperature,seed,max_completion_tokens,timeout_seconds,retry_budget,repair_budget,fallback_used,oracle_substitution
X16-C01,cancellation,APPLY,cope,1,ok,,True,False,True,8ed5f3e23d2cf787dceeb69b7e33f259f8ee3a13678326209c65a22c60b75e28,92888bb81dafda8689652e919a97d9c17f8c27fbaa76f9da8cddbaee129e7771,848fa17eca3e33f9ce396751baafe91314050f9aba2e56ca3229c817b36f58b8,True,63c2e76743fcd6ce7d33016d56e37274d82a09a0491620269b87e671ed4e28a8,851,248,486,2.216844,0,KeyError:'op',qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-C01,cancellation,APPLY,fsr_pc,2,ok,,True,False,True,8ed5f3e23d2cf787dceeb69b7e33f259f8ee3a13678326209c65a22c60b75e28,92888bb81dafda8689652e919a97d9c17f8c27fbaa76f9da8cddbaee129e7771,848fa17eca3e33f9ce396751baafe91314050f9aba2e56ca3229c817b36f58b8,True,d00479f05a63ff65bc11fb703615134d4571de52748694dcaa351eb044023201,801,526,1021,3.239098,0,ValueError:candidate differs from canonical post-state,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-C01,cancellation,APPLY,compact_tx,3,ok,,True,False,True,8ed5f3e23d2cf787dceeb69b7e33f259f8ee3a13678326209c65a22c60b75e28,92888bb81dafda8689652e919a97d9c17f8c27fbaa76f9da8cddbaee129e7771,848fa17eca3e33f9ce396751baafe91314050f9aba2e56ca3229c817b36f58b8,True,b0b07bf050f8b8bf4ea2fc77bb1461d870906280d3ac56719b9a52e1d7d0551c,881,167,649,1.603746,0,ValueError:compact path invalid: /actions/+,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-C02,cancellation,APPLY,cope,1,ok,,True,False,True,20d8451aa60064b2211bcfdfe87c071ff3e80db3c4dc49c5b0f2d55bcb22b931,08da62aaf4ea261f695149900b5c83cda4155938ba7a35776c55de3209336405,88948abd813648e2702057b4adf78eb5d0bd5326e64ea89783c27faf349e07c0,True,ca25125fecb03acd8b0af150efbc64842f83b68d7624c3e474de6bf1af231f99,845,203,392,1.366927,0,KeyError:'op',qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-C02,cancellation,APPLY,compact_tx,2,ok,,True,False,True,20d8451aa60064b2211bcfdfe87c071ff3e80db3c4dc49c5b0f2d55bcb22b931,08da62aaf4ea261f695149900b5c83cda4155938ba7a35776c55de3209336405,88948abd813648e2702057b4adf78eb5d0bd5326e64ea89783c27faf349e07c0,True,24220144a6caf2da3f72d38dc4e5b6d326c177498a24aade35f138a4064bb649,875,109,386,1.154023,0,ValueError:compact path invalid: /processed_events/+,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-C02,cancellation,APPLY,fsr_pc,3,ok,,True,False,True,20d8451aa60064b2211bcfdfe87c071ff3e80db3c4dc49c5b0f2d55bcb22b931,08da62aaf4ea261f695149900b5c83cda4155938ba7a35776c55de3209336405,88948abd813648e2702057b4adf78eb5d0bd5326e64ea89783c27faf349e07c0,True,58934fe1ac4599fd41ebcb556fe406bc60c74d27199f65408432a5ec9d2a6b9c,795,487,1000,3.265939,0,ValueError:candidate differs from canonical post-state,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-O01,override,APPLY,compact_tx,1,ok,,True,False,True,a264072b2d609ca0da0b6bbe380b491a94e5f7c12cee8e97762e0110d6b01ade,529e2a25c2de9e9ecced26ba4c9113d3de021ef9da8ec1ccb5b4566f9f730470,ff4e9b2beef986379eb3836fa8931f416226ac4ab7be75b114f08155ef688add,True,0b03f21d539b7cc3d67bb6b36ce410b00c9321b945081830a792dd2c0aa77496,855,131,491,1.265193,0,ValueError:record field write op mismatch,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-O01,override,APPLY,fsr_pc,2,ok,,True,False,True,a264072b2d609ca0da0b6bbe380b491a94e5f7c12cee8e97762e0110d6b01ade,529e2a25c2de9e9ecced26ba4c9113d3de021ef9da8ec1ccb5b4566f9f730470,ff4e9b2beef986379eb3836fa8931f416226ac4ab7be75b114f08155ef688add,True,9fe9584b06ba558033830a34a1a6fafd432ef0cecca91db6fc2f6764e45de7ef,775,442,846,2.441583,0,ValueError:candidate differs from canonical post-state,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-O01,override,APPLY,cope,3,ok,,True,False,True,a264072b2d609ca0da0b6bbe380b491a94e5f7c12cee8e97762e0110d6b01ade,529e2a25c2de9e9ecced26ba4c9113d3de021ef9da8ec1ccb5b4566f9f730470,ff4e9b2beef986379eb3836fa8931f416226ac4ab7be75b114f08155ef688add,True,747f9e03d57a483050232b6cc4d7f75ec14b4488c4302571ded7e801e4d1162d,825,302,609,1.813300,0,KeyError:'op',qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-O02,override,APPLY,cope,1,ok,,True,False,True,6f330aa4cc45a1cbeecca39a4bedb50d3e5a5738e13335b5d5a7da3a4caa6c6a,2fe114171c3a0f54f1751568c90aed203b3f46b67b0329fe9a7bbd4f6ab19ba5,d0d33378b0302176d2e36fea904f091af2281595b4723bb2bb81a4cf576697ed,True,3f632bc94e3d87f5c039c085b41a8bba2f45c7af01bbae33a48c1054ac62295e,803,302,620,1.869677,0,KeyError:'op',qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-O02,override,APPLY,fsr_pc,2,ok,,True,False,True,6f330aa4cc45a1cbeecca39a4bedb50d3e5a5738e13335b5d5a7da3a4caa6c6a,2fe114171c3a0f54f1751568c90aed203b3f46b67b0329fe9a7bbd4f6ab19ba5,d0d33378b0302176d2e36fea904f091af2281595b4723bb2bb81a4cf576697ed,True,ab8d98d2f8939f13f56d368942c82424152cbca9482447c524db9f2420e50bf9,753,476,972,2.656630,0,ValueError:candidate differs from canonical post-state,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-O02,override,APPLY,compact_tx,3,ok,,True,False,True,6f330aa4cc45a1cbeecca39a4bedb50d3e5a5738e13335b5d5a7da3a4caa6c6a,2fe114171c3a0f54f1751568c90aed203b3f46b67b0329fe9a7bbd4f6ab19ba5,d0d33378b0302176d2e36fea904f091af2281595b4723bb2bb81a4cf576697ed,True,2100d66210cdd1290f85b0de0c1a92e2ed8664191f775bb779948133e30c0103,833,271,685,3.204335,0,ValueError:candidate differs from canonical post-state,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-R01,release,APPLY,compact_tx,1,ok,,True,False,True,ea2a9312db06be9f17c6f44ff107233167109ec9750b544e0d4d9bbef627a76d,cc06ed0b30170bb009d310478f03ac25f818f4fa4cd143be652c8ce5d4f8c2e7,ece8dbf163ffe11ba1d77494430d3dd448528601494cf98f19352430986ad1e4,True,cc8a29beb74343f5c8242a4899c82fbda5e9ac3e0b68e085c349b853a7136290,839,177,660,1.989059,0,ValueError:compact path invalid: /restorations/0/rank,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-R01,release,APPLY,cope,2,ok,,True,False,True,ea2a9312db06be9f17c6f44ff107233167109ec9750b544e0d4d9bbef627a76d,cc06ed0b30170bb009d310478f03ac25f818f4fa4cd143be652c8ce5d4f8c2e7,ece8dbf163ffe11ba1d77494430d3dd448528601494cf98f19352430986ad1e4,True,524017e93e9a7fccf3dd434329a42f363ab99874ba51bec45fc7786bd11d1902,809,246,479,2.155388,0,KeyError:'op',qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-R01,release,APPLY,fsr_pc,3,ok,,True,False,True,ea2a9312db06be9f17c6f44ff107233167109ec9750b544e0d4d9bbef627a76d,cc06ed0b30170bb009d310478f03ac25f818f4fa4cd143be652c8ce5d4f8c2e7,ece8dbf163ffe11ba1d77494430d3dd448528601494cf98f19352430986ad1e4,True,e0df856ecfe310a2b2fceed989849faf26937e07a2f5344b8195f2d1d678a5a9,759,403,813,2.201092,0,ValueError:candidate differs from canonical post-state,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-R02,release,APPLY,fsr_pc,1,ok,,True,False,False,4e56daa365487c58e24790badd8084f1e177507aa602c7f2a3442f1b0a06a6a3,a27af050dd16ebc59ae41e5019e5b6efc2e1fe2561ae32ee48d9749fd15452f3,fd0e45930480cbdbe000b3c252faeaed448e4ec0c67f34d2f7a55e15f962404c,True,2f29946730066bac7a7b9e9e1ba82d7e1e8b86d0b233388e75f062383553f1a7,840,544,1136,3.476579,0,ValueError:oracle disposition mismatch,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
