case_id,base_case_id,variant_index,phase,arm,input_hash,common_input_bytes,common_hash_equal,normalized_request_equal,oracle_state_equal,validator_pass,reasoning_effort,call_order_position,candidate_sha256
fresh_no_op_v1,no_op,1,smoke,cope,91ec5df143c93453bc876ef0e8caaff674e16a750fd7283dc2c471e151716ff0,3873,True,True,True,True,none,0,e231af7f2fb0b9dff77813b3365fff94c60ce73ec4fa5d60562afe6c5f0cc25f
fresh_no_op_v1,no_op,1,smoke,compact_tx,91ec5df143c93453bc876ef0e8caaff674e16a750fd7283dc2c471e151716ff0,3873,True,True,True,True,none,1,e231af7f2fb0b9dff77813b3365fff94c60ce73ec4fa5d60562afe6c5f0cc25f
fresh_no_op_v1,no_op,1,smoke,fsr_pc,91ec5df143c93453bc876ef0e8caaff674e16a750fd7283dc2c471e151716ff0,3873,True,True,True,True,none,2,e231af7f2fb0b9dff77813b3365fff94c60ce73ec4fa5d60562afe6c5f0cc25f
fresh_no_op_v2,no_op,2,expansion,cope,20397f8f0e4183d2fdff48d2b8c8aa6f365c2e0de17b5b9e5e9526c196e2aa1f,4621,True,True,True,True,none,2,124c0090de76a9b3b191bd464df2cdce74886b96a9553dcb7cac6939a64cc34e
fresh_no_op_v2,no_op,2,expansion,compact_tx,20397f8f0e4183d2fdff48d2b8c8aa6f365c2e0de17b5b9e5e9526c196e2aa1f,4621,True,True,True,True,none,0,124c0090de76a9b3b191bd464df2cdce74886b96a9553dcb7cac6939a64cc34e
fresh_no_op_v2,no_op,2,expansion,fsr_pc,20397f8f0e4183d2fdff48d2b8c8aa6f365c2e0de17b5b9e5e9526c196e2aa1f,4621,True,True,True,True,none,1,124c0090de76a9b3b191bd464df2cdce74886b96a9553dcb7cac6939a64cc34e
fresh_no_op_v3,no_op,3,expansion,cope,ad40cbc05b2f51673dcd710c42376187ef4e5bdc856edc4c23b3dc4a090a3195,5396,True,True,True,True,none,1,cb469d76685c3b227a992d2b1d769183cae6465960ed09eea9017236424637c6
fresh_no_op_v3,no_op,3,expansion,compact_tx,ad40cbc05b2f51673dcd710c42376187ef4e5bdc856edc4c23b3dc4a090a3195,5396,True,True,True,True,none,2,cb469d76685c3b227a992d2b1d769183cae6465960ed09eea9017236424637c6
fresh_no_op_v3,no_op,3,expansion,fsr_pc,ad40cbc05b2f51673dcd710c42376187ef4e5bdc856edc4c23b3dc4a090a3195,5396,True,True,True,True,none,0,cb469d76685c3b227a992d2b1d769183cae6465960ed09eea9017236424637c6
fresh_no_op_v4,no_op,4,expansion,cope,09dbf5b50033454044adb322763613774c5e8a0cd05f335622a9419b4edf47d6,6144,True,True,True,True,none,0,979f6a413da0df655295796588528cc962782957627b93319e9b3c714ae5b230
fresh_no_op_v4,no_op,4,expansion,compact_tx,09dbf5b50033454044adb322763613774c5e8a0cd05f335622a9419b4edf47d6,6144,True,True,True,True,none,1,979f6a413da0df655295796588528cc962782957627b93319e9b3c714ae5b230
fresh_no_op_v4,no_op,4,expansion,fsr_pc,09dbf5b50033454044adb322763613774c5e8a0cd05f335622a9419b4edf47d6,6144,True,True,True,True,none,2,979f6a413da0df655295796588528cc962782957627b93319e9b3c714ae5b230
fresh_no_op_v5,no_op,5,expansion,cope,a92c54633d2f18ff6f04c7fb03416ec71ebdfbb65e98e4351fc3d38c73930306,6892,True,True,True,True,none,2,a551415aa8e4ce35006cf50cda14c420759935e9a4553bcbdf5e2ba63d35c5ca
fresh_no_op_v5,no_op,5,expansion,compact_tx,a92c54633d2f18ff6f04c7fb03416ec71ebdfbb65e98e4351fc3d38c73930306,6892,True,True,True,True,none,0,a551415aa8e4ce35006cf50cda14c420759935e9a4553bcbdf5e2ba63d35c5ca
fresh_no_op_v5,no_op,5,expansion,fsr_pc,a92c54633d2f18ff6f04c7fb03416ec71ebdfbb65e98e4351fc3d38c73930306,6892,True,True,True,True,none,1,a551415aa8e4ce35006cf50cda14c420759935e9a4553bcbdf5e2ba63d35c5ca
fresh_replace_pending_target_v1,replace_pending_target,1,smoke,cope,6d93304d8b05a005a55749b90d5b928e077a52f5aa34fdee3af96abe1dc13008,4241,True,True,True,True,none,1,08f5849eb7ff14dbdc89800761af56c7fd2171a90565ac24d255e5478926b8dd
fresh_replace_pending_target_v1,replace_pending_target,1,smoke,compact_tx,6d93304d8b05a005a55749b90d5b928e077a52f5aa34fdee3af96abe1dc13008,4241,True,True,True,True,none,2,08f5849eb7ff14dbdc89800761af56c7fd2171a90565ac24d255e5478926b8dd
fresh_replace_pending_target_v1,replace_pending_target,1,smoke,fsr_pc,6d93304d8b05a005a55749b90d5b928e077a52f5aa34fdee3af96abe1dc13008,4241,True,True,True,True,none,0,08f5849eb7ff14dbdc89800761af56c7fd2171a90565ac24d255e5478926b8dd
fresh_replace_pending_target_v2,replace_pending_target,2,expansion,cope,c1f9b0bf506ece85391be09771442e4aeccdf7cde9372b6ee90a8108c7e18599,5125,True,True,True,True,none,0,5b06de5d76a962c54e5329372451fa9a3af3662f120bb8035a328fde2d92b21f
fresh_replace_pending_target_v2,replace_pending_target,2,expansion,compact_tx,c1f9b0bf506ece85391be09771442e4aeccdf7cde9372b6ee90a8108c7e18599,5125,True,True,True,True,none,1,5b06de5d76a962c54e5329372451fa9a3af3662f120bb8035a328fde2d92b21f
fresh_replace_pending_target_v2,replace_pending_target,2,expansion,fsr_pc,c1f9b0bf506ece85391be09771442e4aeccdf7cde9372b6ee90a8108c7e18599,5125,True,True,True,True,none,2,5b06de5d76a962c54e5329372451fa9a3af3662f120bb8035a328fde2d92b21f
fresh_replace_pending_target_v3,replace_pending_target,3,expansion,cope,bd3bae0dac05d24ae1e9522a1516369b5ad5f39edf942cc6d346c8dcd046492c,6053,True,True,True,True,none,2,33ebda3fb4b5da02ce1f51cd580283c75d0d208d5a8b29a4d9ad96cfeb8aafa4
fresh_replace_pending_target_v3,replace_pending_target,3,expansion,compact_tx,bd3bae0dac05d24ae1e9522a1516369b5ad5f39edf942cc6d346c8dcd046492c,6053,True,True,True,True,none,0,33ebda3fb4b5da02ce1f51cd580283c75d0d208d5a8b29a4d9ad96cfeb8aafa4
fresh_replace_pending_target_v3,replace_pending_target,3,expansion,fsr_pc,bd3bae0dac05d24ae1e9522a1516369b5ad5f39edf942cc6d346c8dcd046492c,6053,True,True,True,True,none,1,33ebda3fb4b5da02ce1f51cd580283c75d0d208d5a8b29a4d9ad96cfeb8aafa4
fresh_replace_pending_target_v4,replace_pending_target,4,expansion,cope,3c0977f1ab70a6528b424f426fbea1ba8764eeb0fe4c0e359da399eb3c235bc4,6937,True,True,True,True,none,1,3e3f6737401e5d9324d8ec47119ba4ff2842e631c6c2c3cc4414822429fad427
fresh_replace_pending_target_v4,replace_pending_target,4,expansion,compact_tx,3c0977f1ab70a6528b424f426fbea1ba8764eeb0fe4c0e359da399eb3c235bc4,6937,True,True,True,True,none,2,3e3f6737401e5d9324d8ec47119ba4ff2842e631c6c2c3cc4414822429fad427
fresh_replace_pending_target_v4,replace_pending_target,4,expansion,fsr_pc,3c0977f1ab70a6528b424f426fbea1ba8764eeb0fe4c0e359da399eb3c235bc4,6937,True,True,True,True,none,0,3e3f6737401e5d9324d8ec47119ba4ff2842e631c6c2c3cc4414822429fad427
fresh_replace_pending_target_v5,replace_pending_target,5,expansion,cope,6d328be1731f538125adc12d201c82af2c2f49d0e0360d24156946d487d98011,7821,True,True,True,True,none,0,35d5a93d3aa8f4b2ff779e65e4a7fccee558b9cb216fcb9f6c06bc592cf757fa
fresh_replace_pending_target_v5,replace_pending_target,5,expansion,compact_tx,6d328be1731f538125adc12d201c82af2c2f49d0e0360d24156946d487d98011,7821,True,True,True,True,none,1,35d5a93d3aa8f4b2ff779e65e4a7fccee558b9cb216fcb9f6c06bc592cf757fa
fresh_replace_pending_target_v5,replace_pending_target,5,expansion,fsr_pc,6d328be1731f538125adc12d201c82af2c2f49d0e0360d24156946d487d98011,7821,True,True,True,True,none,2,35d5a93d3aa8f4b2ff779e65e4a7fccee558b9cb216fcb9f6c06bc592cf757fa
fresh_wrong_source_revoke_v1,wrong_source_revoke,1,smoke,cope,729667f2da886985ab8252f5c4cef13452611e23dd106d072d9313bfbfdb6ddb,4086,True,True,True,True,none,2,2b52f3c2ea1ddd340a06e099c727166cade95f454e1fecdd62aa0d8975a8e833
fresh_wrong_source_revoke_v1,wrong_source_revoke,1,smoke,compact_tx,729667f2da886985ab8252f5c4cef13452611e23dd106d072d9313bfbfdb6ddb,4086,True,True,True,True,none,0,2b52f3c2ea1ddd340a06e099c727166cade95f454e1fecdd62aa0d8975a8e833
fresh_wrong_source_revoke_v1,wrong_source_revoke,1,smoke,fsr_pc,729667f2da886985ab8252f5c4cef13452611e23dd106d072d9313bfbfdb6ddb,4086,True,True,True,True,none,1,2b52f3c2ea1ddd340a06e099c727166cade95f454e1fecdd62aa0d8975a8e833
fresh_wrong_source_revoke_v2,wrong_source_revoke,2,expansion,cope,0dfd46c3200e106a569caeb9bae853bd5d51c92896ac8ae1e4bf3d3c118d1e08,4946,True,True,True,True,none,1,96e5c97770fe2340b75da0ff36906957d9b8e1d29edff2c16ecdee535e0481bf
fresh_wrong_source_revoke_v2,wrong_source_revoke,2,expansion,compact_tx,0dfd46c3200e106a569caeb9bae853bd5d51c92896ac8ae1e4bf3d3c118d1e08,4946,True,True,True,True,none,2,96e5c97770fe2340b75da0ff36906957d9b8e1d29edff2c16ecdee535e0481bf
fresh_wrong_source_revoke_v2,wrong_source_revoke,2,expansion,fsr_pc,0dfd46c3200e106a569caeb9bae853bd5d51c92896ac8ae1e4bf3d3c118d1e08,4946,True,True,True,True,none,0,96e5c97770fe2340b75da0ff36906957d9b8e1d29edff2c16ecdee535e0481bf
fresh_wrong_source_revoke_v3,wrong_source_revoke,3,expansion,cope,d1ed2d17fee01a018c3c945514d466665461c4ba6ef53b06b16fe03aad635113,5847,True,True,True,True,none,0,dbcab98a9a515f10fa81b814d710272f7165bc777f2a152b58e4399feb058077
fresh_wrong_source_revoke_v3,wrong_source_revoke,3,expansion,compact_tx,d1ed2d17fee01a018c3c945514d466665461c4ba6ef53b06b16fe03aad635113,5847,True,True,True,True,none,1,dbcab98a9a515f10fa81b814d710272f7165bc777f2a152b58e4399feb058077
fresh_wrong_source_revoke_v3,wrong_source_revoke,3,expansion,fsr_pc,d1ed2d17fee01a018c3c945514d466665461c4ba6ef53b06b16fe03aad635113,5847,True,True,True,True,none,2,dbcab98a9a515f10fa81b814d710272f7165bc777f2a152b58e4399feb058077
fresh_wrong_source_revoke_v4,wrong_source_revoke,4,expansion,cope,248f326e06d07ffc43ac39c7f21230128eb5280454c65becf2fda3cefecba826,6707,True,True,True,True,none,2,ad8ef961c58528e68948b7b85fc19b1a1004727fe739cb97efcbeb2d8fea4522
