gap_id,task_id,task_name,category,root_cause,root_cause_unit_id,automatic_fixability,required_evidence,blocking_gate,cascade_class
V21-T00-01,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,structural_and_milestones,safe_changeable_grounding,T00:safe_changeable_grounding,REQUIRES_NEW_MEASURED_EVIDENCE,additional source-grounded and observed structural witness,task_eligibility,one_root_cause_many_derived_cells
V21-T00-02,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,schedule_coverage,UNSUPPORTED_REGISTERED_EIGHT_EVENT_TEMPLATE,T00:UNSUPPORTED_REGISTERED_EIGHT_EVENT_TEMPLATE,REQUIRES_NEW_MEASURED_EVIDENCE,"task-local support for both temporary lifecycles, preference, reissue, one grounding event, and one retirement event",task_eligibility;manifest_schedule,one_root_cause_many_derived_cells
V21-T02-01,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,schedule_coverage,UNSUPPORTED_REGISTERED_EIGHT_EVENT_TEMPLATE,T02:UNSUPPORTED_REGISTERED_EIGHT_EVENT_TEMPLATE,REQUIRES_NEW_MEASURED_EVIDENCE,"task-local support for both temporary lifecycles, preference, reissue, one grounding event, and one retirement event",task_eligibility;manifest_schedule,one_root_cause_many_derived_cells
V21-T03-01,3,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,calibration,CLEAN_SUCCESS_RATE_OUTSIDE_FROZEN_INTERVAL,T03:CLEAN_SUCCESS_RATE_OUTSIDE_FROZEN_INTERVAL,REQUIRES_NEW_MEASURED_EVIDENCE,"measured clean success within the unchanged inclusive [0.40,0.95] interval",task_eligibility,one_root_cause_many_derived_cells
V21-T03-02,3,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,schedule_coverage,UNSUPPORTED_REGISTERED_EIGHT_EVENT_TEMPLATE,T03:UNSUPPORTED_REGISTERED_EIGHT_EVENT_TEMPLATE,REQUIRES_NEW_MEASURED_EVIDENCE,"task-local support for both temporary lifecycles, preference, reissue, one grounding event, and one retirement event",task_eligibility;manifest_schedule,one_root_cause_many_derived_cells
V21-T05-01,5,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,structural_and_milestones,two_independently_verifiable_milestones,T05:two_independently_verifiable_milestones,REQUIRES_NEW_MEASURED_EVIDENCE,additional source-grounded and observed structural witness,task_eligibility,one_root_cause_many_derived_cells
V21-T05-02,5,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,structural_and_milestones,completed_milestone_preservable,T05:completed_milestone_preservable,REQUIRES_NEW_MEASURED_EVIDENCE,additional source-grounded and observed structural witness,task_eligibility,one_root_cause_many_derived_cells
V21-T05-03,5,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,schedule_coverage,UNSUPPORTED_REGISTERED_EIGHT_EVENT_TEMPLATE,T05:UNSUPPORTED_REGISTERED_EIGHT_EVENT_TEMPLATE,REQUIRES_NEW_MEASURED_EVIDENCE,"task-local support for both temporary lifecycles, preference, reissue, one grounding event, and one retirement event",task_eligibility;manifest_schedule,one_root_cause_many_derived_cells
V21-T08-01,8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,calibration,HORIZON_UNESTIMABLE,T08:HORIZON_UNESTIMABLE,REQUIRES_NEW_MEASURED_EVIDENCE,additional preregistered unique calibration states with successful trajectories,clean_horizon_and_task_eligibility,one_root_cause_many_derived_cells
V21-T08-02,8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,schedule_coverage,UNSUPPORTED_REGISTERED_EIGHT_EVENT_TEMPLATE,T08:UNSUPPORTED_REGISTERED_EIGHT_EVENT_TEMPLATE,REQUIRES_NEW_MEASURED_EVIDENCE,"task-local support for both temporary lifecycles, preference, reissue, one grounding event, and one retirement event",task_eligibility;manifest_schedule,one_root_cause_many_derived_cells
V21-T09-01,9,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,calibration,CLEAN_SUCCESS_RATE_OUTSIDE_FROZEN_INTERVAL,T09:CLEAN_SUCCESS_RATE_OUTSIDE_FROZEN_INTERVAL,REQUIRES_NEW_MEASURED_EVIDENCE,"measured clean success within the unchanged inclusive [0.40,0.95] interval",task_eligibility,one_root_cause_many_derived_cells
V21-T09-02,9,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,schedule_coverage,UNSUPPORTED_REGISTERED_EIGHT_EVENT_TEMPLATE,T09:UNSUPPORTED_REGISTERED_EIGHT_EVENT_TEMPLATE,REQUIRES_NEW_MEASURED_EVIDENCE,"task-local support for both temporary lifecycles, preference, reissue, one grounding event, and one retirement event",task_eligibility;manifest_schedule,one_root_cause_many_derived_cells
