case_id,state_id,event_type,shared_envelope_pass,shared_envelope_error,shared_transaction_meta_sha256,shared_semantic_state_sha256,shared_event_sha256,transaction_base_version,transaction_pre_state_version,transaction_post_state_version,transaction_evidence_version,transaction_processed_event_id,transaction_processed_payload_sha256,transaction_metadata_model_generated,arm,provider_called,provider_status,provider_error,parser_valid,semantic_valid,semantic_correct,oracle_substitution,fallback_used,fairness_pass,input_hash,settings_sha256,common_input_bytes_sha256,normalized_request_sha256,response_sha256,before_state_sha256,after_state_sha256,receipt_sha256,compiled_directive,prompt_tokens,completion_tokens,proposal_bytes,latency_seconds,retry_count,parse_or_validation_error,predicate_done,predicate_pending,controller_action_count_before,controller_action_count_after,post_interruption_action_delta,simulator_state_before,simulator_state_after,runtime_git_commit,case_manifest_sha256,semantic_config_sha256,controller_config_sha256,model,reasoning_effort,temperature,seed,max_completion_tokens,retry_budget,repair_budget,reserved_states_27_49_consumed,initial_state_sha256,prefix_action_sha256,stability_trace_sha256,warmup_steps,initial_state_indexed
state1_cancel,1,cancel_pending_goal,True,,f665a544b132c2fe0729ad92726d6f394fb42875bf892be16d901d669d389640,baf4f1efb13cf41ee9b27f03c6bfd90d97da9dd1efaf8071a5612a2c676daaf5,f90adf4e96baf1b119360d9748b6ec0b1340896f2a4264e47e23fc57e050f89c,0,0,1,207,semantic-cancel-v1:state1_cancel,f90adf4e96baf1b119360d9748b6ec0b1340896f2a4264e47e23fc57e050f89c,False,cope,True,ok,,True,True,True,False,False,True,a5e71b105b0686802273a29b1f7e15b99dd77f12054dd223f0ed9bba9b4d711a,e311585a853502e78c26eedfcad6e6f2566a6c3feacd22047d67808560200587,531e2df0a4e506beae38619c24ec1713ae76ff82eac61e11247f7d85256d031c,100661d69371ec5e5471cf14ff5266098772d3d23f8b373e69441c09c5dbb5e7,d43e5ef5b3cfaf3ec26dfd17bc3e2007c69f16bf801cdf405c678f6c48129a17,773352b5f2d7ecf1b3b1aafb1a5bcaf6281ca19b8bdde81091f100815d499e09,baf4f1efb13cf41ee9b27f03c6bfd90d97da9dd1efaf8071a5612a2c676daaf5,652e388bc3dda82ee856f89ebf64aa5d08a6667ecc03f864f7b86861cc740fe6,HALT,20006,67,160,3.356222,0,,True,False,207,207,0,49429515323a0ce2471da0827c3f0411436415d1af5aa6c03eefd4f15fd28d38,49429515323a0ce2471da0827c3f0411436415d1af5aa6c03eefd4f15fd28d38,e5b4af927d40711468698462136fe20b5b44bcce,08cbe306fe996c8edabce45d9cb9a5ab91dc0dabaf20e446846927ba92010059,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,18b8376dbce15c850a234f9480523f378b55e547fdc2963459914ced417be43d,qwen/qwen3.5-flash-02-23,none,0.0,20260802,4096,0,0,False,cd3e7f86ef217ee7b7d26cc505b3f56ea8f49664ef10f6749270dfcd39dd17a6,6d852401fda641d737c1291fe72cfb455603587cfdace60f3007d93c212400e1,5097797966079d2fde03b5373a06e0e99a64d85135a30d78fa12228dfffb44e7,10,1
state1_cancel,1,cancel_pending_goal,True,,f665a544b132c2fe0729ad92726d6f394fb42875bf892be16d901d669d389640,baf4f1efb13cf41ee9b27f03c6bfd90d97da9dd1efaf8071a5612a2c676daaf5,f90adf4e96baf1b119360d9748b6ec0b1340896f2a4264e47e23fc57e050f89c,0,0,1,207,semantic-cancel-v1:state1_cancel,f90adf4e96baf1b119360d9748b6ec0b1340896f2a4264e47e23fc57e050f89c,False,compact_tx,True,ok,,False,False,False,False,False,True,a5e71b105b0686802273a29b1f7e15b99dd77f12054dd223f0ed9bba9b4d711a,e311585a853502e78c26eedfcad6e6f2566a6c3feacd22047d67808560200587,531e2df0a4e506beae38619c24ec1713ae76ff82eac61e11247f7d85256d031c,100661d69371ec5e5471cf14ff5266098772d3d23f8b373e69441c09c5dbb5e7,75951c978d88cd9a175d5464f7e4174979590f1d1548696467fc9ad9bcd76ef1,773352b5f2d7ecf1b3b1aafb1a5bcaf6281ca19b8bdde81091f100815d499e09,,,,19980,205,480,1.699405,0,CompactTransactionError:compact write path is malformed,True,False,207,207,0,49429515323a0ce2471da0827c3f0411436415d1af5aa6c03eefd4f15fd28d38,49429515323a0ce2471da0827c3f0411436415d1af5aa6c03eefd4f15fd28d38,e5b4af927d40711468698462136fe20b5b44bcce,08cbe306fe996c8edabce45d9cb9a5ab91dc0dabaf20e446846927ba92010059,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,18b8376dbce15c850a234f9480523f378b55e547fdc2963459914ced417be43d,qwen/qwen3.5-flash-02-23,none,0.0,20260802,4096,0,0,False,cd3e7f86ef217ee7b7d26cc505b3f56ea8f49664ef10f6749270dfcd39dd17a6,6d852401fda641d737c1291fe72cfb455603587cfdace60f3007d93c212400e1,5097797966079d2fde03b5373a06e0e99a64d85135a30d78fa12228dfffb44e7,10,1
state1_cancel,1,cancel_pending_goal,True,,f665a544b132c2fe0729ad92726d6f394fb42875bf892be16d901d669d389640,baf4f1efb13cf41ee9b27f03c6bfd90d97da9dd1efaf8071a5612a2c676daaf5,f90adf4e96baf1b119360d9748b6ec0b1340896f2a4264e47e23fc57e050f89c,0,0,1,207,semantic-cancel-v1:state1_cancel,f90adf4e96baf1b119360d9748b6ec0b1340896f2a4264e47e23fc57e050f89c,False,fsr_pc,True,ok,,True,False,False,False,False,True,a5e71b105b0686802273a29b1f7e15b99dd77f12054dd223f0ed9bba9b4d711a,e311585a853502e78c26eedfcad6e6f2566a6c3feacd22047d67808560200587,531e2df0a4e506beae38619c24ec1713ae76ff82eac61e11247f7d85256d031c,100661d69371ec5e5471cf14ff5266098772d3d23f8b373e69441c09c5dbb5e7,ecbab3c52c4bf1e5d33a454c6dc2a2989501bc71b4817cf230071121b7708f7a,773352b5f2d7ecf1b3b1aafb1a5bcaf6281ca19b8bdde81091f100815d499e09,b09514c1bb90b2d7328539c009ad6da3cefbef20443939df5b894a0e1da63ffb,,,19947,667,1496,3.833046,0,FullStateValidationError:commitment lifecycle statuses do not match cancellation,True,False,207,207,0,49429515323a0ce2471da0827c3f0411436415d1af5aa6c03eefd4f15fd28d38,49429515323a0ce2471da0827c3f0411436415d1af5aa6c03eefd4f15fd28d38,e5b4af927d40711468698462136fe20b5b44bcce,08cbe306fe996c8edabce45d9cb9a5ab91dc0dabaf20e446846927ba92010059,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,18b8376dbce15c850a234f9480523f378b55e547fdc2963459914ced417be43d,qwen/qwen3.5-flash-02-23,none,0.0,20260802,4096,0,0,False,cd3e7f86ef217ee7b7d26cc505b3f56ea8f49664ef10f6749270dfcd39dd17a6,6d852401fda641d737c1291fe72cfb455603587cfdace60f3007d93c212400e1,5097797966079d2fde03b5373a06e0e99a64d85135a30d78fa12228dfffb44e7,10,1
state1_replace,1,replace_pending_goal,True,,4314bd0b332e3bd0887ff744cc5543530b7462b0b900b0531b47ca6e5b1746ae,24af7576b516828f1d074c4beefbaeb5d9b13262a5f14acfbadc20b86eb9be7f,57a9d770fa8a9710adf9b7fdf9395149bb5c7b7c47ee4483efe0741e012aa155,0,0,1,207,semantic-replace-v1:state1_replace,57a9d770fa8a9710adf9b7fdf9395149bb5c7b7c47ee4483efe0741e012aa155,False,cope,True,ok,,True,True,True,False,False,True,e9ae193fad457bda2b2238d3b7c9ce04973bc7cbcfc89090748fac52ac924ccd,e311585a853502e78c26eedfcad6e6f2566a6c3feacd22047d67808560200587,9c25991827fbd087d37f9a8c96e67bdf134e576ad3376bf55be41a35016cf324,c540e9fd99664f8bac743bf70559c9e1b26cad607f6a2512ee57239595bdae7b,58110c95a204363eec284d85c136bdc46faa5be44f604a027c3d8a3e02e95daf,a67efb5cdf10c6585c4a871bf857757c4c5eedf0904eeb650c06b3a5730fd441,24af7576b516828f1d074c4beefbaeb5d9b13262a5f14acfbadc20b86eb9be7f,0239c224c0529531e1a145f43faa0fc37fd8eec6c063dce62f2bd26ddad660d7,put both the alphabet soup and the cream cheese box in the basket,20045,94,246,2.288706,0,,True,False,207,207,0,49429515323a0ce2471da0827c3f0411436415d1af5aa6c03eefd4f15fd28d38,49429515323a0ce2471da0827c3f0411436415d1af5aa6c03eefd4f15fd28d38,e5b4af927d40711468698462136fe20b5b44bcce,08cbe306fe996c8edabce45d9cb9a5ab91dc0dabaf20e446846927ba92010059,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,18b8376dbce15c850a234f9480523f378b55e547fdc2963459914ced417be43d,qwen/qwen3.5-flash-02-23,none,0.0,20260802,4096,0,0,False,cd3e7f86ef217ee7b7d26cc505b3f56ea8f49664ef10f6749270dfcd39dd17a6,6d852401fda641d737c1291fe72cfb455603587cfdace60f3007d93c212400e1,5097797966079d2fde03b5373a06e0e99a64d85135a30d78fa12228dfffb44e7,10,1
state1_replace,1,replace_pending_goal,True,,4314bd0b332e3bd0887ff744cc5543530b7462b0b900b0531b47ca6e5b1746ae,24af7576b516828f1d074c4beefbaeb5d9b13262a5f14acfbadc20b86eb9be7f,57a9d770fa8a9710adf9b7fdf9395149bb5c7b7c47ee4483efe0741e012aa155,0,0,1,207,semantic-replace-v1:state1_replace,57a9d770fa8a9710adf9b7fdf9395149bb5c7b7c47ee4483efe0741e012aa155,False,compact_tx,True,ok,,False,False,False,False,False,True,e9ae193fad457bda2b2238d3b7c9ce04973bc7cbcfc89090748fac52ac924ccd,e311585a853502e78c26eedfcad6e6f2566a6c3feacd22047d67808560200587,9c25991827fbd087d37f9a8c96e67bdf134e576ad3376bf55be41a35016cf324,c540e9fd99664f8bac743bf70559c9e1b26cad607f6a2512ee57239595bdae7b,fbc962e53f9c6745909b916e21834a6014902a4bd7f166a05469d90f647ea51c,a67efb5cdf10c6585c4a871bf857757c4c5eedf0904eeb650c06b3a5730fd441,,,,20019,400,983,3.861581,0,CompactTransactionError:compact write path is malformed,True,False,207,207,0,49429515323a0ce2471da0827c3f0411436415d1af5aa6c03eefd4f15fd28d38,49429515323a0ce2471da0827c3f0411436415d1af5aa6c03eefd4f15fd28d38,e5b4af927d40711468698462136fe20b5b44bcce,08cbe306fe996c8edabce45d9cb9a5ab91dc0dabaf20e446846927ba92010059,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,18b8376dbce15c850a234f9480523f378b55e547fdc2963459914ced417be43d,qwen/qwen3.5-flash-02-23,none,0.0,20260802,4096,0,0,False,cd3e7f86ef217ee7b7d26cc505b3f56ea8f49664ef10f6749270dfcd39dd17a6,6d852401fda641d737c1291fe72cfb455603587cfdace60f3007d93c212400e1,5097797966079d2fde03b5373a06e0e99a64d85135a30d78fa12228dfffb44e7,10,1
state1_replace,1,replace_pending_goal,True,,4314bd0b332e3bd0887ff744cc5543530b7462b0b900b0531b47ca6e5b1746ae,24af7576b516828f1d074c4beefbaeb5d9b13262a5f14acfbadc20b86eb9be7f,57a9d770fa8a9710adf9b7fdf9395149bb5c7b7c47ee4483efe0741e012aa155,0,0,1,207,semantic-replace-v1:state1_replace,57a9d770fa8a9710adf9b7fdf9395149bb5c7b7c47ee4483efe0741e012aa155,False,fsr_pc,True,ok,,True,False,False,False,False,True,e9ae193fad457bda2b2238d3b7c9ce04973bc7cbcfc89090748fac52ac924ccd,e311585a853502e78c26eedfcad6e6f2566a6c3feacd22047d67808560200587,9c25991827fbd087d37f9a8c96e67bdf134e576ad3376bf55be41a35016cf324,c540e9fd99664f8bac743bf70559c9e1b26cad607f6a2512ee57239595bdae7b,ba44ee4e90365a441b5323e65a4ea51e67fdb0bf173ba275cc64e00c947b7d9f,a67efb5cdf10c6585c4a871bf857757c4c5eedf0904eeb650c06b3a5730fd441,dfea8a1e02f74fd52f2e9da8b26184bbdaf0771ee0dd43994c0a42fb8d584d1f,,,19986,801,1878,5.410370,0,FullStateValidationError:full state must contain exactly three task commitments,True,False,207,207,0,49429515323a0ce2471da0827c3f0411436415d1af5aa6c03eefd4f15fd28d38,49429515323a0ce2471da0827c3f0411436415d1af5aa6c03eefd4f15fd28d38,e5b4af927d40711468698462136fe20b5b44bcce,08cbe306fe996c8edabce45d9cb9a5ab91dc0dabaf20e446846927ba92010059,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,18b8376dbce15c850a234f9480523f378b55e547fdc2963459914ced417be43d,qwen/qwen3.5-flash-02-23,none,0.0,20260802,4096,0,0,False,cd3e7f86ef217ee7b7d26cc505b3f56ea8f49664ef10f6749270dfcd39dd17a6,6d852401fda641d737c1291fe72cfb455603587cfdace60f3007d93c212400e1,5097797966079d2fde03b5373a06e0e99a64d85135a30d78fa12228dfffb44e7,10,1
state2_cancel,2,cancel_pending_goal,True,,3dca168f6ade2eed42d4846391abdadff66b5df69a29ffb8353272b9e5ebd0c3,66432337fd38ab615ba71ba26b6dbe65f2c55a86b7df1e2bc55fb1f6a42c5b0e,c978b08a03d65a5003a86957b5b8f12f8f0b458884603c6f43dd88283711ba86,0,0,1,192,semantic-cancel-v1:state2_cancel,c978b08a03d65a5003a86957b5b8f12f8f0b458884603c6f43dd88283711ba86,False,cope,True,ok,,True,True,True,False,False,True,1ca33687521d3f76340ac4e0c992a507a4848882c13292afd67cb9e707bb1612,e311585a853502e78c26eedfcad6e6f2566a6c3feacd22047d67808560200587,9b4355af955c17dc6697007f6b30778edf387baa17325d7656fed6fb0fc9d8eb,23d4476059740aafe8469fa29e9fb45d286b2ff8fbeaf0a6be789b74af6781e1,d85e7cdbc44b649e2b751b202cb6cd6664b2616c519e00f1d4508e30089fb40d,515c3425e897651bc8a7de494833c5933b846aed305897a3c7bd5e7f24818fa3,66432337fd38ab615ba71ba26b6dbe65f2c55a86b7df1e2bc55fb1f6a42c5b0e,7611ddabd43b213511b7320ad325c45d3bbf935a23d86d95ecc9ca11ae1a465c,HALT,18743,70,155,2.529111,0,,True,False,192,192,0,71e0265d8a871b32ea162f6686a29caa2c543db3b1397c38d95bd69f7cb64b73,71e0265d8a871b32ea162f6686a29caa2c543db3b1397c38d95bd69f7cb64b73,e5b4af927d40711468698462136fe20b5b44bcce,08cbe306fe996c8edabce45d9cb9a5ab91dc0dabaf20e446846927ba92010059,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,18b8376dbce15c850a234f9480523f378b55e547fdc2963459914ced417be43d,qwen/qwen3.5-flash-02-23,none,0.0,20260802,4096,0,0,False,ab6bf2ca98e96f1692d8ec7a5b7ec25eee1ea61c57d45c2816ac3dcc938ea3ee,055ab894005b6f1d78179d9dfe302818aba4ce2cb51b1115753153a3c22ab77c,5097797966079d2fde03b5373a06e0e99a64d85135a30d78fa12228dfffb44e7,10,2
state2_cancel,2,cancel_pending_goal,True,,3dca168f6ade2eed42d4846391abdadff66b5df69a29ffb8353272b9e5ebd0c3,66432337fd38ab615ba71ba26b6dbe65f2c55a86b7df1e2bc55fb1f6a42c5b0e,c978b08a03d65a5003a86957b5b8f12f8f0b458884603c6f43dd88283711ba86,0,0,1,192,semantic-cancel-v1:state2_cancel,c978b08a03d65a5003a86957b5b8f12f8f0b458884603c6f43dd88283711ba86,False,compact_tx,True,ok,,False,False,False,False,False,True,1ca33687521d3f76340ac4e0c992a507a4848882c13292afd67cb9e707bb1612,e311585a853502e78c26eedfcad6e6f2566a6c3feacd22047d67808560200587,9b4355af955c17dc6697007f6b30778edf387baa17325d7656fed6fb0fc9d8eb,23d4476059740aafe8469fa29e9fb45d286b2ff8fbeaf0a6be789b74af6781e1,4f84aab7b87dc40d50aeaa887c4d8e93ccc51efe15cef2b5b5096124bcb62eed,515c3425e897651bc8a7de494833c5933b846aed305897a3c7bd5e7f24818fa3,,,,18717,183,431,1.609649,0,CompactTransactionError:compact write path is not allowlisted,True,False,192,192,0,71e0265d8a871b32ea162f6686a29caa2c543db3b1397c38d95bd69f7cb64b73,71e0265d8a871b32ea162f6686a29caa2c543db3b1397c38d95bd69f7cb64b73,e5b4af927d40711468698462136fe20b5b44bcce,08cbe306fe996c8edabce45d9cb9a5ab91dc0dabaf20e446846927ba92010059,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,18b8376dbce15c850a234f9480523f378b55e547fdc2963459914ced417be43d,qwen/qwen3.5-flash-02-23,none,0.0,20260802,4096,0,0,False,ab6bf2ca98e96f1692d8ec7a5b7ec25eee1ea61c57d45c2816ac3dcc938ea3ee,055ab894005b6f1d78179d9dfe302818aba4ce2cb51b1115753153a3c22ab77c,5097797966079d2fde03b5373a06e0e99a64d85135a30d78fa12228dfffb44e7,10,2
state2_cancel,2,cancel_pending_goal,True,,3dca168f6ade2eed42d4846391abdadff66b5df69a29ffb8353272b9e5ebd0c3,66432337fd38ab615ba71ba26b6dbe65f2c55a86b7df1e2bc55fb1f6a42c5b0e,c978b08a03d65a5003a86957b5b8f12f8f0b458884603c6f43dd88283711ba86,0,0,1,192,semantic-cancel-v1:state2_cancel,c978b08a03d65a5003a86957b5b8f12f8f0b458884603c6f43dd88283711ba86,False,fsr_pc,True,ok,,True,False,False,False,False,True,1ca33687521d3f76340ac4e0c992a507a4848882c13292afd67cb9e707bb1612,e311585a853502e78c26eedfcad6e6f2566a6c3feacd22047d67808560200587,9b4355af955c17dc6697007f6b30778edf387baa17325d7656fed6fb0fc9d8eb,23d4476059740aafe8469fa29e9fb45d286b2ff8fbeaf0a6be789b74af6781e1,9a0634880d954fe9352d37f20dc06ddbb8d0705028c63998401bdfef60704a51,515c3425e897651bc8a7de494833c5933b846aed305897a3c7bd5e7f24818fa3,a8df429a6a0ed15a8d2e3e7e134ec1ac2b11cef0ba23ff02c49242a49f4c0d42,,,18684,667,1496,4.121695,0,FullStateValidationError:commitment lifecycle statuses do not match cancellation,True,False,192,192,0,71e0265d8a871b32ea162f6686a29caa2c543db3b1397c38d95bd69f7cb64b73,71e0265d8a871b32ea162f6686a29caa2c543db3b1397c38d95bd69f7cb64b73,e5b4af927d40711468698462136fe20b5b44bcce,08cbe306fe996c8edabce45d9cb9a5ab91dc0dabaf20e446846927ba92010059,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,18b8376dbce15c850a234f9480523f378b55e547fdc2963459914ced417be43d,qwen/qwen3.5-flash-02-23,none,0.0,20260802,4096,0,0,False,ab6bf2ca98e96f1692d8ec7a5b7ec25eee1ea61c57d45c2816ac3dcc938ea3ee,055ab894005b6f1d78179d9dfe302818aba4ce2cb51b1115753153a3c22ab77c,5097797966079d2fde03b5373a06e0e99a64d85135a30d78fa12228dfffb44e7,10,2
state2_replace,2,replace_pending_goal,True,,62163e6859db90192f0997d9988a71a6c1a22e61c0bd0e95495eb6176f5b7741,1568326cd0f11779077824e454c4c8e5301097090d04d7b2fb1c2c783aaea7be,8a9d19d4547601bd14d4e137a536decea0b3cdc744ab323e47526bc4890038c5,0,0,1,192,semantic-replace-v1:state2_replace,8a9d19d4547601bd14d4e137a536decea0b3cdc744ab323e47526bc4890038c5,False,cope,True,ok,,True,True,True,False,False,True,96f92fc0e679dc3722f25cc40978e413c36f2eb132683fb7f0ef1aa5618e923f,e311585a853502e78c26eedfcad6e6f2566a6c3feacd22047d67808560200587,41d5dca01fb0b38ba7604dabeb1db124a3665ed5014e077ef307280e1173f713,47bd5e38c28421580e7fdb76d3d663188abf7643fb1ab9892114ad1d08fd58a8,c48bc0783cf87e68c94374df5d983178a4b784c3ec4caa5bf7b3ceee468587fa,29c27c87261c5b6838482cef10883b215b7d36339ac96b7c3060b5fd5fcf6cb1,1568326cd0f11779077824e454c4c8e5301097090d04d7b2fb1c2c783aaea7be,14728d403ec5f3e7ab174dfae850a419d9ee63784a6a1ce97a43017f4e376d6e,put both the alphabet soup and the cream cheese box in the basket,18786,91,222,2.323545,0,,True,False,192,192,0,71e0265d8a871b32ea162f6686a29caa2c543db3b1397c38d95bd69f7cb64b73,71e0265d8a871b32ea162f6686a29caa2c543db3b1397c38d95bd69f7cb64b73,e5b4af927d40711468698462136fe20b5b44bcce,08cbe306fe996c8edabce45d9cb9a5ab91dc0dabaf20e446846927ba92010059,16e7b990d4adbf7c47424ea0347d49053088248befc974d80aa9c264db1f597b,18b8376dbce15c850a234f9480523f378b55e547fdc2963459914ced417be43d,qwen/qwen3.5-flash-02-23,none,0.0,20260802,4096,0,0,False,ab6bf2ca98e96f1692d8ec7a5b7ec25eee1ea61c57d45c2816ac3dcc938ea3ee,055ab894005b6f1d78179d9dfe302818aba4ce2cb51b1115753153a3c22ab77c,5097797966079d2fde03b5373a06e0e99a64d85135a30d78fa12228dfffb44e7,10,2
