root_cause_unit_id,task_id,task_name,category,root_cause,derived_gap_rows_before,status_after,automatic_fixability,required_evidence,blocking_gate,cascade_classes,event_families,artifact_unit_ids,global_prerequisite_ids
T00:alternative_valid_goals,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,alternative_valid_goals,Alternative valid goals absent and unresolved,2,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Feasible task-valid family/predicate/arguments/source_ref records and verifier grounding; no invented alternatives,,collection_unresolved_marker;empty_required_semantic_field,,T00:alternative_valid_goals,G-MEASUREMENT;G-SCOPE
T00:calibration_records,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,calibration_records,Zero authentic v2 calibration records; identity-cardinality errors are empty-set cascades,6,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,"10 clean learned/nonprivileged outcomes per task: states0..4 x seeds101,131; horizon260; terminal outcome including failures; shared policy/checkpoint/protocol; unique raw trace hashes",,collection_unresolved_marker;empty_collection_consistency_cascade;primary_absent_grid,,T00:calibration_records,G-POLICY;G-RUNTIME
T00:event_feasibility,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,event_feasibility,Empty event_feasibility collection,11,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,"Explicit passed true/false, evidence_refs and covered_state_ids0..4 for each applicable task/family under current code; real simulator/safety evidence",,collection_unresolved_marker;primary_absent_family_certificate,GOAL_RECEPTACLE_OR_GROUNDING_CHANGED;TARGET_OBJECT_DISPLACED;TEMPORARY_NO_GO_APPEARS;TEMPORARY_NO_GO_CLEARS;TOOL_OR_TARGET_AVAILABLE_AGAIN;TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE;USER_ADDS_PERSISTENT_PREFERENCE;USER_CANCELS_ACTIVE_GOAL;USER_REISSUES_RETIRED_GOAL;USER_REPLACES_ACTIVE_GOAL,T00:event_feasibility:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED;T00:event_feasibility:TARGET_OBJECT_DISPLACED;T00:event_feasibility:TEMPORARY_NO_GO_APPEARS;T00:event_feasibility:TEMPORARY_NO_GO_CLEARS;T00:event_feasibility:TOOL_OR_TARGET_AVAILABLE_AGAIN;T00:event_feasibility:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE;T00:event_feasibility:USER_ADDS_PERSISTENT_PREFERENCE;T00:event_feasibility:USER_CANCELS_ACTIVE_GOAL;T00:event_feasibility:USER_REISSUES_RETIRED_GOAL;T00:event_feasibility:USER_REPLACES_ACTIVE_GOAL,G-MEASUREMENT;G-SCOPE
T00:hard_safety_constraints,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,hard_safety_constraints,Task hard requirements absent and unresolved,2,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Grounded hard requirements and verifier bindings consistent with real task geometry/interventions; no copied defaults,,collection_unresolved_marker;empty_required_semantic_field,,T00:hard_safety_constraints,G-MEASUREMENT;G-RUNTIME
T00:initial_state_digests,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,initial_state_digests,Five-state initial-state hash pack absent,6,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,"Exact states0..4 and serialization/source/version binding, yielding five SHA256 receipts; authentic source-asset availability was not audited here",,collection_unresolved_marker;distinct_hash_receipt_in_task_pack,,T00:initial_state_digests,G-ASSETS
T00:maintenance_invariants,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,maintenance_invariants,Maintenance semantics unresolved; empty list does not prove none apply,1,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Identify unaffected achievements/continuous maintenance requirements or certify empty semantics where allowed; evidence must precede clearing unresolved marker,,collection_unresolved_marker,,T00:maintenance_invariants,G-MEASUREMENT
T00:planner_compiler_metadata,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,planner_compiler_metadata,Task compiler grounding metadata absent and unresolved,2,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Explicit supported predicate/operator/skill/instruction bindings; preserve accepted omissions and corruption; no canonical-truth repair,,collection_unresolved_marker;empty_required_semantic_field,,T00:planner_compiler_metadata,G-MEASUREMENT;G-RUNTIME
T00:replaceable_goal_families,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,replaceable_goal_families,Replaceable family map absent and unresolved,2,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Explicit family IDs already present in initial goals; supported replacement/retirement/reissue semantics,,collection_unresolved_marker;empty_required_semantic_field,,T00:replaceable_goal_families,G-MEASUREMENT;G-SCOPE
T00:safe_event_injections,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,safe_event_injections,Empty safe-event intervention collection,7,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,"Alias-bound entity, explicit safe pose or region, hashed evidence; held-object rules and unaffected progress checked",,collection_unresolved_marker;primary_absent_intervention_certificate,GOAL_RECEPTACLE_OR_GROUNDING_CHANGED;TARGET_OBJECT_DISPLACED;TEMPORARY_NO_GO_APPEARS;TEMPORARY_NO_GO_CLEARS;TOOL_OR_TARGET_AVAILABLE_AGAIN;TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,T00:safe_event_injections:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED;T00:safe_event_injections:TARGET_OBJECT_DISPLACED;T00:safe_event_injections:TEMPORARY_NO_GO_APPEARS;T00:safe_event_injections:TEMPORARY_NO_GO_CLEARS;T00:safe_event_injections:TOOL_OR_TARGET_AVAILABLE_AGAIN;T00:safe_event_injections:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,G-MEASUREMENT;G-SCOPE
T00:semantic_triggers,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,semantic_triggers,Empty semantic_triggers collection,31,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Task-grounded predicate and feasibility guard; earliest/latest steps and spacing>=10; actual monitor/observation provenance,,collection_unresolved_marker;primary_absent_trigger;same_absent_trigger_guard_cascade;same_absent_trigger_window_cascade,GOAL_RECEPTACLE_OR_GROUNDING_CHANGED;TARGET_OBJECT_DISPLACED;TEMPORARY_NO_GO_APPEARS;TEMPORARY_NO_GO_CLEARS;TOOL_OR_TARGET_AVAILABLE_AGAIN;TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE;USER_ADDS_PERSISTENT_PREFERENCE;USER_CANCELS_ACTIVE_GOAL;USER_REISSUES_RETIRED_GOAL;USER_REPLACES_ACTIVE_GOAL,T00:semantic_triggers:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED;T00:semantic_triggers:TARGET_OBJECT_DISPLACED;T00:semantic_triggers:TEMPORARY_NO_GO_APPEARS;T00:semantic_triggers:TEMPORARY_NO_GO_CLEARS;T00:semantic_triggers:TOOL_OR_TARGET_AVAILABLE_AGAIN;T00:semantic_triggers:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE;T00:semantic_triggers:USER_ADDS_PERSISTENT_PREFERENCE;T00:semantic_triggers:USER_CANCELS_ACTIVE_GOAL;T00:semantic_triggers:USER_REISSUES_RETIRED_GOAL;T00:semantic_triggers:USER_REPLACES_ACTIVE_GOAL,G-MEASUREMENT;G-SCOPE
